Plat Number,Plat Name,Section/Township/Range,Volume,First Page,Last Page,Plat Type
166250,COFFMAN GARDEN TRACTS,0272404,010,017,000,
860270,3420-25TH AVE W CONDO,3142503,040,071,072,C
285120,GOULD'S QUEEN ANNE SCENIC ADD,0242503,015,025,000,
609414,1915-42ND AVE E CONDO,4222504,075,097,098,C
156910,CHOPAKA PH 01(0005) CONDO,4282406,099,001,005,C
787330,SOUND VISTA PH 02-B CONDO,2182304,080,006,009,C
172781,COMPTON MEADOWS II CONDO,1212605,049,075,077,C
889500,VERDE MESA ADD,0072205,079,086,000,
066100,BELLA BOTTEGA PHASE 02 - BSP,0022505,177,012,016,
716570,RAUF'S 1ST ADD,0272404,233,087,092,
683800,POINTE THE,0032505,130,046,050,
399990,LAKE CREST PARK UNREC,0252504,902,130,000,
420240,LATIMERS LAKE PARK ADD,0072305,018,063,000,
412960,LAKEHAVEN ADD NO. 02,0212104,053,051,000,
230190,1150 ALKI AVE CONDO CONDO,3022403,050,091,094,C
856670,TATUM LANE CONDO,2302105,237,074,076,C
727870,RICHMOND BEACH SUPL,0022603,011,061,000,
228542,87TH STREET CONDO,4052505,207,006,008,C
793000,SPRING BEACH,0342202,017,038,000,
509830,MAPLE LANE VIEW,0212605,137,068,069,
321152,HEATHERS RIDGE,0342605,267,007,013,
221200,EASTPORT SHORES CONDO,2322405,045,069,072,C
786150,SOOS CREEK PARK ADD,0022105,077,015,016,
946550,WINCHESTER HEIGHTS 1ST AMD CONDO,3212105,037,099,100,C
317760,HAWTHORNE HEIGHTS NO. 05,0102504,045,056,000,
421391,LAURA CLIFF 2ND ADDITION,0052604,186,034,035,
275970,GILBO'S 6TH ADD,0022603,059,074,000,
172700,COMPTON GREEN,0212505,083,015,018,
195160,DEL MAR ADD NO. 13,0282204,061,093,000,
606791,NEWPORT GLEN DIV NO. 02,0282405,104,033,035,
918670,WASHINGTON PARK TOWERS AS-BLT CONDO,4222504,002,031,000,C
769470,CREATED WITH WRONG MAJOR NUMBER CONDO,2232403,999,013,000,C
115720,BROOKVALE GARDEN TRS,0232304,010,047,000,
023800,ANGLE LAKE SHORE ACRES UNREC,0342304,902,012,000,
081787,BIRCH STREET RESIDENCES CONDO,3272406,137,018,020,C
054910,BARTELLS PINE LAKE HOME SITES ADD,0042406,035,044,000,
230260,1100 E HARRISON CONDO,4292504,086,005,010,C
541540,MEADOW VILLAGE NO. 01 PH 02 CONDO,1162406,079,064,068,C
314160,HART'S 1ST ADD TO AUBURN,0192105,020,023,000,
796150,STANKE ADD NO. 02,0072305,071,081,000,
403910,LAKE HILLS NO. 20,0252505,071,092,000,
133063,CANTERBURY PARK PH I,0272506,272,077,085,
884905,UWAJIMAYA VILLAGE CONDO,2052404,183,001,005,C
414095,LAKES AT KENT DIV NO. 01 THE,0142204,136,041,045,
401700,LAKE FOREST COURT ADD,0032604,068,034,000,
155560,CHERRY PARK SUBDIVISION,0262104,221,053,055,
796900,STARCREST ADD,0152205,066,008,009,
564930,MORNING MEADOWS,0252605,109,054,056,
750325,SAFEWAY PLAZA AT MAPLE VALLEY,0272206,206,078,079,
111580,BRISTOL WOODS,0102505,090,063,064,
439770,LOGGIE & EVANS ADD TO KIRKLAND,0082505,007,087,000,
766670,SEATTLE TIDE LDS EX 01 B 377-491 UNREC,0162403,902,371,000,
269730,GARDEN PARK NO. 04,0052604,072,081,000,
817010,SYNDICATE ADD,0052404,002,044,000,
338820,HI-PARK TRS 1ST ADD,0062205,074,012,000,
885030,VALENTINE COURT,0362104,225,018,019,
951720,WOODINVILLE HEIGHTS,0102605,123,033,038,
432640,LINDA VIEW ADD,0342304,058,058,000,
437570,LITTLES MT BAKER VIEW ADD,0282604,028,027,000,
535250,MCKENZIE PLACE,0012604,249,049,050,
724330,REVO 225 CONDO,4182305,230,029,040,C
541535,MEADOW VIEW PARK,0262405,150,027,036,
980950,YARROWOOD CORRECTED CONDO,1202505,011,006,020,C
720560,REDONDO VIEW ADD,0052104,105,046,047,
259985,FORESTBROOK TOWNHOUSES PH I CONDO,4042305,041,020,026,C
608500,NICKANDYTY,0142104,082,083,000,
195470,DENNY BLAINE LAKE PARK,0272504,009,085,000,
390510,KLAHANIE DIV NO. 21,0142406,167,075,081,
273861,GEORGIAN HEIGHTS PH 02,0032605,219,031,032,
934640,WHISPERING CREST AMENDED,0142405,194,059,061,
506080,MALONEYS 1ST ADD TO SKYKOMISH,0262611,011,093,000,
184350,CROMWELL COURT,0082604,078,089,000,
154160,CHELAN CONDO,3162604,120,013,016,C
740320,RONDERRA,0142604,091,079,000,
919525,WATERFORD EAST CONDO,3082505,086,066,069,C
988800,ZAHNS ADD ASSESSORS PLAT,0242405,073,012,000,
501500,MADISON PARK ADD,0282504,009,061,000,
131096,CAMBRIDGE EAST DIV NO. 1,0272204,100,098,099,
063200,BECKS PARK ADD TO KIRKLAND,0302505,008,084,000,
666921,PARKWAY TOWNHOMES PH 03 CONDO,3032305,142,021,023,C
289171,GREEN RIVER VILLAGE DIV NO. 02,0072105,094,036,000,
542100,MEADOWLARK CREST ADD,0322605,067,041,000,
934410,WHEELER TOWNHOMES ADD,0222404,252,021,030,
152990,CHATEAU THIERRY 1ST AMEND CONDO,2312604,027,084,086,C
223210,ECHO MANOR ADD,0062604,054,032,000,
812370,SUNRISE TERRACE ADD,0022604,067,088,089,
752000,SALMON CREEK ADD,0072304,023,022,000,
246080,FAIRMONT THE CONDO,1292504,016,042,000,C
869060,TROON TERRACE TOWNHOMES-BSP,0132604,230,012,014,
034600,AZALEA GARDENS CONDO,1122103,026,050,051,C
140300,CARROLL ESTATES,0272205,090,006,000,
398530,LAKE BALLINGER GARDEN TRS,0052604,017,095,000,
367430,JEANNETTE SOUNDVIEW TERRACE,0042104,090,031,000,
860235,3434 25TH W CONDO,3142503,019,035,036,C
355080,HYDES 2ND ADD,0062304,022,077,000,
259767,FOREST TRAILS DIV NO. 02,0032205,135,018,020,
750446,SAHARA HILLS,0282506,105,002,003,
245870,FAIRFAX THE CONDO,4202504,059,046,049,C
664865,PARK PLACE,0262505,111,049,050,
269520,GARDEN COURT CONDO,2332504,049,068,074,C
926500,WEST CAMPUS OFFICE PARK DIV 01,0172104,097,055,058,
559900,MONTGOMERY HEIGHTS ADD,0162304,038,037,000,
357477,INGLEMOOR HEIGHTS,0182605,263,011,012,
416100,LAKEWOOD SHORES CONDO,1242505,025,096,103,C
287000,GRAYLANDS SLOPE,0042505,082,034,000,
290890,GREENFIELD PARK,0282204,182,051,054,
770840,SHAMROCK PLACE CONDO,3072604,043,052,057,C
549920,MICHELAS ADD,0042504,019,012,000,
405880,LAKE RIDGE DIV NO. 02,0012304,032,037,000,
051450,BANNERWOOD ADD,0102405,057,049,000,
795270,STAAF ADD,0182604,050,058,000,
445880,LUNA VISTA,0302405,082,037,000,
730890,RIDGEMONT ADD,0252603,027,048,000,
222470,ECHO LAKE GARDEN TRS 4TH DIV,0082604,906,015,000,
170990,COLUMBIA TERRACE ADD,0152404,010,048,000,
256135,FIRSTMARK ADD NO. 06,0332506,112,078,079,
733805,RIVERPARK REDMOND CONDO,1112505,238,096,102,C
947774,WINDTREE NO. 05,0332405,129,041,043,
070550,BELMONT PLACE CONDO,2292504,084,057,062,C
080250,BEVERLY TOWNHOUSE THE CONDO,2192604,022,082,083,C
362916,ISLE & LAKE ADD NO. 02,0322405,100,066,000,
681550,PITTSBURGH 2ND AMEND CONDO,3302504,235,025,026,C
803100,STONEGATE II,0022605,196,098,100,
158600,CHRYSALIS COMMONS CONDO,3012603,219,088,090,C
125370,BURLINGTON NORTHERN NORPAC NO. 01,0012204,098,023,026,
932851,WETHERBURN DIV NO. 02,0242505,132,084,085,
660079,PACIFIC TERRACE,0202205,181,017,019,
154711,CHERRY CREST VISTA CONDO,1282505,035,054,057,C
413210,LAKEHOUSE RESIDENCES CONDO,4282405,288,035,041,C
003300,ADAMS FERNCROFT ADD,0182405,078,090,000,
799230,STEINMAN ADD,0012603,049,045,000,
213900,E.H.A.-BSP,0062506,214,030,035,
894720,VIRGINIA HILLS,0242103,115,035,036,
174990,COPPER HILL SQUARE CONDO,3132606,182,065,071,C
785201,SNOQUALMIE RIDGE PLAT 1 DIV G,0252407,183,037,041,
131390,CAMERON'S CROSSING,0212204,235,047,048,
865050,TIMBERLAND ADD,0192405,052,020,000,
184100,CRESTVIEW TOWNHOMES CONDO,3182406,095,090,092,C
872850,2605 FRANKLIN AVE E 1ST AMENDMENT CONDO,2202504,254,035,000,C
534720,MC KENZIE ADD,0362403,020,042,000,
082000,BIRD & ESRYS GREEN LAKE 1/2 ACRES,0292604,017,031,000,
750700,ST JOHNS PLACE CONDO,4292504,112,055,058,C
329850,HIGHLAND HILLS NO. 04,0252505,063,069,000,
885551,VALLEY BUSINESS PARK NO. 02,0362204,124,074,076,
327480,HICKS ADD,0042404,002,069,000,
929050,WESTCHASE CONDO,2322605,062,012,016,C
750870,ST MATTHEWS PARK ADD,0202604,057,017,000,
268067,GAINSBOROUGH THE 2ND AMENDMENT CONDO,3322504,051,064,066,C
728770,RICHMOND TRACTS DIV NO. 04,0072604,027,040,000,
020340,AMES LAKE ESTATES,0192507,171,050,053,
256035,FIRST HILL PLAZA RETAIL BUILDING CONDO,1322504,065,060,063,C
344200,HOMELAND UNREC,0362603,902,110,000,
638370,OLYMPIC MANOR DIV NO. 04,0352603,058,036,000,
355940,IDYLWOOD PLACE CONDO,1242505,042,048,050,C
108567,BRIDGEWATER III CONDO,3142204,090,089,095,C
337600,HILLSIDE PARK,0032104,082,010,000,
607305,NEWPORT SPRINGS PH 02 CONDO,4282406,113,072,075,C
946590,WINCHESTER HILLS DIV NO. 01,0162605,142,088,093,
894627,VILLAS AT MONDAVIO THE PH 7 CONDO,4352605,277,016,019,C
932875,WETHERHOLT AT UNIVERSITY CONDO,1082504,171,072,077,C
518510,MARTIN'S FRANCES L ADD,0032504,045,072,000,
884900,USIBELLI EMIL ADD,0172305,062,040,000,
734031,RIVERSIDE ESTATES DIV NO. 02,0362104,142,071,072,
873290,TYLER'S CREEK,0312606,237,065,074,
780295,615 SW AMBAUM CONDO,4192304,246,027,030,C
645335,OVERLOOK CONDO,4152403,089,003,005,C
339040,HOLDEN MANOR CONDO,4262403,045,014,016,C
888140,VARONS ADD,0272404,074,029,000,
327694,HIGH COUNTRY DIV NO. 03,0122406,168,039,043,
863280,THORNDYKE PLYMOUTH CONDO,3232503,232,096,099,C
232540,ELMHURST,0152305,232,028,032,
683781,POINTE AT FIRST HILL THE CONDO,4322504,205,048,055,C
784970,SNOQUALMIE FALLS REPLAT BLK 29-31,0312408,011,077,000,
058755,BAYVIEW COUNTRY ESTATES,0112103,140,016,019,
228535,1855-1859 NE 171ST STREET CONDO,3092604,180,099,100,C
273920,GERBERS ADD TO RENTON,0112305,061,098,000,
289400,GREEN VALLEY ESTATES,0252106,229,079,082,
098200,BOTTING DAVID A 2ND ADD TO AUBURN,0182105,041,026,000,
260776,FORSTER WOODS DIV NO. 03 & 04,0092308,171,054,062,
