Levy Year,County,County Code,Number of Basic Exemptions,Amount of Basic Reimbursement,Number of Enhanced Exemptions,Amount of  Enhanced Reimbursement,Total Amount of Reimbursement ,Data Preparation Date
2016,Onondaga,31,81133,54161753,25624,35017077,89178830,03/11/2020
2016,Ontario,32,19748,11631075,6452,7940140,19571215,03/11/2020
2016,Orange,33,58545,51778073,13464,25021156,76799229,03/11/2020
2016,Orleans,34,6941,4103023,2997,3531333,7634356,03/11/2020
2016,Oswego,35,20951,13334972,7515,9397914,22732886,03/11/2020
2016,Otsego,36,9756,4449103,4639,4344311,8793414,03/11/2020
2016,Putnam,37,20202,23868165,4172,10425978,34294143,03/11/2020
2016,Rensselaer,38,27036,14320363,7974,8738504,23058867,03/11/2020
2016,Rockland,39,45794,58047270,10068,27021371,85068641,03/11/2020
2016,St. Lawrence,40,18483,10275235,7710,8150761,18425996,03/11/2020
2016,Saratoga,41,43395,27306186,10752,13794191,41100377,03/11/2020
2016,Schenectady,42,26902,15544052,8264,9845986,25390038,03/11/2020
2016,Schoharie,43,5461,3070969,2506,2725225,5796194,03/11/2020
2016,Schuyler,44,3531,1513376,1506,1305058,2818434,03/11/2020
2016,Seneca,45,5716,3503509,2340,2932874,6436383,03/11/2020
2016,Steuben,46,17534,10033930,7052,7793507,17827437,03/11/2020
2016,Suffolk,47,257143,274254291,60174,130821737,405076028,03/11/2020
2016,Sullivan,48,10238,5290265,4259,4390328,9680593,03/11/2020
2016,Tioga,49,9417,5046445,3649,3955777,9002222,03/11/2020
2016,Tompkins,50,13996,7959745,3865,4328516,12288261,03/11/2020
2016,Ulster,51,28959,18484064,10332,13231725,31715789,03/11/2020
2016,Warren,52,11362,4389173,4745,3687756,8076929,03/11/2020
2016,Washington,53,10736,4627982,4532,4053880,8681862,03/11/2020
2016,Wayne,54,17667,11657136,6226,8232959,19890095,03/11/2020
2016,Westchester,55,116785,219509591,24054,84814177,304323768,03/11/2020
2016,Wyoming,56,7579,3820965,2631,2745988,6566953,03/11/2020
2016,Yates,57,4363,1477456,1804,1264478,2741934,03/11/2020
2016,New York City,65,457203,134925029,115894,69493520,204418549,03/11/2020
2015,Albany,01,51166,28481296,13422,15703972,44185268,03/11/2020
2015,Allegany,02,8419,4755711,3743,3808527,8564238,03/11/2020
2015,Broome,03,32963,21803374,12865,17571497,39374871,03/11/2020
2015,Cattaraugus,04,14123,7025287,5842,5289090,12314377,03/11/2020
2015,Cayuga,05,14149,7432645,5059,5374822,12807467,03/11/2020
2015,Chautauqua,06,22929,12908928,10110,10893543,23802471,03/11/2020
2015,Chemung,07,15435,8819234,5953,6961151,15780385,03/11/2020
2015,Chenango,08,9004,4505041,3789,3772073,8277114,03/11/2020
2015,Clinton,09,14127,7730096,4889,5292201,13022297,03/11/2020
2015,Columbia,10,10352,4692420,3819,3569190,8261610,03/11/2020
2015,Cortland,11,7793,4169884,2881,3185855,7355739,03/11/2020
2015,Delaware,12,7648,2976730,4235,3379200,6355930,03/11/2020
2015,Dutchess,13,50185,39370365,12780,20623519,59993884,03/11/2020
2015,Erie,14,165314,83641114,54791,56992716,140633830,03/11/2020
2015,Essex,15,6617,2311637,3156,2182732,4494369,03/11/2020
2015,Franklin,16,7900,3227721,3150,2531075,5758796,03/11/2020
2015,Fulton,17,9617,4887871,4264,4185051,9072922,03/11/2020
2015,Genesee,18,11207,7557364,4006,5439465,12996829,03/11/2020
2015,Greene,19,7794,3354530,3470,2996766,6351296,03/11/2020
2015,Hamilton,20,1048,209100,662,272370,481470,03/11/2020
2015,Herkimer,21,11235,6195068,4811,5232427,11427495,03/11/2020
2015,Jefferson,22,16284,4439256,5514,3144128,7583384,03/11/2020
2015,Lewis,23,5436,1750127,1979,1305123,3055250,03/11/2020
2015,Livingston,24,11635,7066640,3878,4716368,11783008,03/11/2020
2015,Madison,25,13058,7731617,4549,5523436,13255053,03/11/2020
2015,Monroe,26,136190,90238661,39445,55348657,145587318,03/11/2020
2015,Montgomery,27,8373,4595735,3621,4037743,8633478,03/11/2020
2015,Nassau,28,251550,302630706,49024,125597864,428228570,03/11/2020
2015,Niagara,29,39874,25071139,15243,18966658,44037797,03/11/2020
2015,Oneida,30,39170,23545614,15092,18279416,41825030,03/11/2020
2015,Onondaga,31,85927,56901531,25858,34929282,91830813,03/11/2020
2015,Ontario,32,20956,12314235,6585,8087015,20401250,03/11/2020
2015,Orange,33,61263,54579511,13799,25627007,80206518,03/11/2020
2015,Orleans,34,7322,4365997,3022,3598234,7964231,03/11/2020
2015,Oswego,35,22059,13959555,7531,9289622,23249177,03/11/2020
2015,Otsego,36,10187,4563841,4650,4257435,8821276,03/11/2020
2015,Putnam,37,21101,25542718,4203,10692886,36235604,03/11/2020
2015,Rensselaer,38,28384,14788950,8126,8762073,23551023,03/11/2020
2015,Rockland,39,47886,61315614,10510,28335710,89651324,03/11/2020
2015,St. Lawrence,40,19548,10795236,7647,7999221,18794457,03/11/2020
2015,Saratoga,41,45853,29002854,10926,14010222,43013076,03/11/2020
2015,Schenectady,42,28267,16052684,8547,9981747,26034431,03/11/2020
2015,Schoharie,43,5751,3184629,2550,2717643,5902272,03/11/2020
2015,Schuyler,44,3741,1603362,1475,1271076,2874438,03/11/2020
