InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
54430,1,A,A,A,U,A
76021,1,A,A,A,A,A
70825,1,U,A,A,U,U
98503,1,A,A,A,U,A
108105,1,N,N,N,N,N
34255,1,N,N,N,N,N
103911,1,A,A,A,A,A
56190,1,A,A,A,A,A
100414,1,A,A,A,A,A
79577,1,A,A,A,A,A
90828,1,A,A,A,A,A
51929,1,A,A,A,U,A
71036,1,U,A,A,U,A
60273,1,U,A,A,U,U/S
92385,1,A,A,A,A,A
89124,1,N,N,N,N,N
70416,1,N,N,N,N,N
121280,1,N,N,N,N,N
86609,1,A,A,A,U,A
38255,1,A,A,A,A,A
103996,1,U,A,A,U/S,U/S
67342,1,A,A,A,A,A
118199,1,A,A,A,U,A
101234,1,A,A,A,A,U
36519,1,A,A,A,U,A
50884,1,A,A,A,A,A
113650,1,A,A,A,A,A
51530,1,N,N,N,N,N
41975,1,A,A,A,A,A
118296,1,A,A,A,A,A
68041,1,N,N,N,N,N
105520,1,A,A,A,A,A
87452,1,A,A,A,A,U
109581,2,A,A,A,A,A
54645,1,A,A,A,A,A
121542,1,A,A,A,A,A
110890,1,A,A,A,U,A
99256,1,A,A,A,U,A
100608,1,A,A,A,A,A
89527,1,U,A,A,U,U
120402,1,N,N,N,N,N
84397,1,A,A,A,A,A
116805,2,A,A,A,A,A
104592,1,A,A,A,A,A
81229,1,A,A,A,A,A
105220,1,A,A,A,A,A
111399,1,A,A,A,A,A
54480,1,A,A,A,U,A
121651,1,A,A,A,U,A
95919,1,N,N,N,N,N
73458,1,A,A,A,U,A
114413,1,A,A,A,A,A
38189,1,U,A,A,U/S,A
84871,1,U,A,A,U,A
33269,1,U,A,A,U/S,A
98776,1,A,A,A,A,A
53491,1,A,A,A,A,A
108849,1,A,A,A,U,A
100995,1,A,A,A,U,A
68648,1,A,A,A,A,A
80264,1,A,U,A,A,A
69240,1,A,A,A,U,A
93952,2,A,A,A,A,A
38662,1,A,A,A,A,A
102803,1,A,A,A,A,A
83388,1,A,A,A,A,A
119420,1,U,A,U,U/S,A
119383,1,A,A,A,A,A
109424,1,A,A,A,A,A
