Reporting Area,MMWR Year,MMWR Week,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max†","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2020†","Hepatitis B, perinatal infection, Cum 2020†, flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis C, acute§, Confirmed, Current week","Hepatitis C, acute§, Confirmed, Current week, flag","Hepatitis C, acute§, Confirmed, Previous 52 weeks Max†","Hepatitis C, acute§, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Confirmed, Cum 2020†","Hepatitis C, acute§, Confirmed, Cum 2020†, flag","Hepatitis C, acute§, Confirmed, Cum 2019†","Hepatitis C, acute§, Confirmed, Cum 2019†, flag","Hepatitis C, acute§,  Probable, Current week","Hepatitis C, acute§, Probable, Current week, flag","Hepatitis C, acute§, Probable, Previous 52 weeks Max†","Hepatitis C, acute§, Probable, Previous 52 weeks Max† , flag","Hepatitis C, acute§, Probable, Cum 2020†","Hepatitis C, acute§, Probable, Cum 2020†, flag","Hepatitis C, acute§, Probable, Cum 2019†","Hepatitis C, acute§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
SOUTH ATLANTIC,2020,4,,-,1,,,-,1,,1,,44,,5,,59,,1,,1,,3,,,NP,,SOUTH ATLANTIC,20200428,
FLORIDA,2020,4,,-,1,,,-,,-,,-,36,,,-,32,,,-,0,,,-,,NP,FLORIDA,,20200431,POINT (-82.420978 28.260731)
NEW YORK CITY,2020,1,,-,0,,,-,,-,1,,3,,1,,,-,3,,0,,3,,,NP,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,VERMONT,,20200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,1,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,NP,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,1,,,-,,-,,-,4,,,-,,-,,-,1,,,-,,NP,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,,-,1,,,-,,-,,-,7,,,-,3,,,-,0,,,-,,NP,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,-,1,,,-,,-,,-,8,,,-,4,,,-,1,,,-,,NP,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,,-,1,,,-,,-,,-,3,,,-,2,,1,,0,,1,,,NP,MAINE,,20200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2020,1,,-,1,,,-,,-,1,,20,,1,,2,,3,,2,,3,,,NP,,MIDDLE ATLANTIC,20200109,
TENNESSEE,2020,1,,-,1,,,-,,-,,-,8,,,-,5,,,-,3,,,-,,NP,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
TEXAS,2020,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,NP,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,NP,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,,-,1,,,-,,-,,-,11,,,-,5,,,-,9,,,-,,NP,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,3,,,-,,NP,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,,-,1,,,-,,-,,-,10,,,-,4,,,-,6,,,-,,NP,,MOUNTAIN,20200148,
NEW YORK,2020,1,,-,0,,,-,,-,,-,15,,,-,,-,,-,2,,,-,,NP,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,,-,0,,,-,,-,,-,8,,,-,1,,,-,0,,,-,,NP,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,NP,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,-,0,,,-,,-,,-,2,,,-,2,,,-,0,,,-,,NP,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,0,,,-,,-,,-,9,,,-,,-,,-,3,,,-,,NP,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,,-,1,,,-,,-,,-,10,,,-,6,,1,,0,,1,,,NP,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,-,1,,,-,,-,,-,16,,,-,,-,,-,12,,,-,,NP,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,NP,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,1,,0,,1,,,-,1,,26,,1,,12,,4,,5,,4,,,NP,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,,-,1,,,-,,-,,-,3,,,-,2,,,-,0,,,-,,NP,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,NP,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,NP,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,NP,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,-,1,,,-,,-,,-,102,,,-,7,,,-,17,,,-,,NP,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,-,1,,,-,,-,,-,101,,,-,1,,,-,17,,,-,,NP,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,NP,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,-,1,,,-,,-,,-,36,,,-,3,,,-,3,,,-,,NP,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,2,,-,2,,1,,,-,5,,99,,13,,104,,7,,0,,17,,,NP,,TOTAL,20200270,
GEORGIA,2020,4,,-,0,,,-,,-,,-,5,,,-,8,,,-,0,,,-,,NP,GEORGIA,,20200432,POINT (-83.426574 32.638481)
MARYLAND,2020,4,,-,0,,,-,,-,1,,2,,3,,1,,1,,1,,2,,,NP,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,1,,,-,,-,,-,8,,,-,11,,,-,1,,1,,,NP,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,2,,1,,3,,,-,0,,,-,,NP,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,,-,1,,,-,1,,,-,5,,1,,2,,,-,0,,,-,,NP,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
