Week Ending Date,State,Observed Number,Threshold,Exceeds Threshold,Excess,Year,Total Excess in 2020,Percent Excess,Type,Outcome,Suppress
01/06/2018,Alaska,72,108,false,0,2018,0,0.0,Predicted (weighted),All causes,
01/11/2020,Alaska,107,112,false,0,2020,0,0.0,Predicted (weighted),All causes,
01/12/2019,Alaska,87,108,false,0,2019,0,0.0,Predicted (weighted),All causes,
01/13/2018,Alaska,100,109,false,0,2018,0,0.0,Predicted (weighted),All causes,
01/14/2017,Alaska,87,108,false,0,2017,0,0.0,Predicted (weighted),All causes,
01/18/2020,Alaska,99,115,false,0,2020,0,0.0,Predicted (weighted),All causes,
01/19/2019,Alaska,94,109,false,0,2019,0,0.0,Predicted (weighted),All causes,
01/20/2018,Alaska,95,107,false,0,2018,0,0.0,Predicted (weighted),All causes,
01/21/2017,Alaska,93,106,false,0,2017,0,0.0,Predicted (weighted),All causes,
01/25/2020,Alaska,98,111,false,0,2020,0,0.0,Predicted (weighted),All causes,
01/26/2019,Alaska,88,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
01/27/2018,Alaska,79,104,false,0,2018,0,0.0,Predicted (weighted),All causes,
01/28/2017,Alaska,80,105,false,0,2017,0,0.0,Predicted (weighted),All causes,
02/01/2020,Alaska,86,112,false,0,2020,0,0.0,Predicted (weighted),All causes,
02/02/2019,Alaska,99,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
02/03/2018,Alaska,82,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
02/04/2017,Alaska,87,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
02/08/2020,Alaska,96,109,false,0,2020,0,0.0,Predicted (weighted),All causes,
02/09/2019,Alaska,96,103,false,0,2019,0,0.0,Predicted (weighted),All causes,
02/10/2018,Alaska,65,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
02/11/2017,Alaska,63,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
02/15/2020,Alaska,91,108,false,0,2020,0,0.0,Predicted (weighted),All causes,
02/16/2019,Alaska,99,102,false,0,2019,0,0.0,Predicted (weighted),All causes,
02/17/2018,Alaska,83,98,false,0,2018,0,0.0,Predicted (weighted),All causes,
02/18/2017,Alaska,80,101,false,0,2017,0,0.0,Predicted (weighted),All causes,
02/22/2020,Alaska,84,106,false,0,2020,0,0.0,Predicted (weighted),All causes,
02/23/2019,Alaska,76,101,false,0,2019,0,0.0,Predicted (weighted),All causes,
02/24/2018,Alaska,94,96,false,0,2018,0,0.0,Predicted (weighted),All causes,
02/25/2017,Alaska,73,102,false,0,2017,0,0.0,Predicted (weighted),All causes,
02/29/2020,Alaska,81,109,false,0,2020,0,0.0,Predicted (weighted),All causes,
03/02/2019,Alaska,94,102,false,0,2019,0,0.0,Predicted (weighted),All causes,
03/03/2018,Alaska,91,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
03/04/2017,Alaska,66,101,false,0,2017,0,0.0,Predicted (weighted),All causes,
03/07/2020,Alaska,77,106,false,0,2020,0,0.0,Predicted (weighted),All causes,
