BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1004,35,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22826,Manhattan,Traffic Signal,NoAction,1 Av,Remove & Install,24,Yes
B-1004,35,02/26/2018,07/11/2018,11/28/2018,COMPLETED APPROVED,22826,Manhattan,Traffic Signal,NoAction,E 59 St,Remove & Install,24,Yes
B-1004,38,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41400,Queens,Light Pole,NoAction,23 St,Remove & Install,24,Yes
B-1004,38,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41400,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,39,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41400,Queens,Light Pole,NoAction,23 St,Remove & Install,24,Yes
B-1004,39,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41400,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,40,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41401,Queens,Light Pole,NoAction,24 St,Remove & Install,24,Yes
B-1004,40,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41401,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,41,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41401,Queens,Light Pole,NoAction,24 St,Remove & Install,24,Yes
B-1004,41,06/05/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,41401,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,42,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41403,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,42,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41403,Queens,Light Pole,NoAction,Crescent St,Remove & Install,36,Yes
B-1004,43,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41403,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,43,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41403,Queens,Light Pole,NoAction,Crescent St,Remove & Install,36,Yes
B-1004,44,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41405,Queens,Light Pole,NoAction,27 St,Remove & Install,24,Yes
B-1004,44,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41405,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,45,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41405,Queens,Light Pole,NoAction,27 St,Remove & Install,24,Yes
B-1004,45,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41405,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,46,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41462,Queens,Light Pole,NoAction,28 St,Remove & Install,24,Yes
B-1004,46,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41462,Queens,Light Pole,NoAction,39 St,Remove & Install,24,Yes
B-1004,47,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41462,Queens,Light Pole,NoAction,28 St,Remove & Install,24,Yes
B-1004,47,06/05/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41462,Queens,Light Pole,NoAction,39 St,Remove & Install,24,Yes
B-1004,48,06/13/2018,07/11/2018,11/27/2018,COMPLETED APPROVED,20827,Manhattan,Traffic Signal,NoAction,E 17 St,Remove & Install,24,Yes
B-1004,48,06/13/2018,07/11/2018,11/27/2018,COMPLETED APPROVED,20827,Manhattan,Traffic Signal,NoAction,Irving Pl,Remove & Install,30,Yes
B-1004,49,06/13/2018,07/11/2018,11/27/2018,COMPLETED APPROVED,20827,Manhattan,Traffic Signal,NoAction,E 17 St,Remove & Install,24,Yes
B-1004,49,06/13/2018,07/11/2018,11/27/2018,COMPLETED APPROVED,20827,Manhattan,Traffic Signal,NoAction,Irving Pl,Remove & Install,30,Yes
B-1004,50,06/13/2018,07/11/2018,,W/CONTRACTOR,20828,Manhattan,Light Pole,NoAction,E 18 St,Remove & Install,24,No
B-1004,50,06/13/2018,07/11/2018,,W/CONTRACTOR,20828,Manhattan,Light Pole,NoAction,Irving Pl,Remove & Install,30,No
B-1004,51,06/13/2018,07/11/2018,,REASSIGN CONTRACTOR,20829,Manhattan,Light Pole,NoAction,E 19 St,Remove & Install,24,No
B-1004,51,06/13/2018,07/11/2018,,REASSIGN CONTRACTOR,20829,Manhattan,Light Pole,NoAction,Irving Pl,NoAction,30,No
B-1004,52,06/13/2018,07/11/2018,02/01/2019,COMPLETED APPROVED,20929,Manhattan,Traffic Signal,NoAction,E 22 St,Remove & Install,24,Yes
B-1004,52,06/13/2018,07/11/2018,02/01/2019,COMPLETED APPROVED,20929,Manhattan,Traffic Signal,NoAction,Lexington Avenue,Install,30,Yes
B-1004,53,06/13/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41466,Queens,Light Pole,NoAction,30 St,Remove & Install,24,Yes
B-1004,53,06/13/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41466,Queens,Light Pole,NoAction,39 Av,Remove & Install,24,Yes
B-1004,54,06/13/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41466,Queens,Light Pole,NoAction,30 St,Install,24,Yes
B-1004,54,06/13/2018,07/11/2018,11/30/2018,COMPLETED APPROVED,41466,Queens,Light Pole,NoAction,39 Av,Install,24,Yes
B-1004,57,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,41529,Queens,Traffic Signal,NoAction,33 St,Install,24,Yes
B-1004,57,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,41529,Queens,Traffic Signal,NoAction,38 Av,Install,24,Yes
B-1004,58,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59660,Queens,Wood Pole,NoAction,50 Av,NoAction,24,No
B-1004,58,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59660,Queens,Wood Pole,NoAction,Clearview Expwy,Remove & Install,30,Yes
B-1004,59,06/13/2018,07/11/2018,01/15/2019,COMPLETED APPROVED,59663,Queens,Pipe,NoAction,206 St,Remove & Install,24,Yes
B-1004,59,06/13/2018,07/11/2018,01/15/2019,COMPLETED APPROVED,59663,Queens,Pipe,NoAction,50 Av,Remove & Install,24,Yes
B-1004,60,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59663,Queens,Wood Pole,NoAction,206 St,Remove & Install,24,Yes
B-1004,60,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59663,Queens,Wood Pole,NoAction,50 Av,Remove & Install,24,Yes
B-1004,118,06/20/2018,07/11/2018,,W/CONTRACTOR,37680,Queens,Wood Pole,NoAction,Linden Blvd,NoAction,30,No
B-1004,61,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59783,Queens,Pipe,Repair,207 St,Remove & Install,24,Yes
B-1004,61,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59783,Queens,Pipe,Repair,50 Av,Remove & Install,24,Yes
B-1004,62,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59783,Queens,Wood Pole,NoAction,207 St,Remove & Install,24,Yes
