Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2019,Patricia A. Harris,Hong Cheng LLc and Dong Ya LLC,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plan, and accommodation of existing use for Old Columbia Pike properties in Burtonsville.",560.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2278,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2278
2013,Laurence Levitan,"Wal-Mart Stores, Inc.","Rifkin, Livingston, Levitan & Silver",,"To preserve and protect the client regarding issues affecting retail stores, development, general business matters and similar issues",25000.00,20000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=13,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=13
2016,Stephen P. Elmendorf,The Midland Companies,Linowes and Blocher LLP,,Bethesda Master Plan,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=672,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=672
2017,Victoria Leonard,Mid-Atlantic Region Organizing Coalition,Mid-Atlantic Region Organizing Coalition,,"Proposed legislation RE labor peace for county contractors,B12-16: Increase in minimum wage to $15 per hour",0.00,20000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=850,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=850
2013,Stephen J. Orens,"Pleasants Excavating Co., Inc.","Miles & Stockbridge, PC",Casey L. Cirner,"ZTA 13-04 Comprehensive Amendment 
District Map Amendment G-956",0.00,5343.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=150,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=150
2014,Robert J. Garagiola,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulation and laws regarding food and drink containers.,0.00,2125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=311,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=311
2018,William Kominers,United Therapeutics Corporation,"Lerch, Early & Brewer, Chtd.",Susan M. Reutershan,"Zoning, master plans, and general land use matters",0.00,1488.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1060,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1060
2015,Erin Appel,Lyft,Capitol Strategies,,transportation networking services,0.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=442,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=442
2015,William Kominers,Lee Development Group,"Lerch, Early & Brewer, Chtd.",Cynthia M. Bar,"Zoning, master plans, and general land use matters.",99456.00,4113.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=415,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=415
2019,Steven Silverman,Grace Episcopal Day School,"SSGOVRELATIONS,LLC",,Real estate sale,6000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2264,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2264
2016,Boaz Young-El,United Food & Commercial Workers Union Local 400,UFCW Local 400,,"Paid Sick Days, Campaign financing, Collective Bargaining, Health care, Work Labor and Employment",3939.00,18385.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=626,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=626
2019,Anthony Ruffin,Pepco Holdings,Pepco Holdings,,All matters affecting the energy and utilities industries,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2185,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2185
2016,"Lawrence A. Shulman, Esquire","Coalition for a Competitive Taxicab Industry, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA","Kristin E. Draper, Esquire",Taxicab legislation and related laws.,2093.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=543,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=543
2015,Heather Dlhopolsky,Fairmont Building LLC,Linowes and Blocher LLP,,Downtown Bethesda Sector Plan,1170.00,630.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=398,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=398
2014,Ashlie Bagwell,Restaurant Association of Maryland,Harris Jones & Malone,,"Any and all matters relating to an increase in the minimum wage, specifically, the tipped wage.",0.00,15000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=308,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=308
2014,Diane Cameron,Audubon Naturalist Society,Audubon Naturalist Society,,"Ten Mile Creek Limited Master Plan Amendment,Stormwater (MS-4) Permit implementation and renewal,Master Plans and Watershed Plans - advocacy for stream protection and restoration and full implementation of existing plans by DEP, DPS, Planning and other Departments.",21500.00,12340.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=255,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=255
2016,C. Robert Dalrymple,Southern Management Corporation,Linowes and Blocher LLP,Heather Dlhopolsky,Greater Lyttonsville Sector Plan,0.00,2888.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=712,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=712
2018,David Hicks,"Salient Capital Advisors, LLC","Salient Capital Advisors, LLC","Greg Reid, Ted Gardner",The principal and registered lobbyists provide investment advisory services.,1500.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1014,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1014
2015,"Lawrence A. Shulman, Esquire","Coalition for a Competitive Taxicab Industry, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Kristin E. Draper, Esquire",Taxicab legislation and related laws.,58490.00,53866.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=322,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=322
2018,"Nancy P. Regelin, Esquire",Marbeth Partnership,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Rock Spring Master Plan,2764.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1035,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1035
2013,G. Macy Nelson,Joint Labor Management Fund,Law Office of G. Macy Nelson,,Land issues,11610.00,12919.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=125,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=125
2017,Steven A. Robins,Federal Realty Investment Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",2461.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=807,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=807
2014,Barbara A. Sears,EYA,Linowes and Blocher LLP,Phillip A. Hummel,Chevy Chase Lake Property,735.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=248,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=248
2017,Steven A. Robins,"4931 Fairmont, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",7223.00,535.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=802,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=802
2014,Anne M. Mead,Halpine Park LLC,Linowes and Blocher LLP,,Minor Master plan amendments and Aspen Hill master plan,6663.00,513.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=220,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=220
2017,Melvin R. Thompson,Restaurant Association of Maryland,Restaurant Association of Maryland,,"Restaurant, Foodservice & Hospitality Issues",921.00,1130.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=880,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=880
2015,Robert J. Garagiola,Lockheed Martin Corporation,"Alexander & Cleaver, P.A.",,"Legislative and executive branch legislation, regulations and issues affecting tax procurement and other business issues, and new ABC license for corporate training center.",0.00,250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=340,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=340
2016,C. Robert Dalrymple,The Bernstein Companies,Linowes and Blocher LLP,"Heather Dlhopolsky, Matthew M. Gordon",Bethesda Downtown Sector Plan,0.00,3071.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=740,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=740
2017,Ashley A Coneff,"Dunkin' Brands, Inc.","Dunkin' Brands, Inc.",,All matters impacting business.,0.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1002,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1002
2016,Steven A. Robins,"S & P Partnership, LLC.","Lerch, Early & Brewer, Chtd.",,"Zoning, master plan and land use matters.",0.00,1470.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=767,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=767
2014,Cathy Greenebaum Borten,Verizon Wireless,"Law Offices of M.Gregg Diamond, P.C.",,Propose revisions to the zoning ordinance rewrite related to small cell wireless communications facilities.,3956.00,2070.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=199,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=199
2019,JACQUELINE DECARLO,MANNA FOOD CENTER,MANNA FOOD CENTER,,"Educating Officials about Manna Food Center's work.,Meeting with and educating Officials about Manna Food Center's work.",413.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2197,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2197
2020,Eliza Cava,Audubon Naturalist Society,Audubon Naturalist Society,Denisse Guitarra,"Environmental Matters, Climate Change, Transportation, Trees, Forests, Water, Wetlands, Natural Resources, Pollution",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2353,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2353
2016,Barbara A. Sears,Equity One Inc.,Linowes and Blocher LLP,Erin E. Girard,Westbard Shopping Center,67403.00,8333.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=604,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=604
2014,"Nancy P. Regelin, Esquire","Lois Wheaton, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, PA","Lawrence A. Shulman, Esquire, Larry A. Gandal, Esquire",Randolph Road Interchange Project Access and Alignment Sector Plan.,1218.00,3752.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=214,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=214
2014,William Kominers,Spectrum Partners,"Lerch, Early & Brewer, Chartered",,"Zoning, master plans, and general land use matters",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=244,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=244
2017,Ashlie Bagwell,Restaurant Association of Maryland,Harris Jones & Malone,,Any and all matters relating to minimum wage,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=841,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=841
2016,Stacy P. Silber,The Goldstar Group,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=577,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=577
2015,C. Robert Dalrymple,Washington Property Company,Linowes and Blocher LLP,Heather Dlhopolsky,Bill 34-15 (Impact Taxes),0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=506,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=506
2017,Todd D. Brown,Greenhill Capital Corporation,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Bethesda Properties.  Downtown Bethesda Sector Plan and Associated Legislation.,21967.00,12723.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=822,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=822
2013,Robert M. Zinsmeister,Associated Builders and Contractors of Metro Washi,ABC of Metro Washington,,"Procurement
Construction
Wage Rates
Training",0.00,10000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=109,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=109
2017,William Kominers,Lee Development Group,"Lerch, Early & Brewer, Chtd.",Cynthia M. Bar,"Zoning, master plans, and general land use matters",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=795,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=795
2019,Robert R. Harris,Carr Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2175,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2175
2017,Edward Krauze,Greater Capital Area Association of Realtors,Greater Capital Area Association of REALTORS,"Katalin Peter, Bill Highsmith",Generally advocating on behalf of real estate interests for members of our trade association.,40716.00,42848.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=875,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=875
2018,Gino Renne,Gino Renne,UFCW Local 1994 MCGEO,"Amy Millar, Yvette Cuffie, Lisa Blackwell-Brown, Nelvin Ransome",To lobby issues pertaining to membership representational purposes and matters related to collective bargaining,2230.00,1614.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2140,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2140
2016,Robert J. Garagiola,"Clark Office Building, LLC.","Alexander & Cleaver, P.A.",,Advocate for the Bethesda Metro Plaza proposal before County Government.,458.00,2000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=599,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=599
2014,Barbara A. Sears,The Johns Hopkins University,Linowes and Blocher LLP,"Scott C. Wallace, Yum Yu Cheng",Montgomery County Campus,1184.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=250,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=250
2015,John Marshall,"Barwood, Inc","Mulhern, Patterson & Marshall, LLP",,advocating for legislative changes for taxis and ground transportation,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=366,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=366
2015,Robert J. Garagiola,"Verizon Maryland, Inc.","Alexander & Cleaver, P.A.",,Telecommunications,1125.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=341,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=341
2019,William Kominers,Lee Development Group,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2183,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2183
2017,C. Robert Dalrymple,National Real Estate Advisors,Linowes and Blocher LLP,Matthew M. Gordon,Bethesda Downtown Sector Plan.,8518.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=904,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=904
2016,Heather Dlhopolsky,East-West Garage LLC,Linowes and Blocher LLP,,4311 Montgomery Avenue,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=638,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=638
2015,Stephen J. Orens,Renewing Montgomery,Miles & Stockbirdge PC,,Lobbying and general legal advice to custom builders.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=485,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=485
2017,Tyler Bennett,"Telaforce, LLC","Alexander & Cleaver, P.A.",,Local Procurement Matters,0.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=988,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=988
2017,Jennifer Bevan-Dangel,Common Cause Maryland,Common Cause Maryland,,Public Election Fund; funding in the budget and any legislative changes.,4250.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=897,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=897
2018,Stephen Z. Kaufman,Symmetry Cloverleaf LLC,Linowes and Blocher LLP,Heather Dlhoposky,Cloverleaf Zoning Approvals.,1375.00,788.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2115,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2115
2017,Steven A. Robins,Davis Family,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans and general land use matters including the Rock Spring Master Plan.",7357.00,5350.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=942,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=942
2017,Stephen J. Orens,George and Janet Simmons,"McMillan Metro, P.C.",Peter E. Ciferri,Sewer service category change.,0.00,706.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=991,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=991
2016,Heather Dlhopolsky,NOVO Properties,Linowes and Blocher LLP,,"Subdivision Staging Policy, Bill 37-16, Downtown Bethesda Sector Plan",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=769,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=769
2013,David Reel,Maryland Hotel & Lodging Association,Maryland Hotel & Lodging Association,,all matters impacting the hotel and lodging industry,0.00,13850.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=146,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=146
2017,Caitlin Wall,Caitlin Wall,Potomac Conservancy,,Stormwater,2400.00,1750.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=879,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=879
2019,Steven Silverman,"Buchanan Partners,LLC",SSGOVRELATIONS,,Real estate,16220.00,16250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2222,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2222
2013,"Devin J. Doolan, Esq.",Veolia Transportation,"Furey, Doolan & Abell, LLP",,Meet with County Officials concerning the employers position on transportation issues including taxi service and permitting issues,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=19,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=19
2019,Robert R. Harris,Pulte Homes,"Lerch, Early & Brewer, Chtd.",,Land use approvals.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2176,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2176
2013,Emily J. Vaias,Brookfield Washington LLC,Linowes and Blocher LLP,,Ten Mile Creek Master Plan,8713.00,27888.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=286,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=286
2016,Stacy P. Silber,Federal Realty Investment Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,1617.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=771,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=771
2020,Isaac Meyer,Montgomery County Career Fire Fighters Association,"Compass Government Relations Partners, LLC",,"Labor Matters,Public Safety Matters",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2374,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2374
2015,Steven Silverman,Saint-Gobain Performance Plastics,"SSGOVRELATIONS,LLC",,Assist company in obtaining incentives to remain and expand in county,0.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=480,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=480
2020,Anthony Ruffin,"Pepco Holdings, Inc.",Pepco Holdings,,All matters affecting the energy and utilities industries,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2311,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2311
2014,Damon Orobona,Victor Peeke,"Miller, Miller & Canby",Jody S. Kline,"Zoning rewrite, proposed zoning re: District Map Amendment G-956 and subsequent potential text amendments relating to the rewrite and map amendment",0.00,17888.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=278,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=278
2014,William Kominers,"Finmarc Management, Inc.","Lerch, Early & Brewer, Chartered",,"Zoning, master plans, and general land use matters.",11183.00,9675.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=241,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=241
2020,Robert Garagiola,Montgomery County Career Fire Fighters Association,"Compass Government Relations Partners, LLC",,"Labor Matters,Public Safety Matters",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2375,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2375
2014,Roger D. Winston,The 53A Coalition,Ballard Spahr LLP,,Propose amendments to Chapter 53A of the Montgomery County Code,1194.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=189,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=189
2013,Christopher M. Ruhlen,"QIAGEN, Inc.","Lerch, Early & Brewer, Chtd.",,Zoning Text Amendment 13-04 and District Map Amendment G-956,0.00,8538.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=160,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=160
2017,Scott C. Wallace,Montgomery Farm Women's Co-Op Market,Linowes and Blocher LLP,,Bethesda Master Plan,10400.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=901,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=901
2015,Victoria Leonard,Mid Atlantic Laborers Employers Cooperation Trust,Mid Atlantic Laborers Employers Cooperation Trust,,"transportation matters, labor matters, government operations matters, living wage matters",150.00,35025.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=354,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=354
2017,Steven A. Silverman,"VPR Companies, LLC","SSGOVRELATIONS, LLC",,General real estate matters,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=863,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=863
2015,Steven Silverman,"Buchanan Partners, LLC","SSGOVRELATIONS,LLC",,General real estate matters,0.00,12499.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=499,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=499
2019,Rick Abbruzzese,Bird Rides Incorporated,KO Public Affairs,,dockless scooter program,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2246,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2246
