Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2014,David L. Winstead,White Flint Partnership,Ballard Spahr LLP,,transportation funding matters;implementation of public-private transportation system,7807.00,37812.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=211,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=211
2014,Steven A. Robins,Cassidian Communications,"Lerch, Early & Brewer, Chartered",,Matters related to procurement of public safety communications services; land use and real estate matters.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=259,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=259
2017,"Robert G. Brewer, Jr.","Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Regulatory activities affecting Shady Grove Life Sciences Center, Washington Adventist Hospital campus in Takoma Park, Maryland, and Eastern Montgomery Count Master Plan.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=777,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=777
2016,Heather Dlhopolsky,"St. John's Episcopal Church, Norwood Parish",Linowes and Blocher LLP,,Downtown Bethesda Sector Plan Amendment,2792.00,2214.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=713,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=713
2017,Steven A. Silverman,CP 7272 Wisconsin Avenue LLC,"SSGOVRELATIONS, LLC",,Real estate,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=856,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=856
2018,Robert R. Harris,"Winchester Homes, Inc.","Lerch, Early & Brewer, Chtd.",,Land use approvals.,0.00,6377.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1059,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1059
2020,Camille Fesche,Bernstein Litowitz Berger & Grossmann LLP,Rifkin Weiner Livingston LLC,,Facilitating and assisting with the pursuit of opportunities to provide representation to pension funds/boards in specific county jurisdictions as assigned by the client.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2346,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2346
2017,Stacy P. Silber,The Harvey Companies,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",3550.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=800,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=800
2018,Rick Abbruzzese,Bird Rides Incorporated,KO Public Affairs,,dockless scooter program,0.00,2000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2162,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2162
2015,Steven Silverman,"Washington Properties, Inc","SSGOVRELATIONS,LLC",,General real estate matters,12499.00,12499.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=448,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=448
