License Number,Licensee Name,DBA Name,Business Type,License Type,License Current Status,Status Effective Date,District,Sub District,County Number,Street Number,Street Name,City,State,Zip Code,latlng
219970,MAGAVE TEQUILA INC.,MAGAVE TEQUILA,C,LS,OB,04/01/2020,7,00,OUT OF STATE,6,PARK PLACE,TIBURON,CA,949201048,"(37.916851, -122.487381)"
184410,ALADDIN MASTER TENANT LLC,HOLIDAY INN ALADDIN HOTEL,L,EXTH,OB,04/22/2020,1,00,JACKSON,1215,WYANDOTTE ST.,KANSAS CITY,MO,64105,"(39.099447, -94.58525300000001)"
264403,FREESTYLE POKE LLC,FREESTYLE POKE,L,5BDW,OB,03/17/2020,1,00,CLAY,8708,NE FLINTLOCK ROAD,KANSAS CITY,MO,64157,
254826,CELLAR ARTS LLC,TRADEMARK WINES,L,LWS,OB,04/02/2020,3,00,ST. LOUIS CO.,325,WEST PACIFIC,WEBSTER GROVES,MO,631192325,"(38.5945162, -90.36368499999999)"
258779,"CONTREARAS HECTOR JR, AND GARLOCK JOHN",CANCUN MEXICAN CUISINE,P,RBD,OB,03/27/2020,2,00,ADAIR,2020,N. BALTIMORE ST.,KIRKSVILLE,MO,63501,
261380,7425 BROADWAY LLC,BRICK + MORTAR,L,SBD,OB,03/31/2020,1,00,JACKSON,7425,BROADWAY,KANSAS CITY,MO,64114,
235923,ROADRUNNER VENTURES LLC,PAINTING WITH A TWIST,L,COL,OB,04/01/2020,5,00,GREENE,3444,SOUTH CAMPBELL AVENUE,SPRINGFIELD,MO,65804,"(37.1516398, -93.2952541)"
236177,AIZA LLC,OZARK BEVERAGE COMPANY (OBC),L,OPT,OB,03/17/2020,5,00,MCDONALD,14863,ROUTE E,PINEVILLE,MO,648567192,
254556,BEAR BISHOP LLC,BAR K,L,SBD,OB,03/12/2020,1,00,JACKSON,501,BERKLEY PKWY,KANSAS CITY,MO,64120,"(39.1146501, -94.577782)"
247959,NOMADS LLC,NOMADS,L,RBD,OB,03/23/2020,1,00,JACKSON,1804,W. 39TH STREET,KANSAS CITY,MO,64111,"(39.0574095, -94.6064124)"
202949,WHITTLES BAR & GRILL LLC,WHITTLES BAR & GRILL,L,SBD,OB,05/07/2020,2,00,MILLER,108,SOUTH MAPLE,ELDON,MO,650261851,
137389,TEQUILA JALISCO MEXICAN RESTAURANT #6,TEQUILA JALISCO MEXICAN RESTAURANT #6,C,RBD,OB,05/05/2020,2,00,LINN,517,S MAIN ST,BROOKFIELD,MO,646282338,
260440,"CHAMBERS II, ONIE",BOULEVARD BAR & BBQ,O,RBDR,OB,03/17/2020,1,00,CASS,,1246 W. FOXWOOD DR.,RAYMORE,MO,64083,
202948,WHITTLES BAR & GRILL LLC,WHITTLES BAR & GRILL,L,RBDR,OB,05/07/2020,2,00,MILLER,108,SOUTH MAPLE,ELDON,MO,650261851,
