Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
BA995,08/19/2020,9:45AM,B01614,05/10/2020,18:05:03.586
AE787,08/03/2020,10:30AM,B01614,05/10/2020,18:05:03.586
BB358,10/06/2020,10:45AM,B00131,05/10/2020,18:05:03.586
AB095,10/29/2020,10:45AM,B01614,05/10/2020,18:05:03.586
AE081,07/06/2020,9:30AM,B02932,05/10/2020,18:05:03.586
BB028,06/22/2020,10:30AM,B03027,05/10/2020,18:05:03.586
AA970,05/28/2020,9:15AM,B01601,05/10/2020,18:05:03.586
AF087,07/20/2020,10:15AM,,05/10/2020,18:05:03.586
AD313,06/02/2020,9:45AM,B03152,05/10/2020,18:05:03.586
AA941,10/09/2020,9:15AM,B01678,05/10/2020,18:05:03.586
AF605,06/04/2020,9:30AM,B02414,05/10/2020,18:05:03.586
AF470,07/24/2020,10:30AM,,05/10/2020,18:05:03.586
BA710,06/17/2020,10:30AM,B02932,05/10/2020,18:05:03.586
AE255,07/13/2020,10:00AM,B02520,05/10/2020,18:05:03.586
AA936,10/23/2020,9:30AM,B01601,05/10/2020,18:05:03.586
AA047,06/02/2020,9:00AM,B01340,05/10/2020,18:05:03.586
AC339,07/14/2020,9:00AM,B90675,05/10/2020,18:05:03.586
AF295,07/27/2020,10:15AM,B03027,05/10/2020,18:05:03.586
AF882,06/16/2020,10:00AM,B01614,05/10/2020,18:05:03.586
AF958,06/09/2020,10:15AM,,05/10/2020,18:05:03.586
AF361,08/10/2020,10:45AM,B03027,05/10/2020,18:05:03.586
AA136,09/16/2020,10:15AM,B00310,05/10/2020,18:05:03.586
AD425,07/29/2020,9:15AM,B02847,05/10/2020,18:05:03.586
AD510,07/23/2020,9:15AM,B01848,05/10/2020,18:05:03.586
AD460,06/15/2020,9:45AM,B01614,05/10/2020,18:05:03.586
BB914,06/30/2020,10:45AM,B01231,05/10/2020,18:05:03.586
AC303,08/03/2020,9:00AM,B02346,05/10/2020,18:05:03.586
AA859,09/29/2020,9:15AM,B01678,05/10/2020,18:05:03.586
AA233,10/14/2020,9:00AM,B01848,05/10/2020,18:05:03.586
AC371,11/02/2020,10:00AM,B02219,05/10/2020,18:05:03.586
AC982,06/22/2020,9:15AM,B01065,05/10/2020,18:05:03.586
AE763,08/27/2020,10:15AM,B02780,05/10/2020,18:05:03.586
AB060,10/16/2020,9:45AM,B02847,05/10/2020,18:05:03.586
AC374,10/16/2020,10:30AM,B01306,05/10/2020,18:05:03.586
AF507,06/25/2020,10:15AM,B02346,05/10/2020,18:05:03.586
