the_geom,OBJECTID,Direction,Location,InstallDate,Function,MonitoredSchool,SZSpeedLimit,SZTriggerSpeed,RegSpeedLimit,TriggerSpeed,Latitude,Longitude,SZEnforcement,Site_ID,RLCEnforcement,SpeedEnforcement,SZ_ID,Operational
POINT (-90.076969616524 30.015755427558),72,EB,1505 Prentiss Ave,07/12/2017 12:00:00 AM +0000,TFS,Holy Cross School,20,26,35,45,30.015750000000001,-90.076964000000004,x,NO126 / A_B,,x,A,Y
POINT (-90.07961161481 29.963138415487),81,EB,2063 Bienville St,07/25/2017 12:00:00 AM +0000,TFS,Success Preparatory Academy,20,26,35,45,29.963132999999999,-90.079605999999998,x,NO138 / A_B,,x,A,Y
POINT (-90.114867624892 29.961298414062),6,SB,S Carrollton Ave @ Earhart Blvd,01/25/2008 12:00:00 AM +0000,RLC,,,,35,45,29.961293000000001,-90.114862000000002,,NO06,x,x,,Y
POINT (-90.110333621866 29.920322405331),77,WB,5107 Magazine St,08/23/2017 12:00:00 AM +0000,TFS,St Katharine Drexel Preparatory School,20,26,35,45,29.920317000000001,-90.110327999999996,x,NO133 / A_B,,x,A,Y
POINT (-90.087028618431 29.982201420055),110,NB,3413 Esplanade Ave,06/23/2017 12:00:00 AM +0000,TFS,Bricolage Academy,20,26,35,45,29.982195999999998,-90.087023000000002,x,NO174 / A_B,,x,A,Y
POINT (-90.115599623515 29.932775407793),104,SB,1769 Nashville Ave,,TFS,Lusher Middle & High School,20,26,30,40,29.932770000000001,-90.115594000000002,x,NO168 / A_B,,x,A,Y
POINT (-90.027573599917 29.939737412304),48,SB,Pace Blvd @ St Julien Elementary,03/12/2012 12:00:00 AM +0000,FS,St Julien Elementary,20,26,35,45,29.939731999999999,-90.027568000000002,,NO75,,x,NO76,P
POINT (-90.090972618838 29.967779416487),101,EB,3014 Canal St,08/28/2017 12:00:00 AM +0000,TFS,Warren Easton High School,20,26,25,35,29.967773999999999,-90.090967000000006,x,NO165 / A_B,,x,A,Y
POINT (-90.080129615648 29.977443418516),99,NB,2724 Esplanade Ave,06/19/2017 12:00:00 AM +0000,TFS,McDonogh 28 Elementary School,20,26,35,45,29.977437999999999,-90.080123999999998,x,NO161 / A_B,,x,A,Y
POINT (-90.07961161481 29.963138415487),82,WB,2063 Bienville St,07/14/2017 12:00:00 AM +0000,TFS,Success Preparatory Academy,20,26,35,45,29.963132999999999,-90.079605999999998,x,NO139 / A_B,,x,A,Y
POINT (-90.103135622367 29.972061416931),46,NB,S Carrollton Ave @ Banks St,12/13/2010 12:00:00 AM +0000,RLC,,,,35,45,29.972055999999998,-90.103129999999993,,NO72,x,x,,Y
POINT (-89.968408587062 30.022919432041),27,NB,Read Blvd @ Hammond St 4800 Block of Read,10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,35,45,30.022914,-89.968402999999995,x,NO35,,x,NO51,Y
POINT (-90.089847616787 29.947142412083),74,WB,3132 Martin Luther King Jr Blvd,08/07/2017 12:00:00 AM +0000,TFS,Sylvanie Williams College Prep,20,26,35,45,29.947137000000001,-90.089842000000004,x,NO128 / A_B,,x,A,Y
POINT (-90.114686624802 29.961005414564),7,WB,Earhart Blvd @ S Carrollton Ave,01/25/2008 12:00:00 AM +0000,RLC,,,,35,45,29.960999999999999,-90.114681000000004,,NO07,x,x,,Y
POINT (-90.063498611354 29.966029417005),42,SB,N Rampart St @ Esplanade Ave,06/04/2010 12:00:00 AM +0000,RLC,,,,35,45,29.966024000000001,-90.063492999999994,,NO66,x,x,,N
POINT (-90.075662612618 29.939125410645),11,SB,St Charles Ave @ Martin Luther King Jr Blvd,06/27/2008 12:00:00 AM +0000,RLC,,,,35,45,29.939119999999999,-90.075657000000007,,NO11,x,x,,Y
POINT (-90.123202625717 29.925775406035),66,WB,Annunciation @ 2nd St,03/12/2012 12:00:00 AM +0000,FS,,,,25,35,29.92577,-90.123197000000005,,NO119,,x,,Y
POINT (-90.100859621275 29.974584417511),2,EB,Canal St @ S Carrollton Ave,01/25/2008 12:00:00 AM +0000,RLC,,,,35,45,29.974578999999999,-90.100853999999998,,NO02,x,x,,Y
POINT (-90.036978605071 30.010520427547),86,SB,4642 Mirabeau Ave,07/19/2017 12:00:00 AM +0000,TFS,Mary D Coghill School,20,26,25,35,30.010515000000002,-90.036973000000003,x,NO143 / A_B,,x,A,Y
