RequestID,IndexNumber,TenantName,TenantFloor,TenantBuildingNumber,TenantStreetName,TenantCity,TenantStateCode,TenantPostcode,TenantBorough,OwnerName,OwnerFloor,OwnerStreetAddress,OwnerCity,OwnerStateCode,OwnerZipCode,FloorSuiteRequested,NoOfBicycleRequested,BBL,BIN,DateofRequest,RequestDateofEntry,ImplementDate,PlanPostDate,PlanSubmitDate,ExceptionRequestDueDate,TenantNotificationExceptionDate,LocationOfEntrances,RouteToElevators,RegularHoursOfOperation,PlandDateReceived,AlternateParkingLocation,AlternateParkingDescription,NoOfBicycleAccomodate,RouteToAlternateParking,ParkingExceptionDateReceived,ParkingExceptionDateofEntry,DOBDeviceNumber,DateOfBuilding,DateOfElevator,MethodOfElevator,SelfServiceOrOperator,IsCarTop,IsCarDoor,ElevatorExceptionDateReceived,ElevatorExceptionHardCopyReceived,ElevatorExceptionDateofEntry,RequestStatus
1291,BIB12000229,Kilpatrick Townsend & Stockton LLP,21,1114,Avenue of the Americas,New York,NY,10036,Manhattan,Brookfield Properties,FLR 31,1114 Avenue of the Americas,New York,NY,10036,Floors 21 and 22,5,1012580009,1034196,07/06/2012,07/06/2012,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Bike may enter and exit through the loading dock only Monday through Friday 8AM to 6PM - Located on 43rd Street,Through the loading dock - using the freight elevators only,8AM to 6PM Monday Through Friday only,07/12/2012,,,,,,,,,,,,,,,,,Pending
267,BIB10000190,Lori Monson,1301,250,West 57th Street,New York,NY,10107,Manhattan,Cushman Wakefield,Floor 2,250 West 57th Street,New York,NY,10107,Thirteen,5,1010280056,1024899,03/17/2010,03/17/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Cyclists will enter/exit the building via the Freight Entrance on 8th Avenue (between 56th and 57th Streets) and take the #13 elevator to the basement level.,"Cyclists will then access the internal freight elevator (car #8) located on the east side of the property, through the basement corridor.  For egress, the same elevator is to be used.","Freight service is available on a first come, first served basis from 8:00AM to 5:00PM.",07/20/2010,,,,,,,,,,,,,,,,,Pending
1366,BIB12000304,"EnerNOC, subtenant of Regus",1600,100,Park Ave,New York City,NY,10017,Manhattan,SL Green Realty Corp,,100 Park Ave,New York City,NY,10017,1600,2,1012750027,1035319,08/31/2012,08/31/2012,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,The loading dock is located on 40th Street between Park Avenue and Madison Avenue.,"The loading dock freight elevator will take the tenant to the basement, where the tenant will proceed down a corridor to the service freight elevator.  The service freight elevator can access all floors.",8:00 am to 5:00 pm,09/24/2012,,,,,,,,,,,,,,,,,Pending
1930,BIB14000179,Madison Square Boys & Girls Club,2nd,733,Third Ave,New York,NY,10017,Manhattan,National MS Society,3rd,733 3rd Avenue,New York,NY,10017,2nd Floor,1,1013190047,1037596,08/20/2014,08/20/2014,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,,,,,,,,,,,,,,,,,,,,,Hold
2540,BIB17000068,KARV Communications,2005,122,East 42 Street,New York,NY,10168,Manhattan,Chanin,,122 East 42nd Street,New York,NY,10168,2005,1,1012960014,1036152,,,,,,,,"125 East 41st Street, Entrance permitted at 41st Street building entrance only.",41st Street fright elevator to subbasement.  Interior hi-rise freight elevator then used to access all floors.,"Business days only (Mon-Fri), 8 a.m. to 5 p.m.",,,,,,,,,,,,,,,,,,Hold
2095,BIB15000068,PanAmerican Capital Partners,111406,745,Fifth Ave,New York,NY,10151,Manhattan,Paramount,1201,745 Fifth Ave,New York,NY,10151,Suite 1406,1,1012930069,1036079,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2259,BIB16000013,"Grant, Herrmann, Schwartz & Klinger LLP",26 floor,675,Third Ave.,New York,NY,10017,Manhattan,Durst Organization,,675 Third Ave,New York,NY,10017,26th floor,2,1013160001,1037549,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hold
2669,BIB18000047,"Antares Capital, LP",22West,280,Park Avenue,New York,NY,10017,Manhattan,Vornado - SL Green,5W,280 Park Avenue,New York,NY,10017,21west22west23west,20,1012840033,1035441,,,,,,,,49th Street East Freight Entrance,"Using the ramp on the 49th street side, the individual will enter the East Freight Entrance located behind starbucks and check in with the guard on duty.",8am-6pm M-F; 8am-1pm Saturday,,,,,,,,,,,,,,,,,,Hold
391,BIB10000314,NCG,10th Floor,381,Park Avenue South,New York City,NY,10016,Manhattan,"373-381 PAS Associates, LLC",Basement,381 Park Avenue South,New York City,NY,10016,10th Floor Suite 1011,1,1008820085,1018159,04/28/2010,04/28/2010,01/31/1999,02/05/1999,02/10/1999 12:00:00 AM,01/16/1999,01/31/1999,Freight entrance on 27th Street.  112 East 27th Street.,Freight entrance,"8 am to 12 noon and 1 pm to 5 pm, Monday through Friday, except holidays.",06/03/2010,,,,,,,,,,,,,,,,,Pending
2051,BIB15000024,"Millhouse Peck Properties, LLC",Suite 2048,420,Lexington Avenue,New York,NY,10170,Manhattan,SL Green Realty Corp,Suite 860,420 Lexington Avenue,New York,NY,10170,Suite 2048,6,1012800060,1035385,,,,,,,,Depew Place / Loading dock area.  Located off 45th Street between Lex and Vanderbilt.,"Enter through the loading dock, walk up ramp, follow corridor to freight elevators.  Freight elevators access floors mezzanine through 30.",7:00AM - 5:30PM,,,,,,,,,,,,,,,,,,Hold
