HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
Pentecostal Church of Jesus Christ of Queens,128-05 Liberty Avenue,Richmond Hill,NY,11419,05/21/2008,2020-6014,01/03/2020,01/31/2021,Active,Renew,4,40.689045,-73.816956,10,28,15802,4203991,4095650037,South Ozone Park,POINT (-73.816956 40.689045)
Holy Ghost Pentecostal Faith Church,13-15 East 125th Street,New York,NY,10035,04/27/2010,2020-5990,01/02/2020,01/31/2021,Active,Renew,1,40.806184,-73.941692,11,9,198,1054027,1017500005,East Harlem North,POINT (-73.941692 40.806184)
Congregation K'Hall Machzeka Hadass,1636 49th Street,Brooklyn,NY,11204,05/05/2008,2020-6006,01/03/2020,01/31/2021,Active,Renew,3,40.630429,-73.984516,12,44,474,3129176,3054540024,Borough Park,POINT (-73.984516 40.630429)
Yeshivath Divrei Chaim,1214 43rd Street,Brooklyn,NY,11219,01/25/2010,2020-6043,01/17/2020,01/31/2021,Active,Renew,3,40.639378,-73.990279,12,39,224,3136137,3056040012,Borough Park,POINT (-73.990279 40.639378)
Our Lady Of Good Counsel Church,10 Austin Place,Staten Island,NY,10304,01/13/2017,2020-6042,01/17/2020,01/31/2021,Active,Renew,5,40.631913,-74.086708,1,49,33,5106887,5005800034,Grymes Hill-Clifton-Fox Hills,POINT (-74.086708 40.631913)
Shiv Shakti Peeth Inc,264-12 Hillside Ave.,Glen Oaks,NY,11004,10/10/2008,2020-5991,01/03/2020,12/31/2020,Active,Replace,4,40.738162,-73.704422,13,23,157903,4179985,4087940022,Glen Oaks-Floral Park-New Hyde Park,POINT (-73.704422 40.738162)
St. Columba's Catholic Church,343 West 25th Street,New York,NY,10001,04/23/2013,2020-6041,01/16/2020,05/31/2020,Active,Renew,1,40.747261,-73.999159,4,3,93,1068012,1007490015,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.999159 40.747261)
"Little Mt. Bethel Baptist Church, Inc.",1538 Longfellow Avenue,New York,NY,10460,06/14/2016,2020-6048,01/21/2020,08/31/2020,Active,Replace,2,40.833252,-73.885992,3,17,157,2010925,2030090008,Crotona Park East,POINT (-73.885992 40.833252)
Church of God Inc,3917 Church Avenue,Brooklyn,NY,11203,12/22/2014,2020-5998,01/03/2020,01/31/2021,Active,Renew,3,40.651251,-73.940714,17,41,814,3327748,3048760035,East Flatbush-Farragut,POINT (-73.940714 40.651251)
Refuge Church of God Inc.,595 Quincy St,Brooklyn,NY,11224,10/19/2011,2020-6040,01/16/2020,01/31/2021,Active,Renew,3,40.68875,-73.935178,3,36,291,3044290,3016250073,Stuyvesant Heights,POINT (-73.935178 40.68875)
Episcopal Church Of The Holy Spirit,8117 Bay Parkway,Brooklyn,NY,11214,05/07/2008,2020-6034,01/09/2020,01/31/2021,Active,Renew,3,40.604014,-73.991112,11,47,296,3163929,3063000001,Bensonhurst West,POINT (-73.991112 40.604014)
Second Canaan Baptist Church,12 Lenox Ave,New York,NY,10026,07/01/2011,2020-6028,01/09/2020,01/31/2021,Active,Renew,1,40.798696,-73.952104,10,9,186,1051406,1015940069,Central Harlem South,POINT (-73.952104 40.798696)
Islamic Center Of Brighton Beach,230 Neptune Avenue,Brooklyn,NY,11235,07/28/2014,2020-6053,01/28/2020,12/31/2020,Active,Replace,3,40.581567,-73.961749,13,48,364,3244501,3086670747,Brighton Beach,POINT (-73.961749 40.581567)
Grace Chinese Baptist Church,5224 6th Avenue,Brooklyn,NY,11220,11/14/2017,2020-5992,01/03/2020,11/30/2020,Active,Renew,3,40.642482,-74.009477,7,38,100,3013968,3008080041,Sunset Park East,POINT (-74.009477 40.642482)
"Sivananda Yoga Vedanta Center, Inc.",243 West 24th St,New York,NY,10011,11/17/2016,2020-6032,01/09/2020,01/31/2021,Active,Renew,1,40.745318,-73.996467,4,3,91,1014172,1007740014,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.996467 40.745318)
Unity East Church Center,1901 Beverly Road,Brooklyn,NY,11226,01/17/2014,2020-6023,01/03/2020,01/31/2021,Active,Renew,3,40.644751,-73.961036,14,40,51001,3117615,3051230047,Flatbush,POINT (-73.961036 40.644751)
Christ Church Riverdale,5030 Henry Hudson Pkwy East,Bronx,NY,10471,08/18/2015,2020-6030,01/09/2020,12/31/2020,Active,Renew,2,40.898219,-73.907483,8,11,335,2087590,2058334259,North Riverdale-Fieldston-Riverdale,POINT (-73.907483 40.898219)
Holy Ghost Christian Church,108 East 103rd Street,New York,NY,10029,01/09/2012,2020-6031,01/09/2020,01/31/2021,Active,Renew,1,40.790762,-73.948769,11,8,166,1088166,1016300070,East Harlem South,POINT (-73.948769 40.790762)
"Iglesia De Dios Pentecostal, Inc.",379 Atlantic Avenue,Brooklyn,NY,11217,12/29/2008,2020-6056,01/28/2020,01/31/2021,Active,Renew,3,40.68729,-73.985736,2,33,41,3000682,3001770043,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.985736 40.68729)
Iglesia Evangelica MenonIta Eben-Ezer Inc.,1126 Sherman Ave,Bronx,NY,10456,09/04/2012,2020-6010,01/03/2020,01/31/2021,Active,Renew,2,40.831906,-73.916985,4,16,18101,2002647,2024520010,East Concourse-Concourse Village,POINT (-73.916985 40.831906)
Glory Of Christ Church,2137 Ellis Avenue,Bronx,NY,10462,05/09/2008,2020-6009,01/03/2020,01/31/2021,Active,Renew,2,40.832411,-73.853023,9,18,92,2026584,2038130066,Westchester-Unionport,POINT (-73.853023 40.832411)
Safe Haven United Church of Christ,601 Onderdonk Avenuie,Ridgewood,NY,11385,12/24/2019,2020-6025,01/07/2020,01/31/2021,Active,New,,,,,,,,,,
"Mt. Zion Congregation Church, Inc.,",984 Bedford Avenue,Brooklyn,NY,11205,05/23/2008,2020-6013,01/03/2020,01/31/2021,Active,Renew,3,40.691441,-73.955527,3,33,235,3055259,3019280066,Clinton Hill,POINT (-73.955527 40.691441)
Universal Church Of God Inc,109-34 Guy R Brewer Blvd,Jamaica,NY,11433,04/30/2008,2020-5995,01/03/2020,01/31/2021,Active,Renew,4,40.694356,-73.789642,12,28,260,4263377,4121520053,South Jamaica,POINT (-73.789642 40.694356)
"Little Flock of Jesus Christ, Inc",1513 Nostrand Avenue,Brooklyn,NY,11226,01/03/2011,2020-6045,01/21/2020,01/31/2021,Active,Renew,3,40.649317,-73.949404,17,40,824,3109262,3048840043,Erasmus,POINT (-73.949404 40.649317)
Pentecostal Church Of The Garden Of Eden,870 Fairmount Place,Bronx,NY,10460,01/26/2017,2020-5996,01/03/2020,01/31/2021,Active,Renew,2,40.841614,-73.886849,6,17,36502,2010148,2029590043,East Tremont,POINT (-73.886849 40.841614)
Church of Our Saviour,59 Park Avenue,New York,NY,10016,11/02/2017,2020-5993,01/03/2020,12/31/2020,Active,Renew,1,40.749346,-73.979681,6,4,80,1019119,1008930092,Murray Hill-Kips Bay,POINT (-73.979681 40.749346)
Rabbi Israel Meyer Hacohen Rabbinical Seminary Of,76.01 147th Street,Flushing,NY,11367,01/26/2017,2020-6038,01/16/2020,01/31/2021,Active,Renew,,,,,,,,,,
Rego Park Jewish Center,97-30 Queens Blvd.,Rego Park,NY,11374,02/08/2016,2020-6015,01/03/2020,01/31/2021,Active,Renew,4,40.728991,-73.859284,6,29,69701,4072142,4030840014,Rego Park,POINT (-73.859284 40.728991)
Theotokos Unexpected Joy Church At St. Markella Ca,2268 26th Street,Astoria,NY,11105,12/10/2015,2020-6022,01/03/2020,01/31/2021,Active,Renew,4,40.776901,-73.915468,1,22,101,4432126,4008660059,Steinway,POINT (-73.915468 40.776901)
St. Catherine of Genoa Church,506 West 153rd Street,New York,NY,10031,05/23/2008,2020-6020,01/03/2020,01/31/2021,Active,Renew,1,40.830485,-73.944457,9,7,237,1062236,1020840039,Hamilton Heights,POINT (-73.944457 40.830485)
Eternal Love Baptist Church,54-07 99th Street,Corona,NY,11368,03/23/2011,2020-6007,01/03/2020,01/31/2021,Active,Renew,4,40.739448,-73.860618,4,21,44301,4047218,4019090032,Corona,POINT (-73.860618 40.739448)
Congregation Ohab Zedek,118 West 95th Street,New York,NY,10025,05/05/2008,2020-6044,01/17/2020,08/31/2020,Active,Renew,1,40.792512,-73.968815,7,6,181,1032564,1012250041,Upper West Side,POINT (-73.968815 40.792512)
Samadhi Chan Monastery Happy Buddhist Association,88-17 Justice Ave,Elmhurst,NY,11373,12/13/2015,2020-6016,01/03/2020,01/31/2021,Active,Renew,4,40.736871,-73.874985,4,25,473,4045394,4018400047,Elmhurst,POINT (-73.874985 40.736871)
Faith Assembly,120-13 101st Avenue,Richmond Hill,NY,11419,05/07/2008,2020-6059,01/30/2020,01/31/2021,Active,Renew,4,40.690325,-73.824719,9,28,154,4199736,4094600028,Richmond Hill,POINT (-73.824719 40.690325)
Convent Avenue Baptist Church,420 West 145th Street,New York,NY,10031,10/18/2010,2020-5989,01/02/2020,07/31/2020,Active,Renew,1,40.824436,-73.945733,9,7,227,1060948,1020500042,Hamilton Heights,POINT (-73.945733 40.824436)
Yeshiva Zichron Meilech,510 Dahill Road,Brooklyn,NY,11218,05/30/2008,2020-6026,01/07/2020,01/31/2021,Active,Renew,3,40.635064,-73.979052,12,39,478,3328435,3053820024,Borough Park,POINT (-73.979052 40.635064)
Bethenia Baptist Church,720 Hancock Street,Brooklyn,NY,11233,05/01/2008,2020-6004,01/03/2020,01/31/2021,Active,Renew,3,40.68522,-73.926596,3,36,383,3330960,3016620044,Stuyvesant Heights,POINT (-73.926596 40.68522)
First Jerusalem Baptist Church,1098 Fulton Street,Brooklyn,NY,11238,05/08/2008,2020-6027,01/07/2020,01/31/2021,Active,Renew,3,40.681368,-73.956832,3,36,227,3057710,3020160027,Clinton Hill,POINT (-73.956832 40.681368)
YTTL LUBAVITCHER YESHIVA,570 CROWN STREET,BROOKLYN,NY,11213,12/26/2019,2020-6049,01/22/2020,01/31/2021,Active,New,3,40.665652,-73.939237,9,35,333,3393264,3014170007,Crown Heights South,POINT (-73.939237 40.665652)
John Wesley United Methodist Church,260 Quincy Street,Brooklyn,NY,11216,05/14/2008,2020-6057,01/30/2020,11/30/2020,Active,Renew,3,40.686861,-73.951431,3,36,243,3050841,3018070048,Bedford,POINT (-73.951431 40.686861)
Evangelical Lutheran Church Of Our Saviour,90-04 175th Street,Jamaica,NY,11432,05/08/2008,2020-6036,01/13/2020,01/31/2021,Active,Renew,4,40.709765,-73.786654,12,27,462,4209889,4098100001,Jamaica,POINT (-73.786654 40.709765)
Faith Apostolic Tabernacle United Pentecostal Chur,5011 Avenue M,Brooklyn,NY,11234,01/20/2015,2020-6060,01/30/2020,01/31/2021,Active,Renew,3,40.621379,-73.926911,18,46,680,3218581,3078480005,Flatlands,POINT (-73.926911 40.621379)
First Union Baptist Church,2064 Grand Concourse,Bronx,NY,10457,01/22/2010,2020-6055,01/28/2020,01/31/2021,Active,Renew,2,40.852961,-73.903157,5,15,23502,2013630,2031560007,Mount Hope,POINT (-73.903157 40.852961)
Congregation Beth El Of Flatbush,2181 East 3rd Street,Brooklyn,NY,11223,06/28/2013,2020-6039,01/16/2020,01/31/2021,Active,New,3,40.596764,-73.968557,15,47,396,3192914,3071300171,Homecrest,POINT (-73.968557 40.596764)
"Jehovah Jireh House of Prayer, Inc.",143 -06 107th Avenue,Jamaica,NY,11435,01/18/2019,2020-5994,01/03/2020,01/31/2021,Active,Renew,,,,,,,,,,
Fountain Christian Center Inc,11 Marcus Garvey,Brooklyn,NY,11206,05/08/2008,2020-6008,01/03/2020,01/31/2021,Active,Renew,,,,,,,,,,
Shaw African Methodist Episcopal Zion Church,100-05 34th Avenue,Corona,NY,11368,12/31/2012,2020-6017,01/03/2020,01/31/2021,Active,Renew,4,40.755532,-73.86797,3,21,377,4042528,4017150045,North Corona,POINT (-73.86797 40.755532)
Bosansko Hercegovacki Islamic Center of NY,37-46 Crescent Street,Long Island Cit,NY,11101,11/17/2016,2020-6001,01/03/2020,01/31/2021,Active,Renew,4,40.756397,-73.935199,1,26,33,4004447,4003670042,Queensbridge-Ravenswood-Long Island City,POINT (-73.935199 40.756397)
Marble Collegiate Church,1 West 29th Street,New York,NY,10001,05/20/2008,2020-6037,01/13/2020,12/31/2020,Active,Renew,1,40.745419,-73.987102,5,4,76,1015764,1008310033,Midtown-Midtown South,POINT (-73.987102 40.745419)
Mesivta Yeshiva Chaim Berlin,1585 Coney Island Avenue,Brooklyn,NY,11230,10/07/2013,2020-6029,01/09/2020,12/31/2020,Active,Renew,3,40.618888,-73.964048,14,44,768,3180580,3067310076,Midwood,POINT (-73.964048 40.618888)
Bethel Assembly Of God,77 Eldridge Street,New York,NY,10002,04/30/2008,2020-6002,01/03/2020,01/31/2021,Active,Renew,1,40.716989,-73.992572,3,1,16,1003966,1003060030,Chinatown,POINT (-73.992572 40.716989)
St. Charles Borromeo Church,1 Aitken Place,Brooklyn,NY,11201,05/23/2008,2020-6051,01/24/2020,01/31/2021,Active,Renew,3,40.692402,-73.994306,2,33,7,3002531,3002640001,Brooklyn Heights-Cobble Hill,POINT (-73.994306 40.692402)
Staten Island Chinese Christian Church,159 Schmidts Lane,Staten Island,NY,10314,05/29/2008,2020-6021,01/03/2020,01/31/2021,Active,Renew,5,40.609174,-74.11821,2,49,177,5017908,5007070161,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,POINT (-74.11821 40.609174)
Bethany Christian Church,133 East 103 Street,New York,NY,10029,04/29/2008,2020-6033,01/09/2020,01/31/2021,Active,Renew,1,40.790551,-73.948224,11,8,166,1051908,1016310011,East Harlem South,POINT (-73.948224 40.790551)
Greenpoint Reformed Church,138 Milton Street,Brooklyn,NY,11222,01/22/2010,2020-6024,01/06/2020,02/28/2021,Active,Renew,3,40.729382,-73.955163,1,33,565,3064901,3025660032,Greenpoint,POINT (-73.955163 40.729382)
Assafa Islamic Center Inc .,172 Eldridge Street,New York,NY,10002,10/02/2016,2020-6003,01/03/2020,01/31/2021,Active,Renew,1,40.720211,-73.990902,3,1,18,1089458,1004150010,Chinatown,POINT (-73.990902 40.720211)
Faithful and True International Ministries Inc.,113-53 Springfield Boulevard,Queens Village,NY,11429,12/10/2014,2020-5997,01/03/2020,12/31/2020,Active,Renew,4,40.702554,-73.740812,13,27,590,4532740,4112330010,Cambria Heights,POINT (-73.740812 40.702554)
Gita Temple Ashram Inc.,92-09 Corona Ave,Elmhurst,NY,11373,06/29/2012,2020-6046,01/21/2020,06/30/2020,Active,Replace,4,40.742453,-73.872174,4,25,463,4039968,4016000099,Elmhurst,POINT (-73.872174 40.742453)
Kings Church of Christ,1371 Rogers Ave.,Brooklyn,NY,11210,08/13/2018,2020-6050,01/22/2020,11/30/2020,Active,Renew,3,40.636689,-73.950966,14,45,788,3120928,3052290007,Flatbush,POINT (-73.950966 40.636689)
Trinity Tabernacle of Gravesend,121 Gravesend Neck Road,Brooklyn,NY,11223,02/23/2009,2020-6058,01/30/2020,01/31/2021,Active,Renew,3,40.595049,-73.971003,15,47,396,3342631,3071270028,Homecrest,POINT (-73.971003 40.595049)
Sephardic Institute Synagogue,511 Avenue R,Brooklyn,NY,11223,01/22/2010,2020-5999,01/03/2020,01/31/2021,Active,Renew,3,40.604671,-73.967923,15,44,41402,3253638,3066810394,Homecrest,POINT (-73.967923 40.604671)
Church of The Blessed Sacrament,30 Manor Road,Staten Island,NY,10310,10/22/2009,2020-6047,01/21/2020,01/31/2021,Active,Renew,5,40.627557,-74.125239,1,49,141,5106713,5002340001,West New Brighton-New Brighton-St. George,POINT (-74.125239 40.627557)
Evangelical Lutheran Church Of The Advent,2504 Broadway,New York,NY,10025,05/08/2008,2020-6054,01/28/2020,01/31/2021,Active,Renew,1,40.792909,-73.97304,7,6,179,1033646,1012410020,Upper West Side,POINT (-73.97304 40.792909)
Chinese Conservative Baptist Church,103 Madison Street,New York,NY,10002,04/29/2008,2020-6000,01/03/2020,01/31/2021,Active,Renew,1,40.712233,-73.995278,3,1,8,1003335,1002770015,Chinatown,POINT (-73.995278 40.712233)
"Maha Lakshmi Mandir Inc.,",121-15 101st Ave,Richmond Hill,NY,11419,05/19/2008,2020-6011,01/03/2020,01/31/2021,Active,Renew,4,40.690598,-73.823752,9,28,154,4199764,4094610027,Richmond Hill,POINT (-73.823752 40.690598)
Most Precious Blood RC Church,32-23 36th Street,Long Island Cit,NY,11106,01/22/2010,2020-6012,01/03/2020,01/31/2021,Active,Renew,4,40.759718,-73.921691,1,22,59,4009738,4006470028,Astoria,POINT (-73.921691 40.759718)
Temple Sholom of Flatbush,2075 East 68th Street,Brooklyn,NY,11234,10/13/2014,2020-6144,03/04/2020,03/31/2021,Active,Renew,3,40.618864,-73.910226,18,46,69602,3237201,3084090001,Georgetown-Marine Park-Bergen Beach-Mill Basin,POINT (-73.910226 40.618864)
Chinese Missionary Baptist Church of New York Inc.,136 Henry Street,New York,NY,10002,12/20/2011,2020-6120,03/04/2020,03/31/2021,Active,Renew,1,40.713319,-73.990784,3,1,6,1003262,1002730031,Lower East Side,POINT (-73.990784 40.713319)
Concilio Estrellade Jacob Iglesia Cristiana Inc.,53 East 184th Street,Bronx,NY,10468,02/25/2014,2020-6122,03/04/2020,03/31/2021,Active,Renew,2,40.860167,-73.901318,5,14,239,2014017,2031840001,Fordham South,POINT (-73.901318 40.860167)
Iglesia Alianza Oasis Cristiana Y Misionera,141 Audubon Avenue,New York,NY,10032,05/18/2009,2020-6151,03/05/2020,02/28/2021,Active,Renew,1,40.842793,-73.936665,12,10,253,1063073,1021280035,Washington Heights South,POINT (-73.936665 40.842793)
Congregation Khal Chasidim Of Brooklyn,4820 15th Avenue,Brooklyn,NY,11219,10/30/2015,2020-6157,03/09/2020,12/31/2020,Active,Renew,3,40.632768,-73.987311,12,44,234,3137509,3056360042,Borough Park,POINT (-73.987311 40.632768)
Diocese of the Armenian Church,630 Second Avenue,New York,NY,10016,10/29/2018,2020-6154,03/06/2020,02/28/2021,Active,Renew,1,40.745082,-73.975647,6,2,78,1081682,1009400001,Murray Hill-Kips Bay,POINT (-73.975647 40.745082)
Xi Fang Temple,5101 8th Ave,Brooklyn,NY,11220,03/13/2012,2020-6146,03/04/2020,03/31/2021,Active,Renew,3,40.640468,-74.004374,12,38,108,3138136,3056510010,Sunset Park East,POINT (-74.004374 40.640468)
Grace United Methodist Church,33 7th Avenue,Brooklyn,NY,11217,05/13/2008,2020-6128,03/04/2020,03/31/2021,Active,Renew,3,40.676606,-73.973992,6,39,159,3024356,3010580001,Park Slope-Gowanus,POINT (-73.973992 40.676606)
The United Methodist Church of Richmond Hill,112-14 107th Avenue,South Richmond,NY,11419,03/01/2017,2020-6160,03/11/2020,03/31/2021,Active,Renew,4,40.682778,-73.828882,10,28,100,4203386,4095500001,South Ozone Park,POINT (-73.828882 40.682778)
First Baptist Church of Flushing,142-10 Sanford Avenue,Flushing,NY,11355,05/07/2008,2020-6124,03/04/2020,03/31/2021,Active,Renew,4,40.757761,-73.824737,7,20,857,4438161,4051810017,Flushing,POINT (-73.824737 40.757761)
Knesseth Bais Yaakov,1720 Avenue J,Brooklyn,NY,11230,05/15/2008,2020-6130,03/04/2020,03/31/2021,Active,Renew,3,40.625411,-73.959217,14,44,532,3180104,3067190037,Midwood,POINT (-73.959217 40.625411)
Fenimore Street United Methodist Church,276 Fenimore Street,Brooklyn,NY,11225,10/25/2011,2020-6126,03/04/2020,03/31/2021,Active,Renew,3,40.658475,-73.953808,9,40,802,3115569,3050430048,Prospect Lefferts Gardens-Wingate,POINT (-73.953808 40.658475)
Pentecostal Evangelist Church Inc,415 53rd Street,Brooklyn,NY,11220,03/08/2018,2020-6137,03/04/2020,03/31/2021,Active,Renew,3,40.644428,-74.013708,7,38,76,3013935,3008070074,Sunset Park West,POINT (-74.013708 40.644428)
Astoria Center of Israel,27-35 Crescent Street,Astoria,NY,11102,04/22/2010,2020-6118,03/04/2020,03/31/2021,Active,Renew,4,40.770207,-73.923798,1,22,71,4006862,4005740042,Old Astoria,POINT (-73.923798 40.770207)
Steinway Reformed Church,41-01 Ditmars Ave,Astoria,NY,11105,12/15/2014,2020-6159,03/11/2020,03/31/2021,Active,Renew,,,,,,,,,,
Congregation Bet Shmuel,1914 East 8th Street,Brooklyn,NY,11223,10/21/2014,2020-6123,03/04/2020,03/31/2021,Active,Renew,3,40.60215,-73.963808,15,47,416,3190519,3070890014,Homecrest,POINT (-73.963808 40.60215)
Anglican Church Of The Pentecost International,1240-50 Edward L. Grant Highway,Bronx,NY,10452,12/15/2011,2020-6147,03/05/2020,12/31/2020,Active,Renew,2,40.836799,-73.922305,4,16,219,2008638,2028710002,Highbridge,POINT (-73.922305 40.836799)
Rehoboth Open Bible Church,5102 Avenue D,Brooklyn,NY,11203,05/27/2008,2020-6139,03/04/2020,03/31/2021,Active,Renew,3,40.642197,-73.928193,17,45,846,3222020,3079270040,Rugby-Remsen Village,POINT (-73.928193 40.642197)
Greater Emmanuel Baptist Church,325 East 118th Street,New York,NY,10035,01/22/2010,2020-6158,03/09/2020,03/31/2021,Active,Renew,1,40.797994,-73.936057,11,8,188,1054709,1017950012,East Harlem North,POINT (-73.936057 40.797994)
Faith Bible Inc,99-14 43rd Ave.,Corona,NY,11368,05/07/2008,2020-6125,03/04/2020,03/31/2021,Active,Renew,4,40.7466,-73.864707,4,21,409,4314511,4016280031,North Corona,POINT (-73.864707 40.7466)
Central Synagogue,652 Lexington Avenue,New York,NY,10022,04/23/2010,2020-6165,03/13/2020,02/28/2021,Active,Replace,1,40.759485,-73.970195,5,4,100,1036488,1013090056,Turtle Bay-East Midtown,POINT (-73.970195 40.759485)
St. Athanasius Church,2154 61st Street,Brooklyn,NY,11204,01/10/2020,2020-6164,03/13/2020,01/31/2021,Active,Renew,3,40.616743,-73.980099,11,47,246,3132668,3055290033,Borough Park,POINT (-73.980099 40.616743)
Williamsburg Spanish Seventh-dayAdventist Church,319 Grand Street,Brooklyn,NY,11211,03/12/2019,2020-6145,03/04/2020,03/31/2021,Active,Renew,3,40.712645,-73.956476,1,34,519,3062707,3023840038,North Side-South Side,POINT (-73.956476 40.712645)
Woodycrest United Methodist Church,89 West 166th Street-POB 60,Bronx,NY,10452,03/21/2017,2020-6150,03/05/2020,08/31/2020,Active,Renew,,,,,,,,,,
Jubilant Pentecostal Holiness Church,295 Gates Avenue,Brooklyn,NY,11216,05/14/2008,2020-6152,03/06/2020,03/31/2021,Active,Renew,3,40.685658,-73.955538,3,36,229,3056586,3019740046,Clinton Hill,POINT (-73.955538 40.685658)
Evangelical Lutheran Church in America,1205 WoodyCrest Avenue,Bronx,NY,10452,01/22/2010,2020-6163,03/13/2020,08/31/2020,Active,Renew,2,40.837258,-73.924448,4,16,199,2003293,2025150049,Highbridge,POINT (-73.924448 40.837258)
Pentecostal Church Of Jesus Christ,175 5th Avenue,Brooklyn,NY,11217,03/11/2013,2020-6166,03/17/2020,03/31/2021,Active,Renew,3,40.67734,-73.979818,6,39,131,3019586,3009500005,Park Slope-Gowanus,POINT (-73.979818 40.67734)
Agudath Israel Bais Binyomin,2913 Ave L,Brooklyn,NY,11230,02/18/2016,2020-6116,03/04/2020,03/31/2021,Active,Renew,3,40.62192,-73.946734,14,45,748,3208621,3076290001,Midwood,POINT (-73.946734 40.62192)
Shri Radhe Govinda Mandir,184-01 Jamaica Avenue,Hollis,NY,11423,02/25/2013,2020-6141,03/04/2020,03/31/2021,Active,Renew,4,40.709166,-73.775875,12,27,470,4211977,4099050033,Jamaica,POINT (-73.775875 40.709166)
Community Church of Astoria,14 42 Broadway,Astoria,NY,11106,05/02/2008,2020-6153,03/06/2020,02/28/2021,Active,Renew,4,40.765689,-73.932547,1,22,45,4005790,4005300006,Astoria,POINT (-73.932547 40.765689)
Mt. Horeb Baptist Church,109-20 34th Ave.,Corona,NY,11368,03/28/2019,2020-6132,03/04/2020,03/31/2021,Active,Renew,4,40.756414,-73.859449,3,21,381,4043646,4017530011,North Corona,POINT (-73.859449 40.756414)
Christ United Methodist Church,673 45th Street,Brooklyn,NY,11220,03/05/2012,2020-6121,03/04/2020,03/31/2021,Active,Renew,3,40.645699,-74.003733,7,38,96,3332045,3007400043,Sunset Park East,POINT (-74.003733 40.645699)
New Zion Pilgrim Baptist Church,1040 Washington Avenue,Bronx,NY,10456,05/20/2011,2020-6135,03/04/2020,03/31/2021,Active,Renew,2,40.827171,-73.909175,3,16,185,2001257,2023700001,Morrisania-Melrose,POINT (-73.909175 40.827171)
Shree Sundar Gopal Mandir Inc.,97-53 104th Street,Ozone Park,NY,11416,03/22/2017,2020-6161,03/11/2020,03/31/2021,Active,Renew,4,40.687649,-73.839737,9,28,116,4197792,4094060137,Richmond Hill,POINT (-73.839737 40.687649)
"Pentecostal Church Of Jesus Christ, Inc.",21 Marcus Garvey Boulevard,Brooklyn,NY,11206,07/18/2016,2020-6162,03/11/2020,07/31/2020,Active,Replace,3,40.699032,-73.941245,3,36,28501,3042825,3015790006,Bushwick South,POINT (-73.941245 40.699032)
Madison Jewish Center,2989 Nostrand Avenue,Brooklyn,NY,11229,05/16/2008,2020-6131,03/04/2020,03/31/2021,Active,Renew,3,40.611538,-73.943951,15,46,644,3182809,3067930009,Georgetown-Marine Park-Bergen Beach-Mill Basin,POINT (-73.943951 40.611538)
Williamsburgh Pentecostal Church,674 Metropolitan Avenue,Brooklyn,NY,11211,03/20/2018,2020-6148,03/05/2020,03/31/2021,Active,Renew,3,40.714309,-73.946653,1,34,503,3068844,3027630020,East Williamsburg,POINT (-73.946653 40.714309)
Iglesia Cristiana Manantial De Vida Inc,50 Bergen Street,Brooklyn,NY,11201,03/02/2011,2020-6127,03/04/2020,03/31/2021,Active,Renew,3,40.68709,-73.9914,2,33,69,3005736,3003840030,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.9914 40.68709)
SOUTH BROOKLYN SDA CHURCH,42 PROSPECT PLACE,BROOKLYN,NY,11217,07/11/2011,2020-6142,03/04/2020,03/31/2021,Active,Renew,3,40.679754,-73.976421,6,39,12902,3018870,3009380026,Park Slope-Gowanus,POINT (-73.976421 40.679754)
Jamaica Muslim Center Inc.,85-37 168th Street,Jamaica,NY,11432,01/22/2010,2020-6129,03/04/2020,03/31/2021,Active,Renew,4,40.713247,-73.796339,8,24,454,4210720,4098510017,Briarwood-Jamaica Hills,POINT (-73.796339 40.713247)
St. Augustine Episcopal Church,290 Henry Street,New York,NY,10002,01/28/2013,2020-6143,03/04/2020,03/31/2021,Active,Renew,1,40.713991,-73.98319,3,2,202,1081962,1002670019,Lower East Side,POINT (-73.98319 40.713991)
Bibleway House Of Blessings,675 Franklin Avenue,Brooklyn,NY,11238,03/18/2016,2020-6119,03/04/2020,03/31/2021,Active,Renew,3,40.675464,-73.956223,8,35,221,3030860,3012240005,Crown Heights North,POINT (-73.956223 40.675464)
"New Covenant Church Of God, Inc.",104 28 Astoria Blvd,East Elmhurst,NY,11369,03/04/2015,2020-6133,03/04/2020,03/31/2021,Active,Renew,4,40.761235,-73.86494,3,21,365,4547962,4016910008,East Elmhurst,POINT (-73.86494 40.761235)
Pentecostal Church The Light Of World Inc.,185 South 9th Street,Brooklyn,NY,11211,03/14/2014,2020-6136,03/04/2020,03/31/2021,Active,Renew,3,40.708447,-73.961705,1,34,525,3059635,3021390037,North Side-South Side,POINT (-73.961705 40.708447)
Saint Angela Merici Church,917 Morris Avenue,Bronx,NY,10451,02/24/2016,2020-6140,03/04/2020,03/31/2021,Active,Renew,2,40.826827,-73.917779,4,16,18302,2002474,2024450046,East Concourse-Concourse Village,POINT (-73.917779 40.826827)
