HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
Mesivta and Yeshiva Gedolah Of Manhattan Beach,59 West End Avenue,Brooklyn,NY,11235,02/24/2016,2019-5485,04/03/2019,04/30/2020,Active,Renew,3,40.580416,-73.953549,15,48,612,3245815,3087260062,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.953549 40.580416)
Church of Notre Dame,405 West 114th Street,New York,NY,10025,09/22/2011,2019-5804,09/23/2019,10/31/2020,Active,Renew,1,40.804858,-73.960415,9,7,20101,1056038,1018670014,Morningside Heights,POINT (-73.960415 40.804858)
Fifth Avenue Synagogue,5 East 62nd Street,New York,NY,10065,04/27/2010,2019-5874,11/01/2019,10/31/2020,Active,Renew,1,40.765963,-73.971196,8,4,11401,1040886,1013770007,Upper East Side-Carnegie Hill,POINT (-73.971196 40.765963)
Greater Metropolitan Baptist Church,147 West 123rd Street,New York,NY,10027,05/13/2008,2019-5865,11/13/2019,11/30/2020,Active,Renew,1,40.807049,-73.947785,10,9,222,1057779,1019080009,Central Harlem South,POINT (-73.947785 40.807049)
RCCG International Chapel Queens,155-08 Tuskegee Airmen Way,Jamaica,NY,11433,03/30/2011,2019-5792,09/16/2019,09/30/2020,Active,New,4,40.69706,-73.798967,12,28,254,4215717,4101230003,South Jamaica,POINT (-73.798967 40.69706)
"Pentecostal Church Of God IM Love, Power & Grace",563 West 187th Street,New York,NY,10033,10/26/2016,2019-5832,10/01/2019,08/31/2020,Active,Renew,1,40.852748,-73.930225,12,10,269,1063818,1021580032,Washington Heights North,POINT (-73.930225 40.852748)
St. John Baptist Church,74-05 Rockaway Beach Blvd.,Arverne,NY,11692,08/03/2018,2019-5715,08/01/2019,08/31/2020,Active,Renew,4,40.588816,-73.802155,14,32,94203,4303593,4161280050,Hammels-Arverne-Edgemere,POINT (-73.802155 40.588816)
Miracle Church Of Christ Community Dev. Corp.,1487 Saint John's Place,Brooklyn,NY,11213,09/26/2011,2019-5657,07/09/2019,07/31/2020,Active,Renew,3,40.670493,-73.929172,8,36,349,3036873,3013790052,Crown Heights North,POINT (-73.929172 40.670493)
Sunset Park Community Church/Salem Gospel Tabernac,5324 4th Avenue,Brooklyn,NY,11220,01/22/2010,2019-5840,10/03/2019,10/31/2020,Active,Renew,3,40.644614,-74.014518,7,38,76,3014205,3008140045,Sunset Park West,POINT (-74.014518 40.644614)
Sikh Cultural Society,9530 118th Street,Richmond Hill,NY,11419,04/27/2015,2019-5630,06/26/2019,06/30/2020,Active,Renew,,40.691927,-73.827953,9,28,120,,,Richmond Hill,POINT (-73.827953 40.691927)
Sutton Place Synagogue,225 East 51st Street,New York,NY,10022,01/22/2010,2019-5606,06/10/2019,06/30/2020,Active,Renew,1,40.756156,-73.969586,6,4,98,1038467,1013250015,Turtle Bay-East Midtown,POINT (-73.969586 40.756156)
Pentecostal Temple of the Living God,1921 Walton Avenue,Bronx,NY,10453,05/21/2008,2019-5693,07/26/2019,07/31/2020,Active,Renew,2,40.850468,-73.908991,5,14,23301,2008256,2028530041,Mount Hope,POINT (-73.908991 40.850468)
Temple Beth Emeth Vohr Progressive Shaari Zedek,83 Marlborough Rd.,Brooklyn,NY,11226,02/07/2012,2019-5679,07/17/2019,06/30/2020,Active,Renew,3,40.647986,-73.965697,14,40,1522,3117046,3050960001,Flatbush,POINT (-73.965697 40.647986)
