the_geom,GRIDS_INDE,TILE_NAME,DELIVERY_A,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-97.95728939943508 30.476419088369827, -97.95762835418705 30.462674139697402, -97.97349511620575 30.462966745829394, -97.97315842388768 30.476711736272502, -97.95728939943508 30.476419088369827)))",211,040145,0,24999998.425,19999.99937
"MULTIPOLYGON (((-97.94142047066133 30.47612447967987, -97.94176168780594 30.462379573058108, -97.95762835418705 30.462674139697402, -97.95728939943508 30.476419088369827, -97.94142047066133 30.47612447967987)))",212,045145,0,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.92555164029396 30.475827910259326, -97.92589511978942 30.462083045968193, -97.94176168780594 30.462379573058108, -97.94142047066133 30.47612447967987, -97.92555164029396 30.475827910259326)))",213,050145,9,24999998.425,19999.99937
"MULTIPOLYGON (((-97.90968290689536 30.475529380087355, -97.91002864869988 30.461784558406798, -97.92589511978942 30.462083045968193, -97.92555164029396 30.475827910259326, -97.90968290689536 30.475529380087355)))",214,055145,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.893814273193 30.475228889221395, -97.89416227726426 30.461484110431403, -97.91002864869988 30.461784558406798, -97.90968290689536 30.475529380087355, -97.893814273193 30.475228889221395)))",215,060145,9,24999998.425,19999.99937
"MULTIPOLYGON (((-97.87794573774924 30.47492643764039, -97.8782960040449 30.461181702020934, -97.89416227726426 30.461484110431403, -97.893814273193 30.475228889221395, -97.87794573774924 30.47492643764039)))",216,065145,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.86207730329153 30.47462202540251, -97.86242983176867 30.460877333233565, -97.8782960040449 30.461181702020934, -97.87794573774924 30.47492643764039, -97.86207730329153 30.47462202540251)))",217,070145,9,24999998.425,19999.99937
"MULTIPOLYGON (((-97.84620896838214 30.47431565248639, -97.8465637589979 30.46057100404791, -97.86242983176867 30.460877333233565, -97.86207730329153 30.47462202540251, -97.84620896838214 30.47431565248639)))",218,075145,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.83034073574846 30.47400731895095, -97.83069778845939 30.46026271452291, -97.8465637589979 30.46057100404791, -97.84620896838214 30.47431565248639, -97.83034073574846 30.47400731895095)))",219,080145,9,24999998.425,19999.99937
"MULTIPOLYGON (((-97.81447260395278 30.473697024774584, -97.81483191871544 30.459952464636977, -97.83069778845939 30.46026271452291, -97.83034073574846 30.47400731895095, -97.81447260395278 30.473697024774584)))",220,085145,9,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.79860457572235 30.473384770016978, -97.79896615249275 30.45964025444978, -97.81483191871544 30.459952464636977, -97.81447260395278 30.473697024774584, -97.79860457572235 30.473384770016978)))",221,090145,4,24999998.425,19999.99937
"MULTIPOLYGON (((-97.78273665066067 30.47307055467693, -97.78310048939466 30.459326083960057, -97.79896615249275 30.45964025444978, -97.79860457572235 30.473384770016978, -97.78273665066067 30.47307055467693)))",222,095145,4,24999998.425,19999.99937
"MULTIPOLYGON (((-97.76686882837133 30.4727543787528, -97.7672349290247 30.45900995316627, -97.78310048939466 30.459326083960057, -97.78273665066067 30.47307055467693, -97.76686882837133 30.4727543787528)))",223,100145,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.75100111158135 30.472436242305417, -97.75136947410923 30.458691862129168, -97.7672349290247 30.45900995316627, -97.76686882837133 30.4727543787528, -97.75100111158135 30.472436242305417)))",224,105145,4,24999998.425,19999.99937
"MULTIPOLYGON (((-97.73513349885313 30.472116145312476, -97.73550412321073 30.458371810826495, -97.75136947410923 30.458691862129168, -97.75100111158135 30.472436242305417, -97.73513349885313 30.472116145312476)))",225,110145,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.71926599291356 30.471794087835526, -97.7196388790555 30.458049799319785, -97.73550412321073 30.458371810826495, -97.73513349885313 30.472116145312476, -97.71926599291356 30.471794087835526)))",226,115145,4,24999998.425,19999.99937
"MULTIPOLYGON (((-97.70339859232509 30.471470069852025, -97.70377374020599 30.45772582758647, -97.7196388790555 30.458049799319785, -97.71926599291356 30.471794087835526, -97.70339859232509 30.471470069852025)))",227,120145,4,25000000.0654,20000.0000262
"MULTIPOLYGON (((-97.68753129981445 30.471144091424247, -97.6879087093884 30.457399895688848, -97.70377374020599 30.45772582758647, -97.70339859232509 30.471470069852025, -97.68753129981445 30.471144091424247)))",228,125145,4,24999998.425,19999.99937
"MULTIPOLYGON (((-97.67166411394408 30.470816152529355, -97.67204378516516 30.45707200360409, -97.6879087093884 30.457399895688848, -97.68753129981445 30.471144091424247, -97.67166411394408 30.470816152529355)))",229,130145,3,25000000.0654,20000.0000262
