the_geom,Object ID,GIS_ID,CORRIDOR_TYPE,STREET_NAME,Shape__Length
"MULTILINESTRING ((-97.780720984482 30.187441566374, -97.781985568478 30.18340182818))",228,299,Future Core Transit Corridor,S CONGRESS AVE,1522.58234515778
"MULTILINESTRING ((-97.73489077814 30.247848558717, -97.734801354251 30.247770670224, -97.734377176013 30.247681259732, -97.73426930673 30.247655501198, -97.734157634216 30.247626282529))",444,512,Core Transit Corridor,E RIVERSIDE DR,249.9770376784
"MULTILINESTRING ((-97.734941913635 30.349508867197, -97.734343885176 30.350577639545))",208,279,Core Transit Corridor,BURNET RD,432.052238572767
"MULTILINESTRING ((-97.715719317131 30.307653393578, -97.715640575179 30.308394383488))",269,340,Core Transit Corridor,AIRPORT BLVD,270.632840209718
"MULTILINESTRING ((-97.692313602386 30.326057452873, -97.692311972537 30.32621078071, -97.691813114565 30.327034721943, -97.691668946696 30.327099796275))",38,109,Future Core Transit Corridor,CAMERON RD,445.515349447885
"MULTILINESTRING ((-97.685195934311 30.38400979346, -97.685095209414 30.384261658421, -97.685004791782 30.384500918107))",6,77,Future Core Transit Corridor,N LAMAR BLVD,188.516894234205
"MULTILINESTRING ((-97.745461967082 30.301498330348, -97.745195940564 30.301909636599, -97.744718156114 30.302705839287))",383,383,Core Transit Corridor,N LAMAR BLVD,498.008948955849
"MULTILINESTRING ((-97.712446533476 30.281243527952, -97.711544415083 30.281409349583))",579,435,Core Transit Corridor,E MARTIN LUTHER KING BLVD,291.066382993264
"MULTILINESTRING ((-97.74174230349 30.285897025796, -97.741692220661 30.286494653326))",419,419,Core Transit Corridor,GUADALUPE ST,217.924815353077
"MULTILINESTRING ((-97.750632219985 30.247029016672, -97.750973900651 30.246098041242))",446,514,Core Transit Corridor,S CONGRESS AVE,355.360391724122
"MULTILINESTRING ((-97.781404704695 30.244262829556, -97.782367839784 30.243657691598))",645,645,Core Transit Corridor,S LAMAR BLVD,375.406416585965
"MULTILINESTRING ((-97.741117244856 30.268608532785, -97.740045036144 30.26830080066))",433,501,Core Transit Corridor,E 7TH ST,356.506672261043
"MULTILINESTRING ((-97.762291887034 30.42872005255, -97.764736412824 30.430331196545))",347,68,Future Core Transit Corridor,JOLLYVILLE RD,967.92975180899
"MULTILINESTRING ((-97.714410137326 30.230385196583, -97.714385845566 30.230308047538, -97.713672186499 30.229979940682, -97.713357470744 30.229833317853, -97.713072285925 30.229683942556, -97.712769513216 30.229516275366, -97.712640393725 30.229515888442))",731,731,Core Transit Corridor,E RIVERSIDE DR,656.274138861108
"MULTILINESTRING ((-97.734517931685 30.279644017632, -97.732200898951 30.278980185721))",476,544,Core Transit Corridor,E MARTIN LUTHER KING BLVD,770.195375229926
"MULTILINESTRING ((-97.716701157942 30.333597674866, -97.716760887014 30.333717159363, -97.71686278664 30.333907968883, -97.716934285349 30.333964132848))",716,716,Core Transit Corridor,AIRPORT BLVD,154.274334257855
"MULTILINESTRING ((-97.743753417901 30.304224429765, -97.743566894969 30.304479028428))",362,362,Core Transit Corridor,N LAMAR BLVD,109.719732436774
"MULTILINESTRING ((-97.689316247711 30.376742991626, -97.688955608726 30.377401151311))",11,82,Future Core Transit Corridor,N LAMAR BLVD,265.00556362061
"MULTILINESTRING ((-97.685004791782 30.384500918107, -97.684737524709 30.385082774858, -97.684260818658 30.386061532723))",5,76,Future Core Transit Corridor,N LAMAR BLVD,614.172084526192
"MULTILINESTRING ((-97.740045036144 30.26830080066, -97.738956483152 30.268011981775))",435,503,Core Transit Corridor,E 7TH ST,359.339585301951
"MULTILINESTRING ((-97.766809432513 30.230733941935, -97.767644724554 30.229455275808))",669,669,Core Transit Corridor,S 1ST ST,534.649370872833
"MULTILINESTRING ((-97.709762640395 30.309111701119, -97.709007416204 30.308701261423))",337,58,Core Transit Corridor,E 51ST ST,281.205408060727
"MULTILINESTRING ((-97.722520123833 30.261698859393, -97.718631785764 30.260324149977))",90,161,Core Transit Corridor,E 6TH ST,1325.50446780123
"MULTILINESTRING ((-97.720168278111 30.284121323372, -97.719770623796 30.284206726182))",163,234,Future Core Transit Corridor,MANOR RD,129.30033829927
"MULTILINESTRING ((-97.75853331584 30.260867768844, -97.758705276293 30.260401358175, -97.759362050994 30.258613087606))",553,621,Core Transit Corridor,S LAMAR BLVD,860.736044773646
"MULTILINESTRING ((-97.728526496489 30.263724354945, -97.727546882489 30.263393645768))",405,405,Core Transit Corridor,E 6TH ST,331.832854216775
"MULTILINESTRING ((-97.701680907592 30.256041322805, -97.697581686641 30.253357958073))",193,264,Future Core Transit Corridor,E 7TH ST,1620.96113091994
"MULTILINESTRING ((-97.739919681939 30.318024559299, -97.739568162189 30.318600523017, -97.739191575679 30.319283241288))",239,310,Core Transit Corridor,BURNET RD,512.286711910472
"MULTILINESTRING ((-97.742998385495 30.277902112177, -97.742609997558 30.278867250742))",620,476,Core Transit Corridor,GUADALUPE ST,371.804429515899
"MULTILINESTRING ((-97.693017016044 30.370179786016, -97.692394840277 30.371181869591))",49,120,Future Core Transit Corridor,N LAMAR BLVD,413.904786181977
"MULTILINESTRING ((-97.6789791289 30.403447631939, -97.678550244886 30.405828854128))",297,18,Future Core Transit Corridor,N LAMAR BLVD,876.510754703398
"MULTILINESTRING ((-97.758901989115 30.231755137896, -97.759347738348 30.231073765296))",665,665,Core Transit Corridor,S CONGRESS AVE,285.001628731066
"MULTILINESTRING ((-97.745600125134 30.270877416294, -97.745242028159 30.271824552298))",630,486,Core Transit Corridor,GUADALUPE ST,362.538271827009
"MULTILINESTRING ((-97.710210085526 30.285672610918, -97.708997340361 30.285867811862, -97.708023682713 30.286040394959))",152,223,Future Core Transit Corridor,MANOR RD,702.969048604407
"MULTILINESTRING ((-97.760075763608 30.427561746491, -97.761472972345 30.428247086969))",349,70,Future Core Transit Corridor,JOLLYVILLE RD,506.000864429255
"MULTILINESTRING ((-97.759253841051 30.272060038287, -97.760838706236 30.272728237265))",527,595,Core Transit Corridor,W 5TH ST,556.201518023211
