atd_retiming_id,system_id,system_name,scheduled_fy,retime_status,status_date,total_vol,vol_wavg_tt_pct_change,vol_wavg_tt_seconds,signal_count,engineer_note
79,22,RM 620,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,2281,0.0434385617,99.0833592908,23,
80,16,ST JOHNS,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,335,0.1162421774,38.9411294196,8,
81,14,STASSNEY - WEST,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1126,0.0017033673,1.9179915899,8,
82,79,WEST GATE,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,1053,-0.0194447247,-20.4752951496,6,"Cycle lengths reduced for intersections near US 290 to reduce delay for all vehicular demand at US 290 intersection, as well as new phasing sequence designed to improve safety.  "
83,80,EXPOSITION,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,863,0.0616829135,53.232354349,12,
84,81,CESAR CHAVEZ - E,2020,PLANNED,09/06/2017 05:00:00 AM +0000,716,0,0,7,
85,82,HOWARD,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1517,-0.0127725937,-19.3760247134,10,Retimed mid December.  Good data collection dates will be October or November for before and January 2018 for after.
86,83,ANDERSON,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1337,0.010196386,13.6325680173,10,
87,84,7TH - WEST,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,0,0,0,12,Retimed for system improvements; data not used in comprehensive analysis
88,85,GUADALUPE - SOUTH,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,849,0.0453195915,38.4763331426,12,
89,10,US 290 - EAST,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1681,0.0038390818,6.4534964231,19,
90,87,CESAR CHAVEZ - WEST,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1260,0.0786447974,99.0924446952,17,
91,88,BRODIE,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,1393,-0.0125202657,-17.4407301203,19,"Increased cycle lengths resulted in improved coordination across William Cannon and Slaughter corridors, with a tradeoff of slightly increased delays for lower volume intersections further down the corridor.  Weekend plans adjusted to accommodate higher volumes in Sunset Valley area."
92,89,RIVERSIDE,2018,COMPLETED,09/06/2017 05:00:00 AM +0000,1926,-0.0251592517,-48.4567187424,24,
93,7,WILLIAM CANNON,2020,PLANNED,09/06/2017 05:00:00 AM +0000,0,0,0,30,
101,35,GUADALUPE - NORTH,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,891,-0.0418657896,-37.3024185338,17,"Cycle length was reduced for AM/PM peak plans, reducing side street delay. Implemented leading pedestrian intervals at several intersections along corridor.  Those two actions contributed to expected increase in delay along corridor.  "
107,47,AIRPORT,2019,COMPLETED,09/06/2017 05:00:00 AM +0000,1805,-0.0361352828,-65.2241855167,27,"Slightly increased cycle length and adjusted splits to accommodate traffic conditions. Added FYA to about 5 locations; Oak Springs previously only had a permissive WBLT but with the FYA installation, it now runs a protected/permissive operation. Implemented advanced walk at Highland Mall. Due to the US 183 construction, signal at Levander loop was bagged and taken out of operation (temporary)."
109,48,7TH - EAST,2016,COMPLETED,09/06/2017 05:00:00 AM +0000,0,0,0,12,"			
"
111,4,LAMAR - CENTRAL,2020,PLANNED,09/06/2017 05:00:00 AM +0000,0,0,0,15,
112,11,US 183 - SOUTH,2020,COMPLETED,09/06/2017 05:00:00 AM +0000,1884,-0.0139514745,-26.284577875,8,"Cycle lengths were matched for all three signals, which resulted in higher traffic volumes getting through each intersection, but limited coordination possible with higher cycle lengths and variable intersection spacing.  "
113,1,US 183 - CENTRAL,2020,COMPLETED,09/06/2017 05:00:00 AM +0000,0,0,0,10,"At Great Hills and Braker, coordination was adjusted to work with the cross street instead of NB and SB 183.  At Balcones Woods, Duval, and Oak Knoll, signals were set to run free except for the AM and PM peaks when progression is provided in the peak direction of 183."
116,3,LOOP 360 - NORTH,2020,COMPLETED,09/06/2017 05:00:00 AM +0000,3318,0.0972436247,322.6543468223,14,"Cycle length were further optimized by time of day and changing traffic volumes.  Some peak periods saw increases in delay for the side streets, while traffic along 360 should experience longer green times and better progression."
120,52,12TH - EAST,2020,PLANNED,09/06/2017 05:00:00 AM +0000,0,0,0,7,
121,5,YAGER,2020,READY FOR DATA COLLECTION,09/06/2017 05:00:00 AM +0000,0,0,0,4,
126,46,ANDERSON MILL,2020,PLANNED,09/06/2017 05:00:00 AM +0000,0,0,0,10,
129,26,MCNEIL/SPICEWOOD SPGS,2020,PLANNED,09/06/2017 05:00:00 AM +0000,0,0,0,19,
136,33,JOLLYVILLE,2020,COMPLETED,09/06/2017 05:00:00 AM +0000,981,0.0008528575,0.8366531996,5,"Corridor was modified to change according to demand-based setting during non-peak periods, for lower traffic volumes, and quicker service to side street and pedestrian volumes.  As a result, no coordination for traffic flow.  Corridor remained in coordination with nearby US 183 intersections during peak periods, with limited vehicular flow along Jollyville.   "
137,36,GREAT HILLS,2020,COMPLETED,09/06/2017 05:00:00 AM +0000,1161,-0.0014228727,-1.6519551827,6,"Cycle lengths were adjusted by time of day to reflect traffic volumes from the shopping generators in the immediate area.  Signals west of Jollyville had cycles reduced by half, which will result in more red time for traffic along Great Hills, but reduces delay and queuing for all side street traffic, which will improve safety in the adjacent parking lots."
143,90,ANDERSON MILL WEST,2018,COMPLETED,01/26/2018 06:00:00 AM +0000,0,0,0,4,Brought into coordination for AM and PM peaks.  7-9 AM and 430-630 PM.
146,86,OLTORF,2018,COMPLETED,04/17/2018 05:00:00 AM +0000,1179,-0.0161460364,-19.036176872,14,
147,91,PARMER - EAST,2019,COMPLETED,06/01/2018 05:00:00 AM +0000,2088,0.129421868,270.232860416,7,Cycle lengths increase to accommodate larger traffic volumes along corridor. 
155,93,NON-CORRIDOR,2019,COMPLETED,09/20/2019 05:00:00 AM +0000,0,0,0,166,These signals were re-timed over the course of the year.
156,44,BEN WHITE - EAST,2019,COMPLETED,09/25/2019 05:00:00 AM +0000,1889,0.0009265651,1.7502814491,14,"No changes made, with volumes not apparently changed from US 183 construction. "
157,48,7TH - EAST,2020,PLANNED,12/09/2019 06:00:00 AM +0000,0,0,0,12,
159,94,QUINLAN PARK,2019,COMPLETED,10/31/2019 05:00:00 AM +0000,0,0,0,5,Coordinated timing plans were developed for weekdays to allow for progression through the corridor.  Flashing yellow arrows were installed at all intersections in the corridor to improve safety.
161,73,CAMERON - SOUTH,2020,READY FOR DATA COLLECTION,01/28/2020 06:00:00 AM +0000,0,0,0,14,
162,40,CAMERON - NORTH,2020,PLANNED,01/28/2020 06:00:00 AM +0000,0,0,0,11,
163,9,US 290 - WEST,2020,COMPLETED,01/30/2020 06:00:00 AM +0000,3388,0.1060222201,359.2032817627,9,"Cycle lengths were increased at bottleneck intersections during peak hours to increase throughput.  Additionally, a traffic responsive system was installed for US 290 westbound approaching William Cannon, that can increase green time whenever vehicular queues back up beyond a certain threshold."
164,12,US 183 - NORTH,2020,COMPLETED,02/05/2020 06:00:00 AM +0000,2792,0.0396509773,110.7055286706,15,"Cycle lengths were adjusted lower during the AM peak period, except for Lakeline and Lake Creek, where increases were required based on traffic demand. Northbound 183 progression was prioritized from Lakeline Mall through Lakeline.  Southbound progression was prioritized from Lakeline Mall to Lake Creek.   "
165,95,US 183 - EAST,2020,PLANNED,03/05/2020 06:00:00 AM +0000,0,0,0,8,
166,97,PLEASANT VALLEY - NORTH,2020,PLANNED,03/05/2020 06:00:00 AM +0000,0,0,0,5,
167,98,PLEASANT VALLEY - SOUTH,2020,COMPLETED,03/05/2020 06:00:00 AM +0000,1109,0.0752972769,83.5046800459,6,"Cycle lengths were reduced to coordinate with Riverside.  New left turn phases were activated at Elmont. The heavily used PHB north of Riverside was placed into coordination in the system, to improve safety and operations."
168,99,BRAKER - EAST,2020,READY FOR DATA COLLECTION,03/05/2020 06:00:00 AM +0000,0,0,0,6,
169,100,BRAKER - WEST,2020,COMPLETED,03/05/2020 06:00:00 AM +0000,2478,0.0412345884,102.1793101688,12,"No changes to cycle lengths or green times, and settings for synchronization were optimized.  Several left turns at Jollyville and at Metric were converted to “protected only” at certain times of day to increase safety."
170,8,WELLS BRANCH,2020,PLANNED,03/10/2020 05:00:00 AM +0000,0,0,0,13,
171,16,ST JOHNS,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,8,
172,42,BURLESON,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,11,
173,15,STASSNEY - EAST,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,7,
174,50,38TH,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,12,
176,38,DEAN KEETON,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,10,
177,34,IH 35 SRVC RDS,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,16,
178,23,RED RIVER - NORTH,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,6,
180,66,BEN WHITE - WEST,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,8,
181,19,SOUTH 1ST - NORTH,2020,PLANNED,03/11/2020 05:00:00 AM +0000,0,0,0,14,
182,103,MANOR - WEST,2020,PLANNED,03/12/2020 05:00:00 AM +0000,0,0,0,6,
