the_geom,OBJECTID,MARKINGS_SPECIALTY_LINE_ID,INTERSECTION_ID,SEGMENT_ID,ALTERNATE_ID,LOCATION_DESCRIPTION,LOCATION_STATUS,DIRECTION,SPECIALTY_LINE_TYPE,NUMBER_OF_ASSETS,MARKING_TEXT_NOTE,MATERIAL,COLOR,INSTALL_DATE,ASSET_CONDITION,CREW_ASSIGNED,COMMENTS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,GLOBALID,Shape__Length
"MULTILINESTRING ((-97.741039861393 30.279898167542, -97.741028269563 30.279894471665))",44,1067,5157176,2017934,,,ACTIVE,N,CONCRETE_DOMES,3,,,,02/06/2020 12:00:00 AM +0000,,,,ADEANDA,02/10/2020 05:33:56 PM +0000,ADEANDA,02/10/2020 09:08:22 PM +0000,e58bfa18-8fdf-420d-b183-8337742639ba,3.89805142881158
"MULTILINESTRING ((-97.728315072049 30.34137649144, -97.728245435298 30.341340697263))",559,543,5158843,2011601,,,ACTIVE,,DELINEATORS,8,,,,05/07/2018 12:00:00 AM +0000,Unknown,,,SGOV,10/22/2018 03:38:01 PM +0000,SGOV,10/22/2018 03:38:17 PM +0000,1c7f6154-f23e-4342-84ec-3a015681df7a,25.5345046401221
"MULTILINESTRING ((-97.731913029111 30.343219771665, -97.731851959769 30.343187734721))",741,687,5158480,2011492,,,ACTIVE,,CONCRETE_DOMES,3,,,White,,Unknown,BIKE,,SGOV,03/01/2019 03:34:22 PM +0000,CTREMEL,08/30/2019 03:46:48 PM +0000,7a73db00-eeed-45d0-bb46-3f6e3b5c2167,22.513462543135
"MULTILINESTRING ((-97.796458760838 30.222012980611, -97.796519793801 30.222044270462))",547,510,5150718,2024406,,,ACTIVE,,DELINEATORS,3,,,,,Unknown,,,SGOV,09/20/2018 06:49:24 PM +0000,SGOV,09/20/2018 06:49:26 PM +0000,be5d0148-c3ad-43c2-b91f-b4c65a584694,22.3850359809424
"MULTILINESTRING ((-97.876867226822 30.191612355205, -97.876914187691 30.191618418314, -97.876961149605 30.191624481426))",889,781,5144307,2027124,,,ACTIVE,E,CURBS,1,,PAINT,Red,04/17/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,04/18/2019 07:52:01 PM +0000,CTREMEL,08/30/2019 03:48:11 PM +0000,ffe88402-1841-4bd7-a1f7-e20561383375,29.9998424169958
"MULTILINESTRING ((-97.74881447446 30.251076527084, -97.748821224084 30.251087359581, -97.748831057844 30.251098062099, -97.748842675804 30.251107846839, -97.748856917008 30.251118256582, -97.748871648703 30.251126766868, -97.748884903278 30.25113295451, -97.748898192565 30.251137806487))",893,785,5156063,2019712,,,ACTIVE,E,CURBS,1,,PAINT,Red,04/17/2019 12:00:00 AM +0000,Unknown,OTHER,,MSTEVENS,04/18/2019 08:08:26 PM +0000,CTREMEL,08/30/2019 03:48:11 PM +0000,258b3485-8b15-476b-aa72-9b4ac1f84565,35.3380191007315
"MULTILINESTRING ((-97.787904789898 30.482444653656, -97.787598574258 30.482526679966))",270,89,5150817,2029964,,,ACTIVE,,DELINEATORS,35,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:36 PM +0000,6e2b0199-e196-4b1e-9143-ed6fcfa2446b,100.962315627865
"MULTILINESTRING ((-97.730593311203 30.339729108759, -97.730559945156 30.339741562451))",344,42,5158540,3189331,,,ACTIVE,,DELINEATORS,2,,,White,,Unknown,,,ATD_ADMIN,06/21/2018 09:37:43 PM +0000,SGOV,08/24/2018 10:01:33 PM +0000,edf57733-1359-4796-9167-0246444103f7,11.4586278306329
"MULTILINESTRING ((-97.757760647007 30.330494832514, -97.757750244738 30.330482447351, -97.75774325698 30.330465833826, -97.757750432088 30.330444490492))",179,287,5154679,2013587,,,ACTIVE,,CURBS,1,,PAINT,Red,06/29/2018 12:00:00 AM +0000,Unknown,OTHER,,SGOV,07/03/2018 10:41:31 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,8ddce327-5ca2-4376-bc38-6f1ff8efde61,20.0904724258713
"MULTILINESTRING ((-97.74775851057 30.191595070217, -97.747704047486 30.191566036749))",820,927,5156530,2023480,,,ACTIVE,E,CURBS,,,PAINT,Red,07/09/2019 12:00:00 AM +0000,Excellent,OTHER,,ADEANDA,07/19/2019 06:05:54 PM +0000,CTREMEL,08/30/2019 03:48:12 PM +0000,e59fb19e-ed1c-41d2-972b-4418555614f2,20.1886036113191
