OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
1670,29,UE-025,POINT (-73.94730550661116 40.78414745448832),Installed,Type B,2 Avenue,E 96 Street,E 95 Street,W
1717,119,UM-100,POINT (-73.93123501043516 40.7977086970566),Pending Sign,Type B,E 120 Street,Pleasant Avenue,Paladino Avenue,N
1720,29,UM-103,POINT (-73.95087407462196 40.80518366865356),Pending Sign,Type B,Adam Clayton Powell Jr Boulevard,W 119 Street,W 120 Street,E
1751,21.4,LM-183,POINT (-73.98992470377682 40.71883279049893),Installed,Type B,Orchard Street,Delancey Street,Broome Street,W
1777,150.9,NS-004,POINT (-74.07564523609304 40.64265937227602),Installed,Type C,Richmond Terrace,Nick Laporte Place,Schuyler Street,W
1778,60.34,NS-005,POINT (-74.07687613859068 40.64191350199616),Installed,Type B,Hyatt Street,Central Avenue,Bay Street,S
1783,90,NS-010,POINT (-74.07669814823866 40.63765741826353),Installed,Type B,Victory Boulevard,Bay Street,Bay Street,S
1784,162.22,NS-011,POINT (-74.07820370036005 40.63810451510512),Installed,Type B,Van Duzer Street,Victory Boulevard,St. Pauls Avenue,S
1785,172.15,NS-012,POINT (-74.07629520897616 40.62834087410197),Installed,Type B,Bay Street,Prospect Street,Union Place,E
1789,157.78,NS-016,POINT (-74.07596184710512 40.62704100591554),Installed,Type B,Bay Street,Water Street,Canal Street,W
1791,67.59,NS-018,POINT (-74.07945252930438 40.6247358478835),Installed,Type B,Broad Street,Tompkins Avenue,Quinn Street,N
1795,149.58,NS-022,POINT (-74.07179124815619 40.62167993900334),Installed,Type B,Bay Street,Townsend Avenue,Norwood Avenue,E
1798,76.98,NS-025,POINT (-74.1114304800765 40.629578505222725),Installed,Type B,Forest Avenue,Bement Avenue,North Burgher Avenue,S
1800,48.84,NS-027,POINT (-74.08875265193171 40.64669575740186),Installed,Type B,Richmond Terrace,Jersey Street,Westervelt Avenue,S
1802,29,GV-023,POINT (-73.99940506629058 40.73400061438632),Installed,Type B,6 Avenue,Greenwich Avenue,Christopher Street,W
1810,9.87,CI-004,POINT (-73.96610330992485 40.58538938209138),Installed,Type B,Ocean Parkway,Shore Parkway,Avenue Z,E
1813,96.98,CI-006,POINT (-73.97689226777547 40.575451481352296),Installed,Type B,Surf Avenue,W 8 Street,W 12 Street,N
1815,74.32,CI-008,POINT (-73.96663105531798 40.57639992004721),Installed,Type B,Brighton Beach Avenue,Brighton 1 Road,Beach Walk,S
1816,74.32,CI-009,POINT (-73.95992857922968 40.57782640551409),Installed,Type B,Brighton Beach Avenue,Coney Island Avenue,Brighton 7 Street,S
1817,174.54,CI-010,POINT (-73.98100441670307 40.57532991036227),Installed,Type B,Stillwell Avenue,Surf Avenue,Bowery,E
1818,94.23,CI-011,POINT (-73.97822767047235 40.57535400918886),Installed,Type B,Surf Avenue,W 10 Street,W 12 Street,S
1819,102,CI-012,POINT (-73.97316483622882 40.57489742134438),Installed,Type B,Surf Avenue,W 5 Street,Sea Breeze Avenue,N
1821,10.12,CI-014,POINT (-73.96776842302377 40.5805004745068),Installed,Type B,Ocean Parkway,Neptune Avenue,West Avenue,W
1824,119,MT-220,POINT (-74.00365299690823 40.75637376826089),Installed,Type B,W 34 Street,12 Avenue,11 Avenue,S
1825,119,MT-219,POINT (-73.99772621452728 40.75408948387255),Installed,Type B,W 34 Street,Dyer Avenue,10 Avenue,N
1826,119,MT-218,POINT (-73.99589269068841 40.7533044156272),Installed,Type B,W 34 Street,9 Avenue,8 Avenue,N
1828,299,M23-004,POINT (-73.97891971911557 40.73716645598597),Installed,Type D,E 23 Street,1 Avenue,2 Avenue,N
1834,299,M23-005,POINT (-73.98117399249467 40.73809999842937),Installed,Type D,E 23 Street,2 Avenue,3 Avenue,N
1836,299,M23-006,POINT (-73.98343260753177 40.73906271330043),Installed,Type D,E 23 Street,3 Avenue,Lexington Avenue,N
1839,119,M23-027,POINT (-73.9859326010914 40.73988894880157),Installed,Type D,E 23 Street,Park Avenue South,Lexington Avenue,S
1841,119,M23-026,POINT (-73.9888289667282 40.741108100846674),Installed,Type D,E 23 Street,Broadway,Madison Avenue,S
1842,299,M23-009,POINT (-73.98866554382538 40.741277196511),Installed,Type D,E 23 Street,Broadway,Madison Avenue,N
