impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-126681,A611551,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2110593,LOST,Sophie,Dog,,Female,Yorkshire Terrier,Unknown,04/20/2020 12:00:00 AM,Date Lost,331ST & 56TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2110593,Image Copyright HLP Inc. 2020,,
K20-127189,A612868,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612868,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Female,Chihuahua - Smooth Coated,Black / Tan,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612868,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Tan Female Chihuahua - Smooth Coated Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127197,A612884,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612884,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 WEEKS,Male,Chihuahua - Smooth Coated,White,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612884,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: White Male Chihuahua - Smooth Coated Dog<p/> Age: 2 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126356,A610337,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2101728,LOST,Malcolm,Cat,,Male,American Shorthair,Unknown,03/29/2020 12:00:00 AM,Date Lost,25TH AVE SW & CAMBRIDGE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2101728,Image Copyright HLP Inc. 2020,,
K20-126896,A612203,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Sammie,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Brn Tabby / White,04/30/2020 12:00:00 AM,Received on,15200 42ND AVE S,TUKWILA,WA,98188,TUKWILA,47.466132,-122.28149,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612203,Image Copyright HLP Inc. 2020,"Received on: 2020-04-30<p/> Found Near: 15200 42ND AVE S, TUKWILA WA 98188<p/> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: In RASKC Foster Home <p/>",GREEN
K20-127034,A612578,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612578,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Duke,Dog,10 YEARS,Neutered Male,Golden Retriever,Gold,05/06/2020 12:00:00 AM,Received on,23400 SE 260TH CT,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612578,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 23400 SE 260TH CT, MAPLE VALLEY WA 98038<p/> Description: Gold Neutered Male Golden Retriever Dog<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127066,A612660,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Shorthair,Gray,05/07/2020 12:00:00 AM,Received on,4800 S 145TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612660,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 4800 S 145TH ST, TUKWILA WA 98168<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-127001,A612488,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612488,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Roxanne,Dog,3 YEARS,Spayed Female,Labrador Retriever / Mix,Black / White,05/06/2020 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612488,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Black / White Spayed Female Labrador Retriever / Mix Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K20-126447,A610617,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104265,LOST,Goose,Cat,,Male,Russian Blue,Unknown,04/02/2020 12:00:00 AM,Date Lost,ELMGROVE ST.. AND 27TH SW WEST SEATTLE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104265,Image Copyright HLP Inc. 2020,,
K20-126713,A611655,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A611655,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rihanna,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Calico,04/22/2020 12:00:00 AM,Received on,11600 SE 208TH ST,KENT,WA,98031,KENT,47.41426,-122.186576,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A611655,Image Copyright HLP Inc. 2020,"Received on: 2020-04-22<p/> Found Near: 11600 SE 208TH ST, KENT WA 98031<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-127061,A612651,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117956,LOST,Jaggie,Cat,,Male,Bengal,Unknown,05/05/2020 12:00:00 AM,Date Lost,,,WA,98031,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117956,Image Copyright HLP Inc. 2020,,
K20-126367,A610391,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102167,LOST,Julian,Cat,,Male,Domestic Shorthair,Unknown,03/30/2020 12:00:00 AM,Date Lost,12 CASCADE KEY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102167,Image Copyright HLP Inc. 2020,,
K20-126942,A612307,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612307,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Hemingway,Cat,8 YEARS,Neutered Male,Domestic Shorthair,Flame Pt,05/02/2020 12:00:00 AM,Received on,12900 SE 201ST ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612307,Image Copyright HLP Inc. 2020,"Received on: 2020-05-02<p/> Found Near: 12900 SE 201ST ST, KENT WA 98031<p/> Description: Flame Pt Neutered Male Domestic Shorthair Cat<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K20-126989,A612451,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116979,LOST,Rocky,Cat,,Male,Domestic Shorthair,Unknown,04/29/2020 12:00:00 AM,Date Lost,24037 183RD AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116979,Image Copyright HLP Inc. 2020,,
K20-126749,A611771,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112443,LOST,Agnes,Cat,,Female,Domestic Shorthair,Unknown,04/13/2020 12:00:00 AM,Date Lost,1400 BLOCK OF 140TH AND 1ST AVE NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112443,Image Copyright HLP Inc. 2020,,
K20-127233,A581380,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A581380,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ruth,Dog,1 YEAR -1 MONTHS,Spayed Female,Pit Bull / Mix,Brown / White,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A581380,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Brown / White<p/>  Spayed Female Pit Bull / Mix Dog<p/> Age: 1 YEAR -1 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ruth and I am available for adoption.<p/><p/>I was brought in by a good samaritan on March 19, 2019. <p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! But, I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older children.<p/>",RED
K20-126580,A611229,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107957,In Public Home,,Dog,,Male,Siberian Husky,Black / White,04/10/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107957,Image Copyright HLP Inc. 2020,,
K20-126829,A612023,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612023,Off Site Vet,Ciara,Cat,1 YEAR,Female,Domestic Shorthair,Black / White,04/27/2020 12:00:00 AM,Received on,25300 MAPLE VALLEY BLACK DIAMOND RD SE,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612023,Image Copyright HLP Inc. 2020,"Received on: 2020-04-27<p/> Found Near: 25300 MAPLE VALLEY BLACK DIAMOND RD SE, MAPLE VALLEY WA 98038<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: Off Site Vet<p/>",GREEN
K20-126808,A611976,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2113721,In Public Home,,Cat,,,Domestic Longhair,White / Unknown,04/26/2020 12:00:00 AM,Date Found,1177 HARRINGTON AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2113721,Image Copyright HLP Inc. 2020,,
K20-127182,A612842,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612842,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,5 YEARS,Male,Shih Tzu / Lhasa Apso,Black / White,05/08/2020 12:00:00 AM,Received on,14000 MILITARY RD S,TUKWILA,WA,98168,TUKWILA,47.485375,-122.295957,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612842,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 14000 MILITARY RD S, TUKWILA WA 98168<p/> Description: Black / White Male Shih Tzu / Lhasa Apso Dog<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126873,A612148,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Jester,Cat,8 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,04/29/2020 12:00:00 AM,Received on,10800 SE 238TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612148,Image Copyright HLP Inc. 2020,"Received on: 2020-04-29<p/> Found Near: 10800 SE 238TH ST, KENT WA 98031<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: In RASKC Foster Home <p/>",GREEN
K20-126585,A533631,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A533631,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Simba,Cat,14 YEARS 9 MONTHS,Neutered Male,Domestic Shorthair,Gray / White,04/15/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A533631,Image Copyright HLP Inc. 2020,"Received on: 2020-04-15<p/> Description: Gray / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 14 YEARS 9 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",BLUE
K20-127076,A612691,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118051,LOST,Baby Kitty,Cat,,Female,Domestic Mediumhair,Unknown,05/06/2020 12:00:00 AM,Date Lost,626 8TH ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118051,Image Copyright HLP Inc. 2020,,
K20-126579,A611201,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107826,LOST,Eddie,Cat,,Male,Domestic Shorthair,Unknown,04/10/2020 12:00:00 AM,Date Lost,SE 160TH PL AND 132ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107826,Image Copyright HLP Inc. 2020,,
K20-127002,A612489,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612489,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Phinneas,Dog,2 YEARS,Neutered Male,Pekingese / Mix,Tan,05/06/2020 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612489,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Tan Neutered Male Pekingese / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K20-127180,A612838,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612838,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lyra,Cat,3 YEARS,Female,Persian,Calico,05/08/2020 12:00:00 AM,Received on,12400 SE 277TH PL,KENT,WA,98030,KENT,47.352925,-122.175948,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612838,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 12400 SE 277TH PL, KENT WA 98030<p/> Description: Calico Female Persian Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K20-127073,A612688,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118043,LOST,Ella,Dog,,Female,Boxer,Unknown,05/05/2020 12:00:00 AM,Date Lost,655 SHELTON AVE NE RENTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118043,Image Copyright HLP Inc. 2020,,
K20-126632,A611450,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2109489,LOST,Smores,Cat,,Female,Domestic Shorthair,Unknown,04/17/2020 12:00:00 AM,Date Lost,2ND AVE NE AND 155TH NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2109489,Image Copyright HLP Inc. 2020,,
K20-126923,A612264,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2115948,LOST,Noodles,Cat,,Male,American Shorthair,Unknown,04/13/2020 12:00:00 AM,Date Lost,4754 FAUNTLEROY WAY SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2115948,Image Copyright HLP Inc. 2020,,
K20-126858,A612100,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Blue Tabby / White,04/28/2020 12:00:00 AM,Received on,38300 264TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,47.254239,-121.991999,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-28<p/> Found Near: 38300 264TH AVE SE, ENUMCLAW WA 98022<p/> Description: Blue Tabby / White Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K20-126446,A610616,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104259,LOST,Freya,Cat,,Female,Domestic Longhair,Unknown,04/05/2020 12:00:00 AM,Date Lost,G105,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104259,Image Copyright HLP Inc. 2020,,
K20-127015,A612503,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117335,LOST,Rico,Cat,,Male,Domestic Shorthair,Unknown,05/03/2020 12:00:00 AM,Date Lost,1300 142ND PL SE BELLEVUE,,WA,98007,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117335,Image Copyright HLP Inc. 2020,,
K20-126927,A612269,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A612269,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Claira,Cat,10 YEARS 10 MONTHS,Spayed Female,Domestic Longhair,Tortie,05/01/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612269,Image Copyright HLP Inc. 2020,"Received on: 2020-05-01<p/> Description: Tortie<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 10 YEARS 10 MONTHS<p/> Adoption Fee: $0.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Claira and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 1, 2020 because their significant other was allergic to me. I lived in a home with another cat. My previous owner described me as shy, but loving.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K20-126680,A611550,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2110581,LOST,Charlie,Dog,,Male,Chihuahua - Smooth Coated,Unknown,04/16/2020 12:00:00 AM,Date Lost,16813 1/2 SE NEWPORT WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2110581,Image Copyright HLP Inc. 2020,,
K20-126742,A611717,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112186,LOST,Sam,Dog,,Male,Chihuahua - Smooth Coated,Brown / Black,04/17/2020 12:00:00 AM,Date Lost,EDMONDS,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112186,Image Copyright HLP Inc. 2020,,
K20-126502,A610895,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2105642,In Public Home,,Cat,,,Domestic Shorthair,Brown / White,04/09/2020 12:00:00 AM,Date Found,PACIFIC HWY & S268 TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2105642,Image Copyright HLP Inc. 2020,,
K20-126488,A610814,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2105337,In Public Home,,Dog,,Male,Pomeranian,Brown,04/06/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2105337,Image Copyright HLP Inc. 2020,,
K20-126872,A612147,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,3 YEARS,Female,Domestic Mediumhair,Brn Tabby,04/29/2020 12:00:00 AM,Received on,13300 35TH AVE S,TUKWILA,WA,98168,TUKWILA,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-29<p/> Found Near: 13300 35TH AVE S, TUKWILA WA 98168<p/> Description: Brn Tabby Female Domestic Mediumhair Cat<p/> Age: 3 YEARS<p/>",
K20-126902,A612208,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612208,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Shadow,Cat,5 YEARS,Spayed Female,Domestic Shorthair / Mix,Calico,04/30/2020 12:00:00 AM,Received on,24000 35TH PL S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612208,Image Copyright HLP Inc. 2020,"Received on: 2020-04-30<p/> Found Near: 24000 35TH PL S, KENT WA 98032<p/> Description: Calico Spayed Female Domestic Shorthair / Mix Cat<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126746,A611734,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2112218,LOST,Guinness,Cat,,Male,American Shorthair,Unknown,04/21/2020 12:00:00 AM,Date Lost,RENTON ELEMENTARY  SCHOOL/ LINDBERG HIGH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2112218,Image Copyright HLP Inc. 2020,,
K20-126467,A610647,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2104631,LOST,Champ,Dog,,Male,Yorkshire Terrier,Unknown,04/05/2020 12:00:00 AM,Date Lost,2022 SAPP ROAD SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2104631,Image Copyright HLP Inc. 2020,,
K20-127064,A612658,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Shorthair,Gray,05/07/2020 12:00:00 AM,Received on,4800 S 145TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612658,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 4800 S 145TH ST, TUKWILA WA 98168<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-127238,A611932,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A611932,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 WEEKS,Spayed Female,Shih Tzu,Apricot,05/10/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A611932,Image Copyright HLP Inc. 2020,"Received on: 2020-05-10<p/> Description: Apricot<p/>  Spayed Female Shih Tzu Dog<p/> Age: 9 WEEKS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! I am an adorable 9 week old puppy who came into the shelter back in April.<p/><p/>I am currently in foster care, but will coming back to the shelter to be adopted. I will be available by appointment only starting on Monday May 11, 2020. <p/><p/>If you are interested in setting up an appointment, please go to our website at www.kingcounty.gov/pets. The link to sign up for an appointment will be going live at 6am Monday May 11th. See our website for more details!<p/><p/>Please be patient while we navigate this new adoption process. Thank you and we are excited to meet you!<p/>",
K20-127101,A612715,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2118163,LOST,Moody,Cat,,Male,American Shorthair,Unknown,04/21/2020 12:00:00 AM,Date Lost,47523 SE 137TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2118163,Image Copyright HLP Inc. 2020,,
K20-126365,A610382,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102130,LOST,Robin,Bird,,,Fowl,Unknown,04/01/2020 12:00:00 AM,Date Lost,APT 210,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102130,Image Copyright HLP Inc. 2020,,
