ENUMBER,CEQR_NUM,the_geom,ULURP_NUM,BOROCODE,TAXBLOCK,TAXLOT,BBL
E-216,07DCP078M,POINT (-73.97756406914606 40.72329896516527),080397ZMM,1,376,24,1003760024
E-216,07DCP078M,POINT (-73.97741701579776 40.72323691653617),080397ZMM,1,376,26,1003760026
E-216,07DCP078M,POINT (-73.97734555022038 40.72320676154802),080397ZMM,1,376,27,1003760027
E-216,07DCP078M,POINT (-73.97673092035433 40.7230502727248),080397ZMM,1,376,32,1003760032
E-216,07DCP078M,POINT (-73.97738198508361 40.722930064692086),080397ZMM,1,376,43,1003760043
E-216,07DCP078M,POINT (-73.97774213714193 40.723082009388236),080397ZMM,1,376,44,1003760044
E-216,07DCP078M,POINT (-73.97883497094826 40.723508087945746),080397ZMM,1,376,63,1003760063
E-216,07DCP078M,POINT (-73.97845703060729 40.7241855556308),080397ZMM,1,377,1,1003770001
E-216,07DCP078M,POINT (-73.97811487293735 40.72432212266771),080397ZMM,1,377,10,1003770010
E-216,07DCP078M,POINT (-73.97693387456475 40.72351133022648),080397ZMM,1,377,50,1003770050
E-216,07DCP078M,POINT (-73.97700399352958 40.7235408377337),080397ZMM,1,377,51,1003770051
E-216,07DCP078M,POINT (-73.977072172859 40.72356952895044),080397ZMM,1,377,52,1003770052
E-216,07DCP078M,POINT (-73.9771436647661 40.72359961297168),080397ZMM,1,377,53,1003770053
E-216,07DCP078M,POINT (-73.97721420168021 40.723629296032804),080397ZMM,1,377,54,1003770054
E-216,07DCP078M,POINT (-73.97798890473534 40.72395529962745),080397ZMM,1,377,64,1003770064
E-216,07DCP078M,POINT (-73.97806471716717 40.72398720202914),080397ZMM,1,377,65,1003770065
E-216,07DCP078M,POINT (-73.97814188712334 40.72401967466087),080397ZMM,1,377,66,1003770066
E-216,07DCP078M,POINT (-73.97634110884691 40.724362926930155),080397ZMM,1,378,28,1003780028
E-216,07DCP078M,POINT (-73.97626240800186 40.72432968734447),080397ZMM,1,378,29,1003780029
E-216,07DCP078M,POINT (-73.97618362459787 40.72429583804299),080397ZMM,1,378,30,1003780030
E-216,07DCP078M,POINT (-73.97597431484121 40.724241438919535),080397ZMM,1,378,32,1003780032
E-216,07DCP078M,POINT (-73.97605796897227 40.724126506339736),080397ZMM,1,378,34,1003780034
E-216,07DCP078M,POINT (-73.97650304645276 40.7241241027176),080397ZMM,1,378,43,1003780043
E-216,07DCP078M,POINT (-73.97645465200826 40.725172520558615),080397ZMM,1,379,21,1003790021
E-216,07DCP078M,POINT (-73.9761610362219 40.72475475897328),080397ZMM,1,379,44,1003790044
E-216,07DCP078M,POINT (-73.98239814930211 40.721360344226596),080397ZMM,1,384,21,1003840021
E-216,07DCP078M,POINT (-73.98147189405655 40.72102047264385),080397ZMM,1,384,33,1003840033
E-359,14BSA169M,POINT (-73.98147189405655 40.72102047264385),125-14BZ,1,384,33,1003840033
E-216,07DCP078M,POINT (-73.98300644126338 40.7222355921902),080397ZMM,1,385,4,1003850004
E-216,07DCP078M,POINT (-73.98170907295258 40.72188557517494),080397ZMM,1,385,24,1003850024
E-216,07DCP078M,POINT (-73.98122947381168 40.72169181819733),080397ZMM,1,385,30,1003850030
E-216,07DCP078M,POINT (-73.98262788440408 40.72269419576922),080397ZMM,1,386,1,1003860001
E-216,07DCP078M,POINT (-73.98247965874302 40.722922969333844),080397ZMM,1,386,5,1003860005
E-216,07DCP078M,POINT (-73.98243087345321 40.72298981481574),080397ZMM,1,386,7,1003860007
E-216,07DCP078M,POINT (-73.98240062325499 40.72303126874682),080397ZMM,1,386,8,1003860008
E-216,07DCP078M,POINT (-73.98209879594796 40.72254796744748),080397ZMM,1,386,61,1003860061
E-216,07DCP078M,POINT (-73.98217249139371 40.72257492032296),080397ZMM,1,386,62,1003860062
E-216,07DCP078M,POINT (-73.98006174915592 40.72290096018675),080397ZMM,1,387,33,1003870033
E-216,07DCP078M,POINT (-73.98016840783373 40.722753773236214),080397ZMM,1,387,35,1003870035
E-216,07DCP078M,POINT (-73.98056357699843 40.72269424581104),080397ZMM,1,387,42,1003870042
E-216,07DCP078M,POINT (-73.9796811932337 40.72342404006764),080397ZMM,1,387,135,1003870135
E-216,07DCP078M,POINT (-73.98044825280714 40.72422527223544),080397ZMM,1,389,51,1003890051
E-216,07DCP078M,POINT (-73.98052663335602 40.724259564302734),080397ZMM,1,389,52,1003890052
E-216,07DCP078M,POINT (-73.97933502021652 40.72483482069688),080397ZMM,1,390,23,1003900023
E-216,07DCP078M,POINT (-73.97887182170221 40.724454283209454),080397ZMM,1,390,34,1003900034
E-216,07DCP078M,POINT (-73.97993384001822 40.724775065267174),080397ZMM,1,390,52,1003900052
E-216,07DCP078M,POINT (-73.98030300123656 40.72488720097755),080397ZMM,1,390,58,1003900058
E-216,07DCP078M,POINT (-73.98018597008344 40.726043243646004),080397ZMM,1,391,7,1003910007
E-216,07DCP078M,POINT (-73.9799651742679 40.72588767852685),080397ZMM,1,391,10,1003910010
E-216,07DCP078M,POINT (-73.97973251968929 40.72578846655097),080397ZMM,1,391,13,1003910013
E-216,07DCP078M,POINT (-73.97933600341787 40.72564926922588),080397ZMM,1,391,19,1003910019
E-216,07DCP078M,POINT (-73.978399627464 40.72512363320646),080397ZMM,1,391,33,1003910033
