InspectionID,CSNumber,MW,OvCond,isClosed,isOfficially,HandDryersAm,ChangingTablesAm,MirrorsAm,UrinalsAm,UrinalsComm,ToiletsAm,ToiletsComm,SinksAm,SinksComm,ToiletPaperDispAm,ToiletPaperDispComm,SoapDispAm,SoapDispComm,PaperTowelDispAm,PaperTowelDispComm,Comm
68956,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
95643,2,W2,N,1,1,4,0,0,,,38,Porcelain,24,Porcelain,38,Tamper Proof Stainless Steel,22,Stainless Steel,0,,
36177,1,W1,A,0,0,0,0,0,,,2,Porcelain,1,Porcelain,2,2-ply or more,1,Soap Globe,1,Stainless Steel,
88867,1,W1,A,0,0,1,1,1,,,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
83256,1,M1,N,1,0,0,1,2,1,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,Standard,1,Stainless Steel,3,Stainless Steel,
64068,1,M1,A,0,0,1,0,0,2,Stainless Steel,3,Stainless Steel,2,Stainless Steel,3,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
64725,1,M1,A,0,0,1,1,1,1,Stainless Steel,2,Stainless Steel,2,Stainless Steel,2,Tamper Proof Stainless Steel,2,Stainless Steel,0,,
88898,1,M1,A,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
56829,1,W1,U,1,0,0,0,0,,,,,,,,,,,,,
109406,1,W1,N,0,0,1,1,2,,,4,Stainless Steel,2,Stainless Steel,4,2-ply or more,2,Stainless Steel,1,Stainless Steel,in use at time of inspection.
80971,1,W1,A,0,0,1,0,1,,,2,Stainless Steel,1,Stainless Steel,2,2-ply or more,1,Stainless Steel,0,,
70203,1,W1,N,0,0,1,0,0,,,2,Stainless Steel,2,Stainless Steel,2,Standard,2,Stainless Steel,0,,Not rated due to patron use.
117951,1,W1,U,1,0,,,,,,,,,,,,,,,,
66057,1,W1,A,0,0,1,0,1,,,2,Stainless Steel,1,Stainless Steel,,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
105574,1,M1,A,0,0,1,0,1,2,Porcelain,1,Porcelain,1,Porcelain,1,Other,1,Other,0,,
82926,1,M1,A,0,0,1,0,0,3,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,Standard,1,Stainless Steel,,,
93912,1,W1,A,0,0,1,1,2,,,3,Stainless Steel,2,Stainless Steel,3,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
97850,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Soap Globe,0,,
113647,2,M2,A,0,0,1,0,2,1,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,CS at north end across from Dillon Stewart PLGD.
100912,1,M1,A,0,0,1,0,0,2,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,,,
85660,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,
50207,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,4,Soap Globe,0,,
76206,1,W1,A,0,0,1,1,1,,,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,
64170,1,M1,A,0,0,1,1,3,12,Stainless Steel,8,Stainless Steel,3,Stainless Steel,8,Tamper Proof Stainless Steel,2,Stainless Steel,0,,
96232,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,
71612,1,W1,N,1,1,0,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
70162,1,W1,N,0,0,0,0,0,,,,,,,,,,,,,
37429,1,M1,A,0,0,0,0,0,,,,,,,,,,,,,
71124,1,W1,A,0,0,1,0,1,,,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,
105970,1,M1,A,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
73790,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
71302,1,M1,A,0,0,1,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
37948,1,W1,A,0,0,0,0,0,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
42406,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
113992,1,W1,A,0,0,2,1,2,,,3,Porcelain,2,Porcelain,3,2-ply or more,1,Stainless Steel,0,,
72102,1,M1,N,1,1,0,0,0,,,,,,,,,,,,,
107805,1,W1,A,0,0,1,0,1,,,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
77111,1,W1,N,1,1,0,0,0,,,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,
103417,1,M1,A,0,0,1,0,0,1,Porcelain,2,Porcelain,2,Porcelain,1,Tamper Proof Stainless Steel,0,Stainless Steel,0,,
113942,1,W1,A,0,0,,,,,,,,,,,,,,,,
78368,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,
58992,1,W1,A,0,0,1,0,1,,,2,Porcelain,1,Porcelain,2,Tamper Proof Stainless Steel,1,Stainless Steel,,,
114398,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
50046,1,M1,A,0,0,0,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Soap Globe,1,Stainless Steel,
52610,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,,,
77478,1,M1,U,1,0,1,0,1,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
86579,1,W1,A,0,0,1,0,0,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Soap Globe,0,,
61036,1,W1,A,0,0,1,0,0,,,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,
52914,1,W1,N,0,0,0,0,0,,,,,,,,,,,,,
55041,1,M1,N,1,1,0,0,0,,,,,,,,,,,,,Site is under renovation.
63646,1,W1,A,0,0,0,0,0,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Soap Globe,1,Metal-Painted White,
38341,1,W1,U,0,0,0,0,0,,,,,,,,,,,,,
43350,1,M1,A,0,0,0,0,0,,,,,,,,,,,,,
67579,1,M1,A,0,0,1,1,0,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
61441,1,W1,A,0,0,0,0,0,,,,,,,,,,,,,
36062,1,M1,U,1,1,0,0,0,,,,,,,,,,,,,
78464,1,M1,A,0,0,0,0,1,1,Porcelain,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Metal-Painted White,
97035,1,W1,A,0,0,0,0,0,,,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
110508,1,M1,A,0,0,1,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
43349,1,W1,A,0,0,0,0,0,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
101252,1,M1,A,0,0,1,0,0,1,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
44953,1,W1,A,0,0,2,0,4,,,4,Porcelain,4,Porcelain,4,Tamper Proof Stainless Steel,1,Other,0,,
101171,1,M1,N,1,1,0,0,0,,,,,,,,,,,,,
45577,1,M1,A,0,0,1,,,5,Porcelain,3,Porcelain,1,Porcelain,3,Standard,1,Stainless Steel,0,,
61937,1,W1,A,0,0,0,0,0,,,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,1,Metal-Painted White,
55381,1,W1,A,0,0,1,1,2,,,3,Stainless Steel,2,Stainless Steel,3,Tamper Proof Stainless Steel,1,Stainless Steel,0,,
75584,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,0,,
58543,1,W1,A,0,0,1,0,0,,,4,Porcelain,1,Porcelain,4,Standard,1,Stainless Steel,0,,
58421,1,W1,A,0,0,1,0,0,,,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Soap Globe,0,,
61918,1,M1,A,0,0,0,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Metal-Painted White,
77809,1,M1,U,1,0,0,1,1,1,Stainless Steel,1,Stainless Steel,2,Stainless Steel,1,2-ply or more,1,Stainless Steel,1,Stainless Steel,
39888,1,M1,U,0,0,0,0,0,,,,,,,,,,,,,
60585,1,M1,N,1,1,1,0,0,2,Porcelain,1,Porcelain,1,Porcelain,1,Standard,1,Stainless Steel,1,Metal-Painted White,
105900,1,M1,N,1,1,1,0,0,1,Stainless Steel,1,Porcelain,1,Porcelain,1,Tamper Proof Stainless Steel,1,Stainless Steel,0,,Full construction; not rated.
108086,1,W1,A,0,0,1,0,0,,,2,Stainless Steel,1,Stainless Steel,2,Tamper Proof Stainless Steel,1,Soap Globe,0,,
114859,1,M1,U,1,0,1,0,0,1,Stainless Steel,1,Stainless Steel,1,Stainless Steel,1,Standard,1,Stainless Steel,0,,
53636,1,M1,A,0,0,1,0,2,1,Stainless Steel,1,Porcelain,2,Stainless Steel,1,Standard,1,Stainless Steel,0,,
98849,1,W1,N,1,1,0,0,0,,,,,,,,,,,,,NYPD has asked that the women's CS remain closed for safety reasons; a key is used for both the men's and women's room.
87994,1,W1,N,1,1,0,0,0,,,2,Stainless Steel,3,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
48266,1,M1,N,1,1,0,0,0,,,,,,,,,,,,,
95884,1,M1,A,0,0,1,0,,2,Porcelain,1,Porcelain,1,Porcelain,1,2-ply or more,1,Soap Globe,0,,
116321,1,M1,A,0,0,2,1,2,2,,1,Porcelain,2,Porcelain,1,2-ply or more,1,Stainless Steel,0,,
105631,1,M1,N,1,1,,,,,,,,,,,,,,,,
117587,1,W1,A,0,0,2,1,2,,,5,Porcelain,3,Porcelain,5,Standard,2,Stainless Steel,0,,
65787,1,W1,A,0,0,0,0,0,,,1,Porcelain,1,Porcelain,1,2-ply or more,1,Stainless Steel,1,Metal-Painted White,
109557,1,M1,N,1,1,1,1,0,0,,1,Porcelain,1,Stainless Steel,1,2-ply or more,1,Stainless Steel,0,,Under Construction
98184,1,M1,U,1,0,1,0,1,3,Stainless Steel,2,Stainless Steel,2,Stainless Steel,2,Tamper Proof Stainless Steel,1,Stainless Steel,1,Stainless Steel,
