State,Year,Month,Period,Indicator,Data Value
TEXAS,2018,April,Monthly,Number of Deaths,16091
UTAH,2018,April,Monthly,Number of Deaths,1550
VERMONT,2018,April,Monthly,Number of Deaths,486
VIRGINIA,2018,April,Monthly,Number of Deaths,5649
WASHINGTON,2018,April,Monthly,Number of Deaths,4738
WEST VIRGINIA,2018,April,Monthly,Number of Deaths,1939
WISCONSIN,2018,April,Monthly,Number of Deaths,4468
WYOMING,2018,April,Monthly,Number of Deaths,387
PUERTO RICO,2018,April,Monthly,Number of Deaths,2253
ALABAMA,2018,May,Monthly,Number of Deaths,4437
ALASKA,2018,May,Monthly,Number of Deaths,344
ARIZONA,2018,May,Monthly,Number of Deaths,4744
ARKANSAS,2018,May,Monthly,Number of Deaths,2721
CALIFORNIA,2018,May,Monthly,Number of Deaths,21490
COLORADO,2018,May,Monthly,Number of Deaths,3155
CONNECTICUT,2018,May,Monthly,Number of Deaths,2529
DELAWARE,2018,May,Monthly,Number of Deaths,751
DISTRICT OF COLUMBIA,2018,May,Monthly,Number of Deaths,421
FLORIDA,2018,May,Monthly,Number of Deaths,16749
GEORGIA,2018,May,Monthly,Number of Deaths,7034
HAWAII,2018,May,Monthly,Number of Deaths,921
IDAHO,2018,May,Monthly,Number of Deaths,1183
ILLINOIS,2018,May,Monthly,Number of Deaths,8852
INDIANA,2018,May,Monthly,Number of Deaths,5302
IOWA,2018,May,Monthly,Number of Deaths,2428
KANSAS,2018,May,Monthly,Number of Deaths,2157
KENTUCKY,2018,May,Monthly,Number of Deaths,3901
LOUISIANA,2018,May,Monthly,Number of Deaths,3850
MAINE,2018,May,Monthly,Number of Deaths,1144
MARYLAND,2018,May,Monthly,Number of Deaths,3979
MASSACHUSETTS,2018,May,Monthly,Number of Deaths,4912
MICHIGAN,2018,May,Monthly,Number of Deaths,7985
MINNESOTA,2018,May,Monthly,Number of Deaths,3602
MISSISSIPPI,2018,May,Monthly,Number of Deaths,2556
MISSOURI,2018,May,Monthly,Number of Deaths,5085
MONTANA,2018,May,Monthly,Number of Deaths,746
NEBRASKA,2018,May,Monthly,Number of Deaths,1344
NEVADA,2018,May,Monthly,Number of Deaths,2017
NEW HAMPSHIRE,2018,May,Monthly,Number of Deaths,1065
NEW JERSEY,2018,May,Monthly,Number of Deaths,5987
NEW MEXICO,2018,May,Monthly,Number of Deaths,1491
NEW YORK,2018,May,Monthly,Number of Deaths,12348
NORTH CAROLINA,2018,May,Monthly,Number of Deaths,7567
NORTH DAKOTA,2018,May,Monthly,Number of Deaths,519
OHIO,2018,May,Monthly,Number of Deaths,10159
OKLAHOMA,2018,May,Monthly,Number of Deaths,3363
OREGON,2018,May,Monthly,Number of Deaths,2927
PENNSYLVANIA,2018,May,Monthly,Number of Deaths,10768
RHODE ISLAND,2018,May,Monthly,Number of Deaths,870
SOUTH CAROLINA,2018,May,Monthly,Number of Deaths,4108
SOUTH DAKOTA,2018,May,Monthly,Number of Deaths,630
TENNESSEE,2018,May,Monthly,Number of Deaths,5716
TEXAS,2018,May,Monthly,Number of Deaths,16182
UTAH,2018,May,Monthly,Number of Deaths,1529
VERMONT,2018,May,Monthly,Number of Deaths,445
VIRGINIA,2018,May,Monthly,Number of Deaths,5472
WASHINGTON,2018,May,Monthly,Number of Deaths,4590
WEST VIRGINIA,2018,May,Monthly,Number of Deaths,1941
WISCONSIN,2018,May,Monthly,Number of Deaths,4383
WYOMING,2018,May,Monthly,Number of Deaths,400
PUERTO RICO,2018,May,Monthly,Number of Deaths,2398
ALABAMA,2018,June,Monthly,Number of Deaths,4236
ALASKA,2018,June,Monthly,Number of Deaths,330
ARIZONA,2018,June,Monthly,Number of Deaths,4664
ARKANSAS,2018,June,Monthly,Number of Deaths,2518
CALIFORNIA,2018,June,Monthly,Number of Deaths,20831
COLORADO,2018,June,Monthly,Number of Deaths,2908
CONNECTICUT,2018,June,Monthly,Number of Deaths,2367
DELAWARE,2018,June,Monthly,Number of Deaths,748
DISTRICT OF COLUMBIA,2018,June,Monthly,Number of Deaths,415
FLORIDA,2018,June,Monthly,Number of Deaths,16168
GEORGIA,2018,June,Monthly,Number of Deaths,6484
HAWAII,2018,June,Monthly,Number of Deaths,948
IDAHO,2018,June,Monthly,Number of Deaths,1131
ILLINOIS,2018,June,Monthly,Number of Deaths,8334
INDIANA,2018,June,Monthly,Number of Deaths,4977
IOWA,2018,June,Monthly,Number of Deaths,2402
KANSAS,2018,June,Monthly,Number of Deaths,2161
KENTUCKY,2018,June,Monthly,Number of Deaths,3715
LOUISIANA,2018,June,Monthly,Number of Deaths,3580
MAINE,2018,June,Monthly,Number of Deaths,1119
MARYLAND,2018,June,Monthly,Number of Deaths,3949
MASSACHUSETTS,2018,June,Monthly,Number of Deaths,4567
MICHIGAN,2018,June,Monthly,Number of Deaths,7650
MINNESOTA,2018,June,Monthly,Number of Deaths,3362
MISSISSIPPI,2018,June,Monthly,Number of Deaths,2550
MISSOURI,2018,June,Monthly,Number of Deaths,4844
MONTANA,2018,June,Monthly,Number of Deaths,780
NEBRASKA,2018,June,Monthly,Number of Deaths,1371
NEVADA,2018,June,Monthly,Number of Deaths,2056
NEW HAMPSHIRE,2018,June,Monthly,Number of Deaths,969
NEW JERSEY,2018,June,Monthly,Number of Deaths,5888
NEW MEXICO,2018,June,Monthly,Number of Deaths,1565
NEW YORK,2018,June,Monthly,Number of Deaths,12144
NORTH CAROLINA,2018,June,Monthly,Number of Deaths,7445
NORTH DAKOTA,2018,June,Monthly,Number of Deaths,483
OHIO,2018,June,Monthly,Number of Deaths,9587
OKLAHOMA,2018,June,Monthly,Number of Deaths,3145
OREGON,2018,June,Monthly,Number of Deaths,2918
PENNSYLVANIA,2018,June,Monthly,Number of Deaths,10471
RHODE ISLAND,2018,June,Monthly,Number of Deaths,783
SOUTH CAROLINA,2018,June,Monthly,Number of Deaths,3836
SOUTH DAKOTA,2018,June,Monthly,Number of Deaths,635
TENNESSEE,2018,June,Monthly,Number of Deaths,5518
TEXAS,2018,June,Monthly,Number of Deaths,15615
UTAH,2018,June,Monthly,Number of Deaths,1478
VERMONT,2018,June,Monthly,Number of Deaths,466
VIRGINIA,2018,June,Monthly,Number of Deaths,5302
WASHINGTON,2018,June,Monthly,Number of Deaths,4527
WEST VIRGINIA,2018,June,Monthly,Number of Deaths,1843
WISCONSIN,2018,June,Monthly,Number of Deaths,4057
WYOMING,2018,June,Monthly,Number of Deaths,363
PUERTO RICO,2018,June,Monthly,Number of Deaths,2263
ALABAMA,2018,July,Monthly,Number of Deaths,4348
ALASKA,2018,July,Monthly,Number of Deaths,379
ARIZONA,2018,July,Monthly,Number of Deaths,4752
ARKANSAS,2018,July,Monthly,Number of Deaths,2579
CALIFORNIA,2018,July,Monthly,Number of Deaths,21194
COLORADO,2018,July,Monthly,Number of Deaths,3052
CONNECTICUT,2018,July,Monthly,Number of Deaths,2535
DELAWARE,2018,July,Monthly,Number of Deaths,771
DISTRICT OF COLUMBIA,2018,July,Monthly,Number of Deaths,419
FLORIDA,2018,July,Monthly,Number of Deaths,16375
GEORGIA,2018,July,Monthly,Number of Deaths,6595
HAWAII,2018,July,Monthly,Number of Deaths,929
IDAHO,2018,July,Monthly,Number of Deaths,1180
ILLINOIS,2018,July,Monthly,Number of Deaths,8680
INDIANA,2018,July,Monthly,Number of Deaths,5155
IOWA,2018,July,Monthly,Number of Deaths,2336
KANSAS,2018,July,Monthly,Number of Deaths,2092
KENTUCKY,2018,July,Monthly,Number of Deaths,3840
LOUISIANA,2018,July,Monthly,Number of Deaths,3654
