the_geom,OBJECTID,TILE_NAME
"MULTIPOLYGON (((-97.833623553542 30.414268110716, -97.833623531969 30.4025517938, -97.854459853587 30.402551731115, -97.854460028451 30.414268001872, -97.833623553542 30.414268110716)))",890,D34
"MULTIPOLYGON (((-97.916960060049 30.379112598439, -97.916960287179 30.367393742821, -97.937796591077 30.367394042991, -97.937796517692 30.379112854035, -97.916960060049 30.379112598439)))",951,WZ31
"MULTIPOLYGON (((-98.166966991741 30.425985144738, -98.166966965053 30.414266810778, -98.187802909171 30.414267581435, -98.187803089411 30.425985875412, -98.166966991741 30.425985144738)))",991,WM35
"MULTIPOLYGON (((-97.75028954507 30.17990314736, -97.750289343116 30.168186795193, -97.771118284886 30.168184628511, -97.771117775078 30.179903665953, -97.75028954507 30.17990314736)))",1802,H14
"MULTIPOLYGON (((-98.083629072459 30.43770552604, -98.083628865344 30.425987011795, -98.104465339793 30.425984776456, -98.104465700616 30.437703249143, -98.083629072459 30.43770552604)))",835,WR36
"MULTIPOLYGON (((-97.687790110414 30.297087879898, -97.687788857325 30.285368491903, -97.708618682814 30.285370492288, -97.708618579856 30.297087049956, -97.687790110414 30.297087879898)))",1245,L24
"MULTIPOLYGON (((-97.333606046019 30.06272250519, -97.333606529075 30.051005224661, -97.354442166075 30.05100558578, -97.354442626162 30.062722829372, -97.333606046019 30.06272250519)))",2171,ED4
"MULTIPOLYGON (((-97.521122992467 30.625201839846, -97.521122967882 30.613482001638, -97.541956273677 30.613482109136, -97.541956452448 30.625201895392, -97.521122992467 30.625201839846)))",435,U52
"MULTIPOLYGON (((-97.729452515965 30.121311705364, -97.729452466098 30.109595377865, -97.750289414049 30.109594268421, -97.750289543489 30.121313296638, -97.729452515965 30.121311705364)))",1902,J9
"MULTIPOLYGON (((-97.375282383312 30.414274229319, -97.375281767319 30.402556714083, -97.396118680905 30.402554069525, -97.396118574162 30.414274260513, -97.375282383312 30.414274229319)))",861,EB34
"MULTIPOLYGON (((-97.375280445347 30.297091153214, -97.375280706358 30.285370967668, -97.396108871357 30.285371455103, -97.396109555424 30.29709160419, -97.375280445347 30.297091153214)))",1220,EB24
"MULTIPOLYGON (((-97.708619015431 30.320525702376, -97.708618402134 30.308806363758, -97.729454869537 30.308805010964, -97.729454844588 30.32052428492, -97.708619015431 30.320525702376)))",1431,K26
"MULTIPOLYGON (((-98.083623275535 30.06271691217, -98.083623069942 30.050998730852, -98.104459385303 30.050997906938, -98.104459743989 30.0627160467, -98.083623275535 30.06271691217)))",2335,WR4
"MULTIPOLYGON (((-97.875292556513 30.215056563695, -97.875292228503 30.203340469867, -97.896121054546 30.20333982179, -97.896120743314 30.21505585422, -97.875292556513 30.215056563695)))",1607,B17
"MULTIPOLYGON (((-97.771118821481 30.250212730032, -97.771119257559 30.238496370187, -97.791955300768 30.238496154006, -97.791955809311 30.25021248231, -97.771118821481 30.250212730032)))",1518,G20
"MULTIPOLYGON (((-97.625286440528 30.168185769168, -97.625286363238 30.156469119842, -97.646114888637 30.156468082643, -97.646115041663 30.168187430704, -97.625286440528 30.168185769168)))",1819,P13
"MULTIPOLYGON (((-97.833619333273 30.203339558461, -97.833619382349 30.191620635908, -97.85445610713 30.191621465968, -97.854456211652 30.203340342373, -97.833619333273 30.203339558461)))",1592,D16
"MULTIPOLYGON (((-97.500281763203 30.051003600664, -97.500281813586 30.039286788753, -97.521110234305 30.039284642521, -97.521110257176 30.051004150779, -97.500281763203 30.051003600664)))",2242,V3
"MULTIPOLYGON (((-97.521122676233 30.437708856881, -97.521122572581 30.425991745954, -97.541951123176 30.425989884196, -97.541952092983 30.43770970915, -97.521122676233 30.437708856881)))",1143,U36
"MULTIPOLYGON (((-98.187804960725 30.543166140617, -98.187805573967 30.53144785371, -98.208639023768 30.531447529007, -98.208639357974 30.54316578955, -98.187804960725 30.543166140617)))",802,WL45
"MULTIPOLYGON (((-97.583612757249 30.109596545781, -97.5836130654 30.097877121852, -97.60444888615 30.097877790467, -97.604448809169 30.109594414935, -97.583612757249 30.109596545781)))",1947,R8
"MULTIPOLYGON (((-98.125291506276 30.285366519345, -98.125291785701 30.273648176369, -98.146127659515 30.273647981309, -98.146127533444 30.28536628358, -98.125291506276 30.285366519345)))",1775,WP23
"MULTIPOLYGON (((-97.812791528514 30.27364963853, -97.812791731291 30.261930604116, -97.833620740145 30.261931625172, -97.833620690162 30.273650613078, -97.812791528514 30.27364963853)))",1791,E22
"MULTIPOLYGON (((-97.791965212192 30.67207184591, -97.791964773953 30.660352711314, -97.812799064965 30.660352773139, -97.81279886226 30.672071845162, -97.791965212192 30.67207184591)))",353,F56
"MULTIPOLYGON (((-97.541948724783 30.215061824959, -97.541948547727 30.203342154552, -97.562785115678 30.203343630382, -97.562785525479 30.215060500473, -97.541948724783 30.215061824959)))",1546,T17
"MULTIPOLYGON (((-97.896119640165 30.074436767819, -97.89611923031 30.062718148153, -97.916955639582 30.062717580026, -97.916955412589 30.074436139697, -97.896119640165 30.074436767819)))",2172,A5
"MULTIPOLYGON (((-97.791958917973 30.472862466392, -97.79195927471 30.461143295515, -97.812795787131 30.461141500553, -97.812795584437 30.47286062456, -97.791958917973 30.472862466392)))",582,F39
"MULTIPOLYGON (((-97.312780853854 30.531458393527, -97.312781578137 30.519737970855, -97.333614648588 30.519739289135, -97.333614957983 30.531456926038, -97.312780853854 30.531458393527)))",783,EE44
"MULTIPOLYGON (((-98.062800375469 30.437704562259, -98.062800321116 30.425986006097, -98.083628865344 30.425987011795, -98.083629072459 30.43770552604, -98.062800375469 30.437704562259)))",893,WS36
