FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
4935 BAR & KITCHEN,"4935 CORDELL AVENUE , BETHESDA, MD 20814",05/13/2017,DISORDERLY HOUSE,SETTLED; $1000 + ALERT,12/13/2017
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",12/07/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; TWO DAY SUSPENSION,02/02/2017
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",03/27/2016,DISORDERLY HOUSE,HEARING; LICENSE REVOKED,10/05/2016
HONEY PIG,"19727 FREDERICK ROAD , GERMANTOWN, MD 20876",05/21/2018,STORAGE,SETTLED; $600 + ALERT (3 UNAPPROVED SOURCES),06/14/2018
MUDDY BRANCH BEER & WINE,"836 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",05/26/2016,SALE TO MINOR,SETTLED; $1000.00 + SETTLED,07/25/2016
POCKET BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",03/24/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERTR,05/03/2017
THE DAILY DISH,"8301 GRUBB RAOD A, SILVER SPRING, MD 20910",10/29/2018,STORAGE,SETTLED; $1200+ALERT,12/14/2018
MOONLIGHT BAR,"8035 SNOUFFER SCHOOL RD , GAITHERSBURG, MD 20879",08/14/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,09/05/2018
LILIT CAFE,"7921 OLD GEORGETOWN RD , BETHESDA, MD 20814",11/03/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/18/2017
WESTLAKE BEER & WINE,"10442 AUTOPARK AVENUE , BETHESDA, MD 20817",03/13/2018,SALE TO MINOR,SETTLED; $1000+ALERT,03/29/2018
JOSE'S GRILL,"11423 GEORGIA AVE. , WHEATON, MD 20902",12/20/2012,SALE TO MINOR,SETTLED; $1000.00 +ALERT,09/09/2016
GOSHEN PLAZA BEER & WINE,"9150 ROTHBURY DR , MONTGOMERY VILLAGE, MD 20886",08/14/2018,SALE TO MINOR,SETTLED; $1000+ALERT,08/31/2018
CAFE DELUXE,"4910 ELM STREET , BETHESDA, MD 20814",09/15/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/09/2017
BAR LOUIE WHEATON,"11160 VEIRS MILL RD , WHEATON, MD 20902",09/17/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/19/2018
CLARKSBURG GROCERIES BEER & WINE,"23329 FREDERICK ROAD , CLARKSBURG, MD 20871",08/08/2018,SALE TO MINOR,SETTLED;$2500+ALERT,10/12/2018
DAILY GRILL,"1 BETHESDA METRO CENTER , BETHESDA, MD 20814",12/07/2016,SALE TO MINOR,"SETTLED, $2,500 + ALERT",01/31/2017
CHEESE & WINE SHOPPE,"2501 ENNALLS AVE. , WHEATON, MD 20902",01/09/2018,SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $2500 + ALERT,02/01/2018
4935 BAR & KITCHEN,"4935 CORDELL AVENUE , BETHESDA, MD 20814",03/04/2017,ACTS CONTRARY TO LAW,SETTLED; $2500 + ALERT,12/13/2017
LA MEXICANA,"13016 MIDDLEBROOK ROAD , GERMANTOWN, MD 20874",08/10/2018,SALE TO MINOR,SETTLED; $1000+ALERT,08/31/2018
EL AGUILA,"7926 GEORGIA AVENUE , SILVER SPRING, MD 20910",05/23/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,07/25/2017
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",09/15/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; 100 + ALERT,04/04/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",06/07/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/19/2018
SIRIWAN THAI RESTAURANT,"736 CLOVERLY STREET , SILVER SPRING, MD 20905",03/24/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/12/2017
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVE , SILVER SPRING, MD 20910",10/08/2018,SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000+ALERT,02/04/2019
WOODSIDE DELI,"9329 GEORGIA AVE. , SILVER SPRING, MD 20910",12/06/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,01/03/2018
EL ANDARIEGO,"5 OLNEY SANDY SPRING ROAD , ASHTON, MD 20861",07/31/2018,SALE TO MINOR,SETTLED;$1000+ALERT,09/07/2018
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",06/09/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,08/16/2016
LA COLOMBIANA RESTAURANT,"11216 GRANDVIEW AVENUE , WHEATON, MD 20902",06/06/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,07/03/2017
WORLD OF BEER,"196 B EAST MONTGOMERY AVE. , ROCKVILLE, MD 20850",11/06/2018,SALE TO MINOR,SETTLED; $1000+ALERT,12/10/2018
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",06/25/2015,SALE TO MINOR,SETTLED; $2500.00 + ALERT,04/14/2016
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",08/08/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,09/06/2018
SLIGO PARK GOLF COURSE SNACK BAR,"9701 SLIGO CREEK PARKWAY , SILVER SPRING, MD 20901",04/26/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/02/2016
MILLER'S ALE HOUSE,"1471 ROCKVILLE PIKE , ROCKVILLE, MD 20852",12/22/2015,SALE TO MINOR,SETTLED; $2500.00 + ALERT,02/26/2016
DIAMOND SQUARE BEER & WINE,"38 BUREAU DRIVE , GAITHERSBURG, MD 20878",08/09/2018,SALE TO MINOR,SETTLED; $1000+ALERT,09/07/2018
QUINCY'S BAR & GRILLE,"616 QUINCE ORCHARD ROAD , GAITHERSBURG, MD 20878",01/05/2017,SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $1000.00 + ALERT,07/19/2017
MEXICAN GRILL,"19710 FISHER AVENUE , POOLESVILLE, MD 20837",12/02/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/03/2017
3 STAR CONVENIENCE STORE,"18524 WOODFIELD ROAD , GAITHERSBURG, MD 20879",08/14/2018,SALE TO MINOR,SEETLED; $1000+ALERT,09/10/2018
MIDDLEBROOK DISCOUNT B&W,"19601 FREDERICK RD , GERMANTOWN, MD 20876",07/30/2018,SALE TO MINOR,SETTLED;$1000+ALERT,08/13/2018
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",07/25/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,09/07/2018
TALBOTT BEER & WINE,"1071 ROCKVILLE PIKE , ROCKVILLE, MD 20852",12/30/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/30/2017
TACO BAR,"3 RUSSELL AVE A, GAITHERSBURG, MD 20877",08/02/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,09/05/2017
QUICK STOP BEER & WINE,"21101 FREDERICK AVENUE , GERMANTOWN, MD 20876",01/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/03/2017
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",12/14/2016,SALE TO MINOR,SETTLED; $1000.00,02/09/2017
GISELES CREOLE CUISINE,"2407 PRINCE AVENUE , SILVER SPRING, MD 20902",08/10/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,08/14/2017
BARKING MAD CAFE,"239 SPECTRUM AVENUE , GAITHERSBURG, MD 20879",08/21/2018,SALE TO MINOR,SETTLED; $1000+ALERT,09/11/2018
MINERVA INDIAN CUISINE,"16240 FREDERICK ROAD , GAITHERSBURG, MD 20877",01/25/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,04/23/2018
LINCOLN'S BAR-B-Q,"931 ELLSWORTH DRIVE , SILVER SPRING, MD 20910",11/08/2017,SALE TO MINOR,SETTLED; $1000+ALERT,05/01/2018
CALIFORNIA PIZZA KITCHEN,"7101 DEMOCRACY BLVD. , BETHESDA, MD 20817",09/06/2017,SALE TO MINOR,SETTLED; $1000 + ALERT,10/17/2017
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",06/07/2018,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$1000+ALERT,07/19/2018
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",07/16/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,08/10/2017
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",11/06/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,$500+ALERT,12/18/2018
SUPER CHICKEN,"12611 H WISTERIA DRIVE , GERMANTOWN, MD 20874",08/23/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,09/28/2018
BRANDED 72,"387 EAST GUDE DRIVE , ROCKVILLE, MD 20850",10/13/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,12/12/2017
GUDE DELI,"14809 SOUTHLAWN LANE , ROCKVILLE, MD 20850",12/30/2016,SALE TO MINOR,SETTLED; $1000 + ALERT,02/14/2017
MAMMA LUCIA,"4916 ELM STREET , BETHESDA, MD 20814",09/15/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/05/2017
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",05/30/2018,RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,06/14/2018
ISLAND PRIDE OASIS,"617 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",06/13/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,07/07/2017
CHIPOTLE MEXICAN GRILL,"7624 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",03/31/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,06/24/2016
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",08/27/2015,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,01/20/2016
APPLEBEE'S,"21048 FREDERICK RD , GERMANTOWN, MD 20876",12/21/2016,SALE TO MINOR,SETTLED;  $1000.00 + ALERT,01/23/2017
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",03/31/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,06/09/2017
ABI AZTECA GRILL,"11514 MIDDLEBROOK RD. , GERMANTOWN, MD 20874",08/04/2017,RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,12/20/2017
TIGER BEER WINE DELI,"303 N. WASHINGTON STREET , ROCKVILLE, MD 20850",01/27/2017,SALE TO MINOR,SETTELD; $1000.00 + ALERT,02/27/2017
ODALIS,"8215 GEORGIA AVENUE , SILVER SPRING, MD 20910",03/12/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,06/12/2018
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",02/05/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,05/31/2016
RUMBA Y CARBON,"11222 GRANDVIEW AVENUE , GAITHERSBURG, MD 20902",07/20/2018,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,08/31/2018
FENWICK BEER & WINE,"1327 FENWICK LANE , SILVER SPRING, MD 20910",02/11/2016,SALE TO MINOR,SETTLED;  $2500.00 + ALERT,03/03/2016
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",07/05/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTED;$100+ALERT,07/24/2018
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVE , SILVER SPRING, MD 20910",08/01/2018,DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,SETTLED; $1000+ALERT,08/29/2018
TACO BAR,"10003 FIELDS ROAD B, GAITHERSBURG, MD 20878",08/17/2018,SALE TO MINOR,SETTLED; $1000+ALERT,09/14/2018
THE BARKING DOG,"4723 ELM STREET , BETHESDA, MD 20814",01/08/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; ONE WEEK SUSPENSION,06/16/2016
CLARKSBURG GROCERIES BEER & WINE,"23329 FREDERICK ROAD , CLARKSBURG, MD 20871",08/08/2018,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/12/2018
RINCON PERUANO,"210 EAST DIAMOND ST , GAITHERSBURG, MD 20877",12/21/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/27/2017
RUMBA Y CARBON,"11222 GRANDVIEW AVENUE , GAITHERSBURG, MD 20902",07/20/2018,SALE TO MINOR,SETTLED; $1000+ALERT,08/31/2018
