FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
PASSION FIN ASIAN BISTRO,"4611 SANGAMORE ROAD , BETHESDA , MARYLAND - 20816",02/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,04/10/2020
PROMENADE MARKET & DELI,"5225 POOKS HILL ROAD , BETHESDA , MARYLAND - 20814",02/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $2500 +ALERT,03/27/2020
DENISE MEXICAN BAR & GRILL,"25901 FREDERICK AVE , CLARKSBURG , MARYLAND - 20871",02/18/2020,5.5 RECORDS,$500 +ALERT,04/10/2020
OM INDIAN RESTAURANT,"785 ROCKVILLE PIKE K, ROCKVILLE, MD 20852",10/09/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,10/09/2019
ON THE VINE,"15230 SIESTA KEY WAY , ROCKVILLE , MARYLAND - 20850",11/20/2019,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,01/03/2020
GEMELLI'S ITALIAN MARKET,"12169 DARNESTOWN RD , GAITHERSBURG, MD 20878",08/15/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,08/15/2019
GYROLAND,"1701 ROCKVILLE PIKE B-3, ROCKVILLE, MD 20852",10/09/2019,SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
MATRESHKA,"15209 FREDERICK RD. , ROCKVILLE, MD 20850",08/06/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,08/06/2019
MIKE & SONS SUB SHOP,"5404 RANDOLPH ROAD , ROCKVILLE, MD 20852",09/25/2019,SALE TO MINOR,SETTLED;$1000+ALERT,09/25/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",09/03/2019,DISORDERLY HOUSE,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",06/04/2019,SALE TO MINOR,SETTLED;$5000+ALERT,06/04/2019
BALAGGER RESTAURANT,"8081 GEORGIA AVE. , SILVER SPRING, MD 20910",07/29/2019,NO ENTERPRISE LICENSE,"10 DAY SUSPENSION; NOVEMBER 20-NOVEMBER 29, 2019",10/03/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",09/03/2019,LICENSE COMPLIANCE CHECK,"2 WEEK SUSPENSION FROM JANUARY 6-JANUARY 19, 2020",11/21/2019
MIKE & SONS SUB SHOP,"5404 RANDOLPH ROAD , ROCKVILLE, MD 20852",09/25/2019,LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,09/25/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",09/03/2019,ACTS CONTRARY TO LAW,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",09/06/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"2 DAY SUSPENSION FROM DECEMBER 23-24, 2019",12/25/2019
MATRESHKA,"15209 FREDERICK RD. , ROCKVILLE, MD 20850",08/06/2019,ACTS CONTRARY TO LAW,SETTLED;$1000+ALERT,08/06/2019
MIKE & SONS SUB SHOP,"5404 RANDOLPH ROAD , ROCKVILLE, MD 20852",09/25/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/25/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",09/24/2019,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"2 WEEK SUSPENSION STARTING FROM JANUARY 20- FEBRUARY 9,2020",09/24/2019
MATRESHKA,"15209 FREDERICK RD. , ROCKVILLE, MD 20850",08/06/2019,SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",09/03/2019,NOISE/DISTURBANCE OF THE NEIGHBORHOOD,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",09/03/2019,LICENSEES' RESPONSIBILITY,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
BALAGGER RESTAURANT,"8081 GEORGIA AVE. , SILVER SPRING, MD 20910",07/29/2019,PROHIBITED HOURS,"10 DAY SUSPENSION; NOVEMBER 20-NOVEMBER 29, 2019",07/29/2019
KABUTO,"1 CHOICE HOTEL CIRCLE , ROCKVILLE , MARYLAND - 20850",02/05/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,04/10/2020
KABUTO,"1 CHOICE HOTEL CIRCLE , ROCKVILLE , MARYLAND - 20850",02/05/2020,5.5 RECORDS,$500 +ALERT,04/10/2020
KABUTO,"1 CHOICE HOTEL CIRCLE , ROCKVILLE , MARYLAND - 20850",02/05/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,04/10/2020
WOODMONT MARKET,"8227 WOODMONT AVE, UNIT A , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
KOREAN KORNER,"12207 VEIRS MILL ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,
OUTBACK STEAKHOUSE - SILVER SPRING,"13703 GEORGIA AVE , SILVER SPRING , MARYLAND - 20906",03/11/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$2500 +ALERT,
CUBANO'S RESTAURANT 2,"4907 CORDELL AVE. , BETHESDA , MARYLAND - 20814",03/13/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,
BLACK'S BAR & KITCHEN,"7750 WOODMONT AVE , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$2500 +ALERT,
BLACK'S BAR & KITCHEN,"7750 WOODMONT AVE , BETHESDA , MARYLAND - 20814",03/12/2020,5.7 DISPLAY OF LICENSE,$100 +ALERT,
DOG HAUS BIERGARTEN,"7904 WOODMONT AVENUE , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
RODMANS PARTY BOUTIQUE,"4301 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,"6.2 SALES OR SERVICE TO INTOXICATED PERSONS/CONSUMPTION OR POSSESSION BY

INTOXICATED PERSONS",$1000 +ALERT,
TIA QUETA RESTAURANT,"4839 DEL RAY AVE , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$2500 +ALERT,
RODMANS PARTY BOUTIQUE,"4301 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,5.4 ALCOHOL AWARENESS CERTIFICATION,$100 +ALERT,
MON AMI GABI,"7239 WOODMONT AVE , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
SOLE D'ITALIA RESTAURANT,"14324 LAYHILL ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
BRICKSIDE,"4866 CORDELL AVE , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
JALEO,"7271 WOODMONT AVE , BETHESDA , MARYLAND - 20814",03/12/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
CUBANO'S RESTAURANT 2,"4907 CORDELL AVE. , BETHESDA , MARYLAND - 20814",03/13/2020,5.5 RECORDS,$500 +ALERT,
RINCON MAGICO BAR & GRILL,"4217 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,5.5 RECORDS,$500 +ALERT,
KOREAN KORNER,"12207 VEIRS MILL ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$2500 +ALERT,
RINCON MAGICO BAR & GRILL,"4217 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",03/11/2020,6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,
