PRE DIR,PRE TYPE,STREET NAME,STREET TYPE,STATUS
,,N IH 35 NB TO BERRYWOOD,RAMP,ACTIVE
,,N IH 35 NB TO ANDERSON WB,RAMP,ACTIVE
,,N IH 35 NB TO ANDERSON,RAMP,ACTIVE
,,N 35 SB TO PARK THIRTY FI,RAMP,ACTIVE
,,N IH 35 SB TO PAMELA,RAMP,ACTIVE
,,N IH 35 SB TO KORMAN,RAMP,ACTIVE
,,BANFF,CV,ACTIVE
,,N IH 35 SB TO IH 35 SVRD,RAMP,ACTIVE
,,N IH 35 SB TO DIAMONDBACK,RAMP,ACTIVE
,,N 35 SB TO CESAR CHAVEZ,RAMP,ACTIVE
,,N IH 35 SB TO BARWOOD,RAMP,ACTIVE
,,N IH 35 SB TO AIRPORT,RAMP,ACTIVE
,,N IH 35 SB TO 8TH,RAMP,ACTIVE
,,N IH 35 SB TO 53RD HALF,RAMP,ACTIVE
,,N IH 35 SB TO 290 EB,RAMP,ACTIVE
,,N IH 35 SB TO 12TH,RAMP,ACTIVE
,,N 35 NB TO THREE POINTS,RAMP,ACTIVE
,,N IH 35 NB TO RUTHERFORD,RAMP,ACTIVE
,,N IH 35 NB TO REINLI,RAMP,ACTIVE
,,N 35 NB TO MIDDLE FISKVIL,RAMP,ACTIVE
,,N CAP TX TO MOPAC NB,RAMP,ACTIVE
,,N CAP TX SB TO RESEARC SB,RAMP,ACTIVE
,,N CAP TX SB TO 2222 WB,RAMP,ACTIVE
,,N CAP TX SB TO 2222,RAMP,ACTIVE
,,N CAP TX NB TO 2222 EB,RAMP,ACTIVE
,,N CAP TX NB TO 2222,RAMP,ACTIVE
,,N 620 NB TO PARMER,RAMP,ACTIVE
,,N 11700 MOPAC SVRD TO MOPAC NB,RAMP,ACTIVE
,,MONTOPOLIS TO BASTROP NB,RAMP,ACTIVE
,,MOPAC SB TO WILLIAM CANNO,RAMP,ACTIVE
,,MOPAC NB TO WILLIAM CANNO,RAMP,ACTIVE
,,MOPAC NB TO W US 290 SVRD,RAMP,ACTIVE
,,MIDDLE FISKVILLE TO 35 NB,RAMP,ACTIVE
,,MC NEIL TO RESEARCH SB,RAMP,ACTIVE
,,LUCILE,RD,ACTIVE
,,LUCKY HIT,RD,ACTIVE
,,PUTT,RD,ACTIVE
,,RESERVE,RD,ACTIVE
,,RESERVIST,RD,ACTIVE
,,RETREAT,RD,ACTIVE
,,REVEILLE,RD,ACTIVE
,,REVERE,RD,ACTIVE
,,EDGERTON,ST,ACTIVE
,,EDDYSTONE,ST,ACTIVE
,,ECKERT,ST,ACTIVE
,,EBONY,ST,ACTIVE
,,EASY,ST,ACTIVE
,,EASY,ST,ACTIVE
,,EASY,ST,ACTIVE
,,EAST,ST,ACTIVE
,,EAST,ST,ACTIVE
,,EAST,ST,ACTIVE
,,EASON,ST,ACTIVE
,,EARL,ST,ACTIVE
,,GERONIMO,ST,ACTIVE
,,GEORGIAN,ST,ACTIVE
,,GEORGETOWN,ST,ACTIVE
,,GEORGE BUSH,ST,ACTIVE
,,GEORGE,ST,ACTIVE
,,GEORGE,ST,ACTIVE
,,GLACIER BAY,ST,ACTIVE
,,GINGER,ST,ACTIVE
,,GENARD,ST,ACTIVE
,,GEMMER,ST,ACTIVE
,,GEE,ST,ACTIVE
,,GAZELLE,ST,ACTIVE
