Item Number,Product Name,CityStore Exclusive,Unit Price,Color,Size,Style,Category Name,Description
21189,NYC Parks Magnet,No,5.00,,,Washington Square Park Magnet,NY Magnets,"Show your support for all of the beautiful parks throughout NYC with the City of New York Parks and Recreation magnet, Available in the following parks.  Dimensions: 3x3 inches    City Hall Park    Battery Square Park    Washington Square Park"
21193,Street Sign Magnet,No,5.00,,,Broadway Magnet,NY Magnets,"Assorted NYC Street Sign 4.5 x1.5  panoramic magnets.    Handmade item, Green with white ink.  Materials: Ink, Metal, Magnet.    Available in the following:    Broadway    Chambers Street    Christopher Street    Jane Street    Delancey Street      Wall Street"
21193,Street Sign Magnet,No,5.00,,,Chambers Street Magnet,NY Magnets,"Assorted NYC Street Sign 4.5 x1.5  panoramic magnets.    Handmade item, Green with white ink.  Materials: Ink, Metal, Magnet.    Available in the following:    Broadway    Chambers Street    Christopher Street    Jane Street    Delancey Street      Wall Street"
21193,Street Sign Magnet,No,5.00,,,Christopher Street Magnet,NY Magnets,"Assorted NYC Street Sign 4.5 x1.5  panoramic magnets.    Handmade item, Green with white ink.  Materials: Ink, Metal, Magnet.    Available in the following:    Broadway    Chambers Street    Christopher Street    Jane Street    Delancey Street      Wall Street"
21193,Street Sign Magnet,No,5.00,,,Jane Street Magnet,NY Magnets,"Assorted NYC Street Sign 4.5 x1.5  panoramic magnets.    Handmade item, Green with white ink.  Materials: Ink, Metal, Magnet.    Available in the following:    Broadway    Chambers Street    Christopher Street    Jane Street    Delancey Street      Wall Street"
21193,Street Sign Magnet,No,5.00,,,Delancey Street Magnet,NY Magnets,"Assorted NYC Street Sign 4.5 x1.5  panoramic magnets.    Handmade item, Green with white ink.  Materials: Ink, Metal, Magnet.    Available in the following:    Broadway    Chambers Street    Christopher Street    Jane Street    Delancey Street      Wall Street"
04251,Parks Rebel Umbrella,No,38.00,,,,CityStore Exclusives,"Instead of the traditional design of umbrellas where you push the outer edges out from the handle, you push the center of the umbrella up to the top of the rod, creating a funnel that shields you from the rain as you open it. With a span of 49 inches, this reverse umbrella gives you ample coverage from the elements."
04251,Parks Rebel Umbrella,No,38.00,,,,Park Central,"Instead of the traditional design of umbrellas where you push the outer edges out from the handle, you push the center of the umbrella up to the top of the rod, creating a funnel that shields you from the rain as you open it. With a span of 49 inches, this reverse umbrella gives you ample coverage from the elements."
04251,Parks Rebel Umbrella,No,38.00,,,,Accessories,"Instead of the traditional design of umbrellas where you push the outer edges out from the handle, you push the center of the umbrella up to the top of the rod, creating a funnel that shields you from the rain as you open it. With a span of 49 inches, this reverse umbrella gives you ample coverage from the elements."
22144,Liberty Pin,No,30.00,,,,Jewelry,"The  LIBERTY  pin measures 1 1/2 in. high by 1 1/6 in. wide by 1/16 in. Suspended on reverse with a base metal pin and clutch closure.  Gift box and jewelry pouch included.    Care Instructions: Store jewelry in the velveteen pouch provided with your order.  Remove jewelry prior to bathing, exercising, cleaning, swimming, gardening, and applying hair and body products.  Do not use abrasives to clean. Jewelry can be wiped with soft cloth and silver cleaner only."
08155,The Official Staten Island Onesie,No,20.00,,,,CityStore Exclusives,The perfect gift for the baby from Staten Island! A onesie with the borough seal.    100% cotton. Size 6-12. Made in New York. A CityStore Exclusive!
08155,The Official Staten Island Onesie,No,20.00,,,,NYC Kids,The perfect gift for the baby from Staten Island! A onesie with the borough seal.    100% cotton. Size 6-12. Made in New York. A CityStore Exclusive!
