CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2020,April,FREE RUN WINE MERCHANTS LLC,WINE,352452,COLUTTA PINOT GRIGIO DOC - 750ML,4,Purchase order
2020,April,AREL GROUP WINE & SPIRITS,WINE,21210,CANDONI PROSECCO BRUT 6/C - 750ML,60,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,436372,HUNTERS S/BLC - 750ML,1,Purchase order
2020,April,MILLER BREWING COMPANY,BEER,92657,ICEHOUSE 4/6 LNNR - 12OZ,128,Purchase order
2020,April,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,80477,SAN ANTONIO CARDINALE - 750ML,42,Purchase order
2020,April,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,82314,ROOT 1 CARMENERE - 750ML,7,Purchase order
2020,April,BUCK DISTRIBUTING COMPANY INC,BEER,63785,FAMOSA 24OZ CANS,11,Purchase order
2020,April,INTERBALT PRODUCTS CORP,WINE,351930,VILLA CATERINA MERLOT - 750ML,1,Purchase order
2020,April,ROYAL WINE CORP,WINE,159220,BARTENURA MOSCATO D'ASTI BLUE - 375ML,1,Purchase order
2020,April,SMT AQUISITIONS LLC,WINE,85272,CALLIA ALTA MALBEC - 750ML,1,Purchase order
2020,April,LANTERNA DISTRIBUTORS INC,WINE,354638,COSMOPOLITAN DIVA SPARKLING NA - 750ML,1,Purchase order
2020,April,DIONYSOS IMPORTS INC,WINE,350386,AGUILA CREMANT DE LIMOUX ROSE - 750ML,10,Purchase order
2020,April,CROWN IMPORTS,BEER,99198,MODELO ESPECIAL 2/12 NR - 12OZ,4606,Purchase order
