Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,06/21/2009,FALL OF HORSE,Tioga Downs,Tioga Downs  3/4 pole,Racing,Harness,Cloudy 72 degrees,Yankee Vader,JACLYN B. BAILEY, ,Yankee Vader-Tr. Jaclyn Bailey-fell on track-sustained skin scrapes to knees & laceration above right eye-return to racing end of July,Steward's List
2009,06/21/2009,FALL OF RIDER,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,RIVER WARRIOR,BETH M. SAUL, ,River Warrior-Tr. Beth Saul-reared at start and lost rider-no injury to horse or rider, 
2009,06/25/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Clear but overcast,Super Precious,BRIAN A. O'NEILL, ,Super Precious-Tr. Brian O'Neill-LF leg lameness-scratched,Lameness
2009,06/25/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Racing,Harness,Clear but overcast,Jamin James,BRIAN A. O'NEILL, ,Jasmin James-Tr. Brian O'Neill-RF lameness-scratched,Lameness
2009,06/26/2009,FALL OF RIDER,Belmont Park (NYRA),Quarter pole,Racing,Thoroughbred,Cloudy,Prairie Boy,JOFFRE M. CORREA, ,Prairie Boy-Tr. Joffre Correa-Tight quarters hit rail  rider lost-both horse & jockey ok, 
2009,06/26/2009,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,CHALLENGER'S SONG,RAFAEL G. ROHENA SR, ,Challenger's Song-Tr. Rafael Rohena  Sr.-reinjured bowed tendon-must requalify, 
2009,06/26/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga  Harness,Racing,Harness,Clear 70 deg,Bama Bound,COLIN JOHNSON, ,Bama Bound-Tr. Colin Johnson-fx coffin bone- horse retired,Steward's List
2009,06/27/2009,EQUINE DEATH,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Cape Marco,NICHOLAS P. ZITO, ,Cape Marco-Tr. Nick Zito-ruptured artery/torn ligaments-euthanized,Euthanasia
2009,06/27/2009,STEWARDS/VETS LIST,Tioga Downs,Tioga Downs Paddock,Racing,Harness,Clear   73,Venable,ANDREW B. BYLER, ,Venable-Tr. Andrew Byler-Muscular cramping-horse scratched-being treated at farm-must requalify,Steward's List
2009,06/30/2009,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,CAPTIVA  DREAMIN,LAVERN A. BOWMAN, ,Captiva Dreamin-Tr. Lavern Bowman-reared in gate-head laceration-back in training, 
2009,06/30/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,A P GRACIE,KARL M. GRUSMARK, ,A P Gracie-Tr. Karl Grusmark-RH leg fx-euthanized,Euthanasia
2009,06/30/2009,FALL OF HORSE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,PROUD VINTAGE,BRUCE D. ANDERSON, ,Proud Vintage-Tr. Bruce Anderson-clipped heels & fell-Jockey Rubin Rojas broke collar bone-no injury to horse, 
2009,06/30/2009,RACING INCIDENT,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,Kid Smokey,EDWARD C. PERDUE, ,Kid Smokey-Tr. Edward Perdue-reared in starting gate-declared non-starter-no injuries to horse or rider, 
2009,07/01/2009,EQUINE DEATH,Belmont Park (NYRA),Barn 22,Training,Thoroughbred,Thunder Storms,Kentucky Bluebird,PATRICK J. KELLY, ,Kentucky Bluebird-Patrick Kelly-Found in stall reinjured LH condylar fx-euthanized,Euthanasia
2009,07/01/2009,EQUINE DEATH,Belmont Park (NYRA),Wire then Barn 10 Aqueduct,Racing,Thoroughbred,Clouds & Sun,Big Stack,RICHARD E. DUTROW JR, ,Big Stack-Tr. Richard Dutrow-RF sesamoid fxs-euthanized,Euthanasia
2009,07/01/2009,EQUINE DEATH,Saratoga Racecourse (NYRA),Saratoga barn 64,Other,Thoroughbred,Thunder storms,Unamed 07 Always Red,BRUCE N. LEVINE, ,Unamed 07 Always Red-Tr. Bruce Levine-Found in stall w/ Fx L femur-euthanized,Euthanasia
2009,07/04/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Clear,Wally West,APRIL C. ALDRICH, ,Wally West-Tr. April Aldrich-previous LL cannon bone fx-turned out 2 mos.-returned to race, 
2009,07/04/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/8 pole,Racing,Harness,Clear,Dream Well,ROBERT W. HARMON, ,Dream Well-Tr. Robert Harmon-Caught up in hobbles fell-horse OK-must requalify,Steward's List
2009,07/05/2009,EQUINE DEATH,Belmont Park (NYRA), Barn 36 -Belmont,Other,Thoroughbred, ,Atlantic Fleet,DAVID P. DUGGAN, ,Atlantic Fleet-Tr. David Duggan-complication from cellultis (laminatis)-euthanized,Euthanasia
2009,07/05/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACE TRACK,Other,Thoroughbred, ,GET YOUR GROOVE ON,OSCAR S. BARRERA JR, ,Get Your Groove On-Tr. Oscar S Barrera  Jr-pleuro pneumonia-euthanized,Euthanasia
2009,07/08/2009,EQUINE DEATH,Belmont Park (NYRA),Barn #15,Training,Thoroughbred,Sunny,Kid Hendrix,FRANK MARTIN, ,Kid Hendrix-Tr. Frank Martin-LF fx from 2008-unable to recover from injury-euthanized,Euthanasia
