the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.69154974769 30.25218079215),21,538,,,,,,SPX 07/15/97;,727 AIRPORT BLVD,120
POINT (-97.794435080475 30.231306248107),475,363,,,,,,SP-00-2288CS,4435 FRONTIER TRL,100
POINT (-97.885233565046 30.260443594588),423,186,,,,,,,8509 SOUTHWEST PKWY,0
POINT (-97.868000580161 30.173304561993),299,301,,,,,,SPX-06-0111,4119 1/2 KELLYWOOD DR,0
POINT (-97.686536147385 30.339800362442),441,123,,,,,,,1310 RUTHERFORD LN,0
POINT (-97.729817919174 30.269282353),118,479,,,,,,,1017 E 11TH ST,0
POINT (-97.713445937733 30.344796884176),26,543,,,,,,,7701 N LAMAR BLVD,0
POINT (-97.767123252086 30.295439695609),208,211,,,,,,,3009 WINDSOR RD,0
POINT (-97.747145647628 30.180506762803),503,392,,,,,,SPX 1/14/99&2/20/01,5202 E WILLIAM CANNON DR,100
POINT (-97.818955549474 30.279730665976),123,483,,,,,,,1301 S CAPITAL OF TEXAS HWY NB,0
POINT (-97.75942895424 30.482654963221),78,434,,,,,,,14400 N FM 620 RD,190
POINT (-97.727078069458 30.315592339383),155,511,,,,,,,4901 GUADALUPE ST,0
POINT (-97.767152302801 30.230614296979),465,353,,,,,,SPX 7/18/96,3508 S 1ST ST,75
POINT (-97.763714571096 30.304950408202),401,151,,,,,,,2203 W 35TH ST,125
POINT (-97.644251949835 30.207097811403),443,76,,,,,,SPX 7/8/97,2910 MELDRUM RD,230
POINT (-97.666914033097 30.421728188958),323,323,,,,,,SP-00-2334CS,1001 1/2 W HOWARD LN,100
POINT (-97.703289719888 30.395005343976),336,336,,,,,,SPX 2/12/99,11621 TALLOW FIELD WAY,0
POINT (-97.926759487868 30.404911356037),523,53,,,,,,,4415 HUDSON BEND RD,0
POINT (-97.797529720288 30.420862434062),88,444,,,,,,SPX 10/05/00,9001 OLD LAMPASAS TRL,100
POINT (-97.891691000152 30.440544983821),345,345,,,,,,SPX 1/25/99,8122 NAVAJO PASS,195
POINT (-97.897208036999 30.182906376881),394,145,,,,,,SP-2007-0574CS,11401 1/2 ESCARPMENT BLVD,0
POINT (-97.740438221552 30.28072111886),413,177,,,,,,,1801 LAVACA ST,0
POINT (-97.705070569228 30.368005711763),186,23,,,,,,SPX-03-0090 & SPX 9/24/97,9433 PARKFIELD DR,107
POINT (-97.701218175474 30.237472978353),267,270,,,,,,BP-03-8831Q,801 1/2 GROVE BLVD,100
POINT (-97.769221757627 30.231340269357),246,249,,,,,,C14-1963-0204,3607 S 2ND ST,0
POINT (-97.709187499635 30.385017505201),250,253,,,,,,SP-97-0392C,1825 KRAMER LN,0
POINT (-97.680557407594 30.226882952836),108,464,,,,,,SPX 8/19/98 & 10/04/00,1127  BASTOP HWY SVRD,120
POINT (-97.92589178751 30.396561054636),105,461,,,,,,SPX-06-0153;SPX  2/24/98,3717 N FM 620 RD,200
POINT (-97.761457196835 30.358315446964),365,105,,,,,,SPX-06-0534,7116 1/2 CHIMNEY CORNERS,85
POINT (-97.947939873399 30.315510554083),318,318,,,,,,,3827 S FM 620 RD,0
POINT (-97.653591761299 30.329698986201),200,43,,,,,,,8501 SPRINGDALE RD,0
POINT (-97.73416553028 30.254131858067),302,304,,,,,,BP-06-4792Q,21 1/2 WALLER ST,0
POINT (-97.755323390481 30.314562298652),337,337,,,,,,SPX 2/18/99,4100 JACKSON AVE,75
POINT (-97.807018172381 30.253737904043),219,222,,,,,,,3028 S MOPAC EXPY SVRD SB,20
POINT (-97.774758923382 30.400590632481),170,7,,,,,,,6520 YAUPON DR,0
POINT (-97.742013927873 30.291240995163),350,92,,,,,,,407 W 27TH ST,75
POINT (-97.7831509578 30.162798532513),79,435,,,,,,SPX 7/15/97&8/21/98,1827 OAK HILL LN,240
POINT (-97.989504216032 30.317030951796),101,457,03/19/2010 12:00:00 AM +0000,Oneillt,03/19/2010 12:00:00 AM +0000,Oneillt,,,15839 1/2 W SH 71,
POINT (-97.683607119672 30.431096281788),61,417,,,,,,SPX 5/23/96,13800 DRAGLINE DR,150
POINT (-97.919933360856 30.201040054176),163,518,,,,,,,11014 FM 1826 RD,190
POINT (-97.746457684377 30.206523878733),483,371,,,,,,SPX 2/2/99,4401 FREIDRICH LANE,120
POINT (-97.7959431262 30.470826556719),407,156,,,,,,SPX 3/23/99,13945 N US 183 HWY NB,70
POINT (-97.739347790658 30.341819285281),433,194,,,,,,SPX 2/9/98,6546 BURNET RD,100
POINT (-97.741334555898 30.270560061935),40,173,,,,,,,823 CONGRESS AVE,0
POINT (-97.701337473478 30.343342061598),74,430,,,,,,SPX 3/5/96,8007 GESSNER DR,30
POINT (-97.727131723755 30.328307905237),409,158,,,,,,SPX 2/12/99,5700 N LAMAR BLVD,100
POINT (-98.017920136878 30.340378393064),352,94,,,,,,,4529 BEE CREEK RD,0
