Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ALABAMA,2020,7,,-,2,,,-,1,,3,,16,,53,,17,,,-,4,,3,,11,,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,1,,,-,1,,,-,2,,,-,1,,,-,2,,,-,5,,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,1,,,-,1,,,-,10,,21,,13,,,-,11,,6,,27,,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,0,,,-,,-,,-,23,,36,,37,,,-,5,,,-,7,,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,1,,,-,,-,,-,8,,1,,27,,,-,1,,,-,1,,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,,-,4,,,-,1,,6,,145,,89,,773,,2,,41,,22,,65,,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,2,,1,,1,,1,,83,,68,,227,,,-,9,,16,,33,,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,1,,,-,,-,,-,3,,3,,5,,,-,0,,,-,3,,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,1,,1,,1,,,-,1,,7,,28,,10,,,-,3,,5,,1,,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,0,,,-,,-,,-,31,,36,,16,,,-,4,,4,,5,,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,,-,3,,,-,,-,,-,5,,,-,,-,1,,5,,1,,,-,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,,-,1,,,-,,-,5,,80,,53,,489,,1,,29,,19,,33,,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,,-,0,,,-,,-,,-,5,,,-,8,,,-,1,,,-,2,,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,,-,1,,,-,1,,,-,39,,22,,30,,,-,4,,4,,9,,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,2,,,-,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,1,,3,,1,,2,,8,,150,,195,,592,,,-,37,,20,,132,,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,,-,4,,1,,,-,4,,43,,39,,26,,,-,5,,3,,8,,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,,-,2,,,-,1,,,-,4,,,-,2,,,-,3,,,-,5,,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,,-,3,,,-,,-,,-,18,,17,,14,,,-,1,,,-,4,,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,1,,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,2,,,-,,-,4,,90,,12,,515,,2,,11,,27,,27,,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,1,,,-,,-,,-,6,,6,,2,,,-,4,,5,,8,,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,,-,2,,,-,,-,6,,15,,35,,14,,,-,5,,3,,2,,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,,-,2,,1,,,-,2,,30,,16,,85,,,-,2,,4,,5,,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,2,,,-,,-,,-,4,,,-,,-,1,,2,,1,,2,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,1,,,-,,-,,-,8,,,-,5,,,-,1,,,-,1,,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,2,,,-,,-,,-,4,,1,,15,,,-,3,,,-,8,,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,1,,,-,,-,,-,30,,69,,56,,,-,5,,2,,16,,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,1,,,-,,-,2,,5,,12,,11,,,-,4,,7,,7,,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,2,,,-,,-,1,,9,,17,,36,,,-,3,,3,,2,,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,0,,,-,,-,,-,9,,33,,2,,,-,4,,4,,6,,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,0,,,-,,-,1,,3,,1,,1,,,-,2,,,-,2,,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,2,,,-,,-,,-,16,,29,,19,,,-,4,,,-,3,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,4,,1,,,-,10,,76,,116,,86,,,-,11,,12,,29,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,3,,,-,1,,,-,14,,53,,36,,,-,4,,3,,12,,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,1,,,-,,-,1,,21,,3,,161,,,-,3,,,-,9,,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,1,,,-,1,,,-,99,,,-,321,,,-,23,,,-,71,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,0,,,-,,-,,-,4,,1,,,-,,-,1,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,4,,,-,1,,1,,21,,33,,30,,,-,5,,3,,15,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,0,,,-,,-,,-,13,,8,,71,,,-,2,,4,,9,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,,-,3,,1,,1,,3,,46,,40,,142,,,-,6,,4,,20,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,1,,71,,30,,234,,,-,10,,,-,21,,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,3,,1,,12,,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
WEST NORTH CENTRAL,2020,16,,-,4,,2,,10,,,-,21,,124,,67,,,-,5,,7,,28,,,WEST NORTH CENTRAL,20201620,
TOTAL,2020,8,,-,13,,6,,12,,39,,468,,973,,3013,,12,,101,,186,,449,,,TOTAL,20200870,
US RESIDENTS,2020,8,,-,13,,6,,12,,39,,468,,972,,3000,,12,,101,,185,,449,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,1,,,-,,-,,-,14,,10,,33,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,2,,,-,,-,4,,14,,33,,15,,1,,4,,3,,8,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,3,,,-,2,,,-,31,,134,,50,,3,,5,,12,,27,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,7,,1,,2,,3,,44,,85,,82,,1,,10,,23,,14,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,1,,,-,,-,,-,3,,2,,,-,,-,1,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,3,,1,,2,,9,,115,,186,,867,,3,,20,,62,,85,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,1,,,-,1,,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,0,,,-,,-,,-,7,,4,,10,,,-,3,,,-,2,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,1,,,-,1,,,-,8,,7,,41,,,-,3,,3,,1,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,2,,,-,,-,,-,2,,2,,1,,,-,3,,2,,5,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,4,,1,,1,,,-,13,,14,,7,,,-,6,,4,,3,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,4,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,0,,,-,,-,,-,2,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,N,,NC,,N,,N,,-,16,,71,,7,,,-,3,,2,,5,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,1,,,-,,-,,-,19,,31,,122,,,-,5,,11,,22,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,0,,,-,,-,,-,2,,2,,2,,,U,,NC,,U,,U,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,2,,,-,1,,,-,2,,3,,2,,3,,2,,4,,2,,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,4,,3,,,-,,-,2,,,-,2,,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,2,,,-,1,,,-,16,,51,,19,,,-,4,,3,,12,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,1,,,-,1,,,-,2,,,-,1,,,-,2,,,-,5,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,1,,,-,1,,,-,10,,30,,15,,,-,11,,9,,31,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,0,,,-,,-,,-,23,,36,,43,,,-,5,,,-,8,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,1,,,-,,-,,-,8,,1,,31,,,-,1,,,-,1,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,4,,,-,1,,9,,145,,104,,889,,2,,41,,27,,72,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,2,,1,,1,,7,,83,,88,,269,,,-,9,,23,,35,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,1,,,-,,-,,-,3,,4,,5,,,-,0,,,-,3,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,1,,2,,,-,2,,7,,31,,11,,,-,3,,5,,2,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,,-,31,,36,,18,,,-,4,,5,,7,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,3,,,-,,-,,-,5,,,-,,-,,-,5,,1,,,-,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,1,,,-,,-,8,,80,,61,,569,,2,,29,,21,,37,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,0,,,-,,-,,-,5,,,-,8,,,-,2,,,-,2,,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,1,,,-,1,,3,,39,,52,,35,,1,,4,,10,,9,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,2,,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,4,,2,,2,,8,,150,,218,,686,,,-,37,,27,,157,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,4,,1,,,-,1,,43,,49,,29,,,-,5,,3,,12,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,2,,,-,1,,,-,4,,1,,6,,,-,3,,,-,5,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,3,,,-,,-,,-,18,,20,,16,,,-,1,,1,,4,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,1,,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,2,,,-,,-,2,,74,,14,,577,,3,,11,,32,,32,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,1,,,-,,-,,-,6,,7,,2,,,-,4,,5,,9,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,2,,,-,,-,6,,16,,40,,17,,,-,5,,3,,4,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,2,,1,,,-,4,,30,,21,,96,,,-,2,,4,,6,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,1,,,-,,-,,-,8,,,-,9,,,-,1,,,-,1,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,2,,,-,,-,,-,4,,2,,15,,,-,3,,3,,9,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,2,,,-,,-,,-,30,,69,,71,,,-,5,,2,,17,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,1,,,-,,-,1,,5,,13,,13,,2,,4,,9,,7,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,2,,,-,,-,,-,9,,19,,40,,,-,5,,8,,2,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,,-,,-,9,,33,,2,,,-,4,,4,,6,,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,2,,,-,,-,,-,1,,1,,1,,,-,1,,,-,1,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,3,,1,,1,,,-,1,,,-,2,,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,2,,,-,,-,,-,16,,29,,22,,,-,4,,,-,3,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,4,,1,,,-,6,,76,,131,,100,,3,,11,,15,,35,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,3,,,-,1,,,-,15,,60,,40,,,-,4,,3,,16,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,1,,,-,,-,,-,21,,9,,172,,,-,3,,3,,9,,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,1,,,-,1,,,-,99,,,-,381,,,-,23,,,-,85,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,0,,,-,,-,,-,4,,1,,1,,,-,1,,,-,,-,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,,-,4,,,-,2,,,-,21,,34,,34,,,-,5,,3,,16,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,0,,,-,,-,,-,9,,8,,78,,,-,2,,6,,9,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,,-,3,,1,,1,,4,,46,,49,,170,,,-,6,,5,,21,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,0,,,-,,-,1,,71,,34,,264,,,-,10,,,-,23,,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,3,,1,,13,,,-,0,,1,,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
TOTAL,2020,9,1,,13,,8,,14,,97,,469,,1364,,3389,,13,,101,,230,,501,,,TOTAL,20200970,
US RESIDENTS,2020,9,1,,13,,8,,14,,97,,469,,1363,,3375,,13,,101,,229,,501,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,1,,,-,,-,,-,14,,13,,39,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,,-,2,,,-,,-,6,,14,,39,,19,,,-,4,,3,,9,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,,-,3,,,-,2,,2,,31,,145,,55,,2,,5,,14,,31,,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,,-,7,,1,,3,,9,,44,,108,,93,,,-,10,,24,,15,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,1,,,-,,-,,-,3,,2,,,-,,-,1,,,-,,-,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,,-,3,,1,,2,,7,,113,,235,,955,,3,,20,,70,,91,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,,-,0,,,-,,-,,-,7,,5,,11,,,-,3,,,-,2,,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,1,,,-,1,,,-,8,,13,,45,,,-,3,,4,,2,,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,-,2,,,-,,-,,-,2,,2,,1,,,-,3,,2,,5,,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,4,,1,,1,,1,,13,,20,,15,,,-,6,,5,,3,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,4,,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,0,,,-,,-,,-,2,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,N,,NC,,N,,N,1,,16,,78,,7,,,-,3,,2,,5,,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,,-,1,,,-,,-,,-,19,,34,,134,,,-,5,,12,,24,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,0,,,-,,-,,-,2,,2,,2,,,U,,NC,,U,,U,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,-,2,,,-,1,,1,,2,,4,,2,,2,,2,,5,,2,,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,0,,,-,,-,,-,4,,3,,,-,,-,2,,,-,2,,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,2,,,-,1,,2,,17,,73,,19,,,-,4,,3,,14,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,1,,,-,1,,,-,2,,,-,2,,,-,1,,,-,5,,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,1,,,-,1,,,-,10,,30,,18,,,-,11,,12,,34,,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,0,,,-,,-,,-,23,,36,,59,,,-,5,,,-,11,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,1,,,-,,-,,-,8,,2,,34,,,-,1,,,-,2,,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,4,,,-,1,,6,,145,,118,,990,,2,,41,,31,,80,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,2,,1,,1,,5,,83,,98,,302,,,-,9,,27,,37,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,1,,,-,,-,,-,3,,4,,5,,,-,0,,,-,3,,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,1,,2,,,-,5,,7,,41,,12,,3,,3,,8,,2,,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,0,,,-,,-,,-,31,,36,,19,,,-,4,,5,,7,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,-,3,,,-,,-,,-,5,,,-,,-,,-,5,,1,,,-,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,1,,,-,,-,6,,68,,67,,634,,2,,29,,24,,42,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,0,,,-,,-,1,,6,,20,,7,,,-,2,,,-,2,,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,1,,,-,1,,3,,39,,63,,36,,,-,4,,10,,10,,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,0,,,-,,-,,-,0,,,-,1,,,-,1,,2,,,-,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,1,,4,,4,,2,,64,,151,,461,,795,,5,,37,,51,,178,,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,4,,1,,,-,1,,43,,57,,34,,1,,6,,5,,12,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,2,,,-,1,,,-,2,,1,,6,,,-,3,,,-,5,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,,-,3,,,-,,-,1,,18,,21,,17,,,-,1,,1,,4,,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,,-,1,,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,2,,,-,,-,,-,55,,14,,632,,3,,11,,35,,34,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,1,,,-,,-,,-,6,,7,,2,,,-,4,,6,,11,,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,2,,,-,,-,4,,16,,45,,23,,1,,5,,4,,4,,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,2,,1,,,-,,-,30,,21,,108,,,-,2,,4,,6,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,1,,,-,,-,,-,8,,,-,9,,,-,1,,,-,2,,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,2,,,-,,-,,-,4,,2,,16,,,-,3,,3,,9,,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
