POLE_ATTACH_ID,SIGNAL_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,POLE_ATTACH_DESCRIPTION,POLE_ATTACH_PROVIDER,CREATED_DATE,MODIFIED_DATE,INTERSECTION_QUADRANT,INSTALL_DATE,STATUS,SIGNAL_ID,ATD_LOCATION_ID,INFRASTRUCTURE_OWNER,INFRASTRUCTURE_TYPE,PROVIDER_ID
1045,,30.33016,-97.68846,7519 1/2 Cameron Rd,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016350,AE,Steel Utility Pole,AU1073BA_21LAB
1046,,30.32976,-97.69112,1308 1/2 McKie Dr.,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016355,AE,Steel Utility Pole,AU1073BA_71LAB
1048,,30.32604,-97.68901,1517 1/2 Reagan Hill Dr.,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016365,AE,Steel Utility Pole,AU1073BA_31LAB
1049,,30.2131,-97.75024,1801 1/2 Directors Blvd,T-MOBILE,02/24/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016370,AE,Steel Utility Pole,AU1064BA_41LAB
1050,,30.32657,-97.69214,7210 1/2 Cameron Rd,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016375,AE,Steel Utility Pole,AU1071BA_11LAB
1051,,30.22543,-97.7291,2702 1/2 S. Pleasant Valley Rd,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016380,AE,Steel Utility Pole,AU1082BA_11LAB-A
1052,,30.28277,-97.74529,702 1/2 W MLK,T-MOBILE,02/24/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016385,AE,Steel Utility Pole,AU1023BA_71LAB-B
1053,,30.27543,-97.73753,1400 1/2 San Jacinto Blvd,T-MOBILE,02/24/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016390,AE,Steel Utility Pole,AU1047BA_71LAB-C
1054,,30.27061,-97.73758,413 1/2 E 10th St.,T-MOBILE,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016395,AE,Steel Utility Pole,AU1045BA_41LAB-B
1055,,30.23011,-97.73586,2314 1/2 Burleson Rd,T-MOBILE,02/28/2020,03/04/2020,N/A,,UNDER_REVIEW,0,LOC20-016400,Foreign,Wood Utility Pole,AU1081BA_41LAB
1056,,30.28836,-97.74967,1102 1/2 W 24TH STREET,T-MOBILE,02/28/2020,03/04/2020,N/A,,UNDER_REVIEW,0,LOC20-016405,Foreign,Wood Utility Pole,AU1023BA_31LAB-A
1057,,30.32453,-97.69504,1302 1/2 Camino La Costa,T-MOBILE,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016410,AE,,AU1073BA_81LAB
1058,,30.30385,-97.72191,801-1/2 E 44TH STREET,VERIZON,02/28/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016415,AE,Steel Utility Pole,801-1/2 E 44TH STREET
1059,,30.34698,-97.69959,8211 1/2 SAM RAYBURN DR,VERIZON,02/28/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016425,AE,Steel Utility Pole,TX_AUS_NLAMARE_035
1060,,30.35628,-97.70757,8512 1/2 JAMESTOWN DR,VERIZON,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016430,AE,Steel Utility Pole,TX_AUS_NLAMARW_043 - D
1061,,30.358,-97.72806,2107 1/2 POMPTON DR,VERIZON,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016435,AE,Steel Utility Pole,TX_AUS_WOOTEN_011
1062,,30.26192,-97.76104,1518 1/2 BARTON SPRINGS ROAD,VERIZON,02/28/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016440,AE,Wood Utility Pole,BARTON_SPRINGS_4_SC - C
1063,,30.35252,-97.70055,108 1/2 Beaver St,VERIZON,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016445,AE,Steel Utility Pole,TX_AUS_NLAMARE_030
1064,,30.35525,-97.69534,302 1/2 Home Place,VERIZON,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016450,AE,,TX_AUS_NLAMARE_026
1065,,30.29232,-97.73395,3006 1/2 DUVAL ST,VERIZON,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016455,AE,Steel Utility Pole,TX_AUS_NUNIVERSITY_009
1066,,30.33423,-97.72596,1111 1/2 PAYNE AVE,VERIZON,02/28/2020,03/03/2020,N/A,,UNDER_REVIEW,0,LOC20-016460,AE,,TX_AUS_JUSTIN_KOENIG_010
1067,,30.30835,-97.69995,1501 1/2 WESTMOOR DR,VERIZON,02/28/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016465,AE,Steel Utility Pole,TX_AUS_CAMERON_013
1068,,30.33423,-97.72596,1111 1/2 PAYNE AVE,VERIZON,02/28/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016470,AE,Steel Utility Pole,TX_AUS_JUSTIN_KOENIG_010
1069,,30.31385,-97.69217,1707-1/2 BRIARCLIFF BOULEVARD,VERIZON,02/28/2020,03/02/2020,N/A,,UNDER_REVIEW,0,LOC20-016475,AE,Wood Utility Pole,TX_AUS_CAMERON_007
1070,,0,0,0,,02/28/2020,03/02/2020,N/A,,WITHDRAWN,0,LOC20-016480,,,
1071,,30.3993,-97.70365,11900 1/2 Sunhillow Bend Trail,VERIZON,03/05/2020,03/05/2020,N/A,,UNDER_REVIEW,0,LOC20-016510,AE,Steel Utility Pole,TX_AUS_METRIC_004_B
1072,,30.27138,-97.74027,917-1/2 BRAZOS STREET,VERIZON,03/05/2020,03/05/2020,N/A,,UNDER_REVIEW,0,LOC20-016515,ATD,Wood Utility Pole,AUSDT_91_SC - C
1073,,30.33109,-97.69761,7217-1/2 BETHUNE AVENUE,VERIZON,03/05/2020,03/05/2020,N/A,,UNDER_REVIEW,0,LOC20-016520,AE,Wood Utility Pole,TX_AUS_STJOHN_005
1074,,30.32789,-97.70099,6905-1/2 CARVER AVENUE,VERIZON,03/05/2020,03/05/2020,N/A,,UNDER_REVIEW,0,LOC20-016525,AE,Wood Utility Pole,TX_AUS_STJOHN_013
1075,,30.33808,-97.73918,6311 1/2 BURNET RD,VERIZON,03/09/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016535,AE,Wood Utility Pole,TX_AUS_JUSTIN_KOENIG_004
1077,,30.29796,-97.73338,3406 1/2 GROOMS ST,VERIZON,03/09/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016545,AE,Wood Utility Pole,TX_AUS_NUNIVERSITY_003
1078,,30.3258,-97.69264,7110 1/2 CAMERON RD,VERIZON,03/09/2020,03/09/2020,N/A,,UNDER_REVIEW,0,LOC20-016550,ATD,Signal Pole,TX_AUS_STJOHN_011
1079,,30.29277,-97.73079,703 1/2 E 32nd St,VERIZON,03/10/2020,03/10/2020,N/A,,UNDER_REVIEW,0,LOC20-016555,Foreign,Wood Utility Pole,TX_AUS_NUNIVERSITY_010
