INSPECTION_NO,INSPECTION_DATE,VIOLATIONS,WARNINGS
1050608060114,05/01/2008 10:25:00 AM,0,0
1043015093618,04/26/2015 09:40:00 AM,0,0
1100610102642,10/05/2010 06:35:00 AM,0,0
1052219061219,05/19/2019 11:40:00 AM,0,0
1022715134516,02/25/2015 04:00:00 PM,0,0
1092007062444,09/19/2007 09:00:00 AM,0,0
1022007231957,02/16/2007 02:21:00 AM,0,0
1061610082246,06/15/2010 11:30:00 PM,0,0
1032216102328,03/17/2016 11:25:00 AM,0,0
1111513123211,11/06/2013 07:00:00 AM,0,0
1082813122222,08/27/2013 10:30:00 AM,0,0
1072513105028,07/22/2013 07:20:00 AM,0,0
1121416100031,11/28/2016 07:30:00 AM,0,0
1082619064746,08/24/2019 09:10:00 AM,0,0
1102518094923,10/02/2018 09:10:00 AM,0,0
1112211093333,11/18/2011 09:00:00 AM,0,0
1031314074157,02/26/2014 09:05:00 AM,0,0
1093014151834,09/22/2014 08:40:00 AM,0,0
1031416090705,03/10/2016 07:55:00 AM,0,0
1042220071354,04/20/2020 03:40:00 PM,0,0
1011119102005,01/10/2019 07:30:00 AM,0,0
1102717125146,10/23/2017 06:40:00 PM,0,0
1121918074738,12/18/2018 09:30:00 AM,0,0
1082115122814,08/19/2015 11:50:00 PM,0,0
1071015104716,07/07/2015 04:00:00 PM,0,0
1122811115307,12/27/2011 07:50:00 AM,0,0
1062218063514,06/20/2018 04:45:00 PM,0,0
1040407134137,04/04/2007 07:40:00 AM,0,0
1042018081934,04/18/2018 04:45:00 PM,0,0
1010920084902,01/08/2020 04:35:00 PM,0,0
1122716081814,12/16/2016 10:25:00 AM,0,0
1042220075014,04/18/2020 10:15:00 AM,0,0
1050516104840,04/27/2016 11:55:00 AM,0,0
1051209082848,05/11/2009 09:15:00 AM,0,0
1072114155658,07/18/2014 09:10:00 AM,0,0
1120116163805,11/03/2016 07:40:00 AM,0,0
1031116145758,03/09/2016 08:00:00 AM,0,0
1121914130052,12/18/2014 11:55:00 PM,0,0
1040611085702,04/06/2011 12:40:00 AM,0,0
1100907154324,09/24/2007 05:30:00 PM,0,0
1031716154747,03/15/2016 08:00:00 AM,0,0
1042120094100,04/20/2020 04:15:00 AM,0,0
1101509083445,10/14/2009 11:40:00 AM,0,0
1042312104021,04/21/2012 09:35:00 AM,0,0
1041119065642,04/04/2019 08:05:00 AM,0,0
1092217065742,09/14/2017 01:50:00 AM,0,0
1061615161922,06/04/2015 05:20:00 PM,0,0
1121412075545,11/15/2012 08:00:00 AM,0,0
1111413065422,10/25/2013 06:48:00 AM,0,0
1031418075921,03/08/2018 07:05:00 PM,0,0
1032807135258,03/28/2007 11:45:00 AM,0,0
1071108132117,07/11/2008 08:35:00 AM,0,0
1041219065620,04/11/2019 09:20:00 AM,0,0
1020607134028,02/06/2007 10:20:00 AM,0,0
1020911104607,02/08/2011 05:40:00 PM,0,0
1021517063530,02/11/2017 07:45:00 AM,0,0
1012617073721,01/26/2017 03:35:00 AM,0,0
1071409092904,07/10/2009 07:55:00 AM,0,0
1121218075415,12/11/2018 09:50:00 AM,0,0
1051707213746,05/17/2007 04:21:00 PM,0,0
1021215121304,02/07/2015 08:45:00 PM,0,0
1092209083052,09/19/2009 08:20:00 AM,0,0
