Levy Year,School District Name,School District Code,Number of Basic Exemptions,Amount of Basic Reimbursement ,Number of Enhanced Exemptions,Amount of Enhanced Reimbursement ,Total Amount of Reimbursement ,Data Preparation Date
2019,Geneseo,242601,1059,509910,376,404977,914887,04/22/2020
2019,Livonia,243401,1885,1157709,718,950301,2108010,04/22/2020
2019,Mount Morris,243601,462,357538,215,338602,696140,04/22/2020
2019,Dansville,243801,1563,765000,754,780916,1545916,04/22/2020
2019,Dalton-Nunda,244001,823,491776,398,484467,976243,04/22/2020
2019,York,245201,937,547508,367,454637,1002145,04/22/2020
2019,Oneida,251200,2009,1281131,1010,1406990,2688121,04/22/2020
2019,Brookfield,252009,237,107652,102,95493,203145,04/22/2020
2019,Cazenovia,252201,1659,834495,544,608310,1442805,04/22/2020
2019,De Ruyter,252401,420,196714,167,169177,365891,04/22/2020
2019,Morrisville-Eaton,252601,788,360713,295,284698,645411,04/22/2020
2019,Hamilton,253201,654,337439,249,283660,621099,04/22/2020
2019,Canastota,253601,1520,1048118,685,1023311,2071429,04/22/2020
2019,Madison,254001,480,264450,205,246212,510662,04/22/2020
2019,Stockbridge Valley,254601,505,281056,182,217316,498372,04/22/2020
2019,Chittenango,254801,2334,1558085,988,1378415,2936500,04/22/2020
2019,Rochester,261400,16509,6191562,4468,3087379,9278941,04/22/2020
2019,Brighton,262001,3264,2394320,1034,1677365,4071685,04/22/2020
2019,Gates-Chili,262601,5640,4339649,2807,4614892,8954541,04/22/2020
2019,Greece,262801,12610,8978018,5903,9397106,18375124,04/22/2020
2019,East Irondequoit,263401,4485,3766112,2097,3956881,7722993,04/22/2020
2019,West Irondequoit,263403,4413,3498117,1867,3358850,6856967,04/22/2020
2019,Honeoye Falls-Lima,263601,2255,1575616,645,1004107,2579723,04/22/2020
2019,Spencerport,263801,3910,2778343,1628,2602997,5381340,04/22/2020
2019,Hilton,264001,4751,3221881,2092,3162605,6384486,04/22/2020
2019,Penfield,264201,5339,3992943,1993,3333255,7326198,04/22/2020
2019,Fairport,264401,6796,4463741,2570,3764142,8227883,04/22/2020
2019,East Rochester,264413,1205,920981,615,977469,1898450,04/22/2020
2019,Pittsford,264601,4885,3697122,1296,2206573,5903695,04/22/2020
2019,Churchville-Chili,264801,4433,3002187,1735,2618599,5620786,04/22/2020
2019,Rush-Henrietta,265001,6687,3912686,2650,3450177,7362863,04/22/2020
2019,Brockport,265201,3618,2622129,1333,2073132,4695261,04/22/2020
2019,Webster,265401,9378,5780043,3873,5411044,11191087,04/22/2020
2019,Wheatland-Chili,265601,957,628363,422,600058,1228421,04/22/2020
2019,Amsterdam,270100,3001,1671159,1639,1862181,3533340,04/22/2020
2019,Canajoharie,272201,1008,568340,459,546499,1114839,04/22/2020
2019,Fonda-Fultonville,272801,1564,749952,599,607110,1357062,04/22/2020
2019,Fort Plain,273001,699,422169,410,510860,933029,04/22/2020
2019,Oppenheim-Ephratah-St.Johnsvil,273803,914,406884,512,471799,878683,04/22/2020
2019,Glen Cove,280500,2584,2501810,919,1937177,4438987,04/22/2020
2019,Long Beach,281000,4983,3986334,991,1709179,5695513,04/22/2020
2019,Hempstead,282001,2147,3146611,412,1281176,4427787,04/22/2020
2019,Uniondale,282002,4104,3936496,779,1618016,5554512,04/22/2020
2019,East Meadow,282003,8721,10312116,2434,5469691,15781807,04/22/2020
2019,North Bellmore,282004,4588,6377377,970,2901579,9278956,04/22/2020
2019,Levittown,282005,8735,14136088,2032,7128320,21264408,04/22/2020
