Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
INDIANA,2020,1,,-,3,,,-,1,,,-,0,,,-,,-,,-,4,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,,-,3,,,-,3,,,-,0,,,-,,-,,-,22,,,-,18,,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,22,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,1,,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,6,,,-,1,,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,2,,8,,2,,4,,1,,1,,1,,1,,12,,115,,12,,22,,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,,-,3,,,-,1,,,-,0,,,-,,-,,-,4,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,2,,18,,2,,3,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,,-,1,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,3,,,-,2,,,-,1,,,-,,-,,-,26,,,-,4,,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,-,1,,,-,1,,,-,1,,,-,,-,1,,69,,1,,13,,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,54,,,-,2,,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,,-,6,,,-,4,,,-,1,,,-,,-,,-,17,,,-,3,,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,6,10,,32,,87,,106,,,-,2,,7,,5,,27,,334,,290,,691,,,TOTAL,20200670,
US RESIDENTS,2020,6,10,,32,,87,,106,,,-,2,,7,,5,,27,,334,,290,,691,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,3,,1,,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,1,,6,,5,,1,,,-,1,,,-,,-,2,,48,,20,,30,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,1,,,-,1,,,-,0,,,-,1,,,-,18,,17,,97,,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,,-,12,,11,,11,,,-,2,,,-,,-,4,,25,,20,,30,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,3,,2,,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
