NCESSCH,School Name,School Year,Number of Applications,lastUpdated,recordId
292676001607,SOUTH TECHNICAL,2018,*,06/29/2018 02:33:00 AM,2926760016072018
291029000333,CRANE HIGH,2018,25,06/29/2018 02:33:00 AM,2910290003332018
290498000063,BEVIER HIGH,2018,9,06/29/2018 02:33:00 AM,2904980000632018
292188001221,MACON CO. HIGH,2018,*,06/29/2018 02:33:00 AM,2921880012212018
292676002632,NORTHVIEW,2018,*,06/29/2018 02:33:00 AM,2926760026322018
292028001075,MARION CO. HIGH,2018,7,06/29/2018 02:33:00 AM,2920280010752018
292376001431,NORTH PEMISCOT SR. HIGH,2018,8,06/29/2018 02:33:00 AM,2923760014312018
291254000516,FREDERICKTOWN HIGH,2018,58,06/29/2018 02:33:00 AM,2912540005162018
292358001393,NORTH HIGH,2018,128,06/29/2018 02:33:00 AM,2923580013932018
292064001108,MEADVILLE HIGH,2018,9,06/29/2018 02:33:00 AM,2920640011082018
292685001621,EUREKA SR. HIGH,2018,285,06/29/2018 02:33:00 AM,2926850016212018
292151001182,MOUNTAIN GROVE HIGH,2018,44,06/29/2018 02:33:00 AM,2921510011822018
293183002226,FATIMA HIGH,2018,75,06/29/2018 02:33:00 AM,2931830022262018
00755663,JOHN BURROUGHS SCHOOL,2018,36,06/29/2018 02:33:00 AM,007556632018
291640000844,LINCOLN COLLEGE PREP.,2018,112,06/29/2018 02:33:00 AM,2916400008442018
292286001299,NORTHEAST HIGH,2018,16,06/29/2018 02:33:00 AM,2922860012992018
292571001510,MARK TWAIN SR. HIGH,2018,27,06/29/2018 02:33:00 AM,2925710015102018
292648001554,RICHMOND HIGH,2018,50,06/29/2018 02:33:00 AM,2926480015542018
291201000471,MCCLUER NORTH HIGH,2018,241,06/29/2018 02:33:00 AM,2912010004712018
292709001678,SALEM SR. HIGH,2018,70,06/29/2018 02:33:00 AM,2927090016782018
291323000561,GREEN CITY HIGH,2018,15,06/29/2018 02:33:00 AM,2913230005612018
X0756088,BLUE RIDGE CHRISTIAN SCHOOL,2018,11,06/29/2018 02:33:00 AM,X07560882018
291365000595,HANNIBAL SR. HIGH,2018,102,06/29/2018 02:33:00 AM,2913650005952018
291383002696,HAZELWOOD EAST HIGH,2018,143,06/29/2018 02:33:00 AM,2913830026962018
292283001297,NORTH PLATTE HIGH,2019,18,02/15/2019 02:16:00 AM,2922830012972019
291201000472,MCCLUER HIGH,2018,101,06/29/2018 02:33:00 AM,2912010004722018
291140000407,ELSBERRY HIGH,2018,26,06/29/2018 02:33:00 AM,2911400004072018
291449000680,HOLDEN HIGH,2018,52,06/29/2018 02:33:00 AM,2914490006802018
291914001033,LOCKWOOD HIGH,2018,12,06/29/2018 02:33:00 AM,2919140010332018
291092000373,DONIPHAN HIGH,2018,42,06/29/2018 02:33:00 AM,2910920003732018
292689001636,ROLLA SR. HIGH,2018,156,06/29/2018 02:33:00 AM,2926890016362018
290453000047,BELL CITY HIGH,2018,10,06/29/2018 02:33:00 AM,2904530000472018
290327000028,ASH GROVE HIGH,2018,22,06/29/2018 02:33:00 AM,2903270000282018
00751319,CHRISTIAN BROTHERS COLLEGE HIGH SCHOOL,2018,131,06/29/2018 02:33:00 AM,007513192018
291530000697,HUMANSVILLE HIGH,2018,13,06/29/2018 02:33:00 AM,2915300006972018
290867000254,CHARLESTON HIGH,2018,20,06/29/2018 02:33:00 AM,2908670002542018
292094001144,MILAN HIGH,2018,31,06/29/2018 02:33:00 AM,2920940011442018
