the_geom,OBJECTID,REGULATING_PLAN_SUBDISTRICT_ID,PLAN_NAME,PLAN_TYPE,SUBDISTRICT_MAP,MAX_FAR_BY_RIGHT,MAX_FAR_WITH_BONUS,MINIMUM_HEIGHT,MAX_HEIGHT_WITH_BONUS,MINIMUM_DENSIT,MAXIMUM_DENSITY,MAX_DENSITY_WITH_BONUS,MAXIMUM_IMPERVIOUS_COVER,MINIMUM_LOT_SIZE_SQFT,MINIMUM_LOT_WIDTH_FT,MIN_SETBACK_INTERIOR_SIDE_YRD,MAX_SETBACK_REAR_YRD,MAX_BLDG_COVERAGE_PCT,HYPERLINK_URL,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,HUB,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.725120319441 30.239778593008, -97.725521622202 30.239430318289, -97.725943226316 30.239064386211, -97.726016281578 30.239232929376, -97.726095541367 30.239399315857, -97.726180912815 30.239563406596, -97.726272337044 30.239725035252, -97.726023437255 30.24010243173, -97.725829891009 30.240395887093, -97.725120319441 30.239778593008)))",302,1035,ERC,Regulating Plan,ERCNMU,1:1,,50,65',,,,80%,"1,600 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:26:25 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,87043.734375,1227.71868413147
"MULTIPOLYGON (((-97.744948613698 30.398561352987, -97.745116314384 30.398230952558, -97.745551024991 30.398402184924, -97.745551023515 30.398402239938, -97.745550615465 30.398407979656, -97.745549844883 30.398418965524, -97.745549042049 30.398429950742, -97.745548208729 30.398440908275, -97.745547374683 30.398451892863, -97.745546476883 30.398462848193, -97.745545579373 30.398473831502, -97.745544651378 30.398484787125, -97.745543690404 30.398495769153, -97.745530324232 30.398646219433, -97.745517855786 30.39878684051, -97.745129475827 30.398632990644, -97.745033911626 30.39859514314, -97.744948613698 30.398561352987)))",898,572,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,22879.33984375,619.409392017736
"MULTIPOLYGON (((-97.69538773548 30.217419435672, -97.698021068807 30.216568838908, -97.697296023942 30.217231109812, -97.697110871433 30.217403404135, -97.696074923401 30.218349595531, -97.69538773548 30.217419435672)))",1120,993,ERC,Regulating Plan,ERCCOMU,2:1,,60',120',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:00:49 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,174318.703125,2182.27643238778
"MULTIPOLYGON (((-97.720698745922 30.378202980094, -97.720797317439 30.378024562638, -97.721045863988 30.377574603219, -97.721045963112 30.377574440108, -97.721102444399 30.377470746184, -97.721103039196 30.377471033514, -97.72352777394 30.378633188074, -97.723450847641 30.378751594068, -97.723449623003 30.378753466794, -97.723211538912 30.379116071408, -97.723166838548 30.379184182646, -97.723083858205 30.379310592723, -97.723083670099 30.379310505879, -97.722665032851 30.379116089832, -97.721125897205 30.378401344307, -97.721034264693 30.378358773254, -97.720768700468 30.378235456541, -97.720698871331 30.378203037692, -97.720698745922 30.378202980094)))",1300,707,NBG,Regulating Plan,NBGCI,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,5 ft,5 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,249571.763671875,2305.54977499877
"MULTIPOLYGON (((-97.697181442455 30.222094410081, -97.697541946092 30.221656932394, -97.697543103974 30.221657451612, -97.697880446928 30.221807522417, -97.69788097989 30.221807753557, -97.697806404043 30.221896815428, -97.697691195805 30.222035758376, -97.697523039101 30.222243001992, -97.697181442455 30.222094410081)))",1129,1002,ERC,Regulating Plan,ERCNMU,1:1,,50,Not Bonus Eligible,,,,80%,"1,600 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:10:35 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,23172.484375,631.155880893839
"MULTIPOLYGON (((-97.729891463007 30.264128894519, -97.730052084687 30.26378286364, -97.730191023363 30.263829692026, -97.730030402103 30.26417572308, -97.729891463007 30.264128894519)))",675,230,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6383.740234375,365.467535112817
"MULTIPOLYGON (((-97.727694953834 30.261839958599, -97.727711602825 30.261810043401, -97.727783075297 30.261654121813, -97.727871512034 30.261461250397, -97.728011237958 30.261508097238, -97.72787309995 30.261813327633, -97.727837773669 30.261889618885, -97.727694953834 30.261839958599)))",583,297,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,7091.009765625,393.64633084028
"MULTIPOLYGON (((-97.718676721044 30.335002872839, -97.718694103203 30.33497572368, -97.718708167396 30.334954006681, -97.718980789358 30.335084983176, -97.71922586799 30.335202744794, -97.719225403928 30.335203477966, -97.71916479745 30.335301118173, -97.719085492836 30.335428823299, -97.719012618524 30.335546180506, -97.719012054617 30.335547104744, -97.718979001759 30.335531220815, -97.71896692017 30.335525418711, -97.718941997766 30.335504364955, -97.718937564772 30.335500617345, -97.718918870032 30.335477930081, -97.71890443492 30.335457173169, -97.71889830371 30.335445881577, -97.718890964884 30.335433548414, -97.718854250069 30.335359749179, -97.718676721044 30.335002872839)))",883,522,LJ,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,17000.748046875,577.643300830081
"MULTIPOLYGON (((-97.728569595505 30.379361235277, -97.728581309797 30.379343292606, -97.72860741684 30.379303337913, -97.728608674385 30.379301437834, -97.728582470885 30.379288556212, -97.728582438639 30.379288555558, -97.728694167851 30.379115735967, -97.729455838755 30.377937568063, -97.729535055507 30.377815052518, -97.729535354189 30.377814590261, -97.729508818518 30.377589622073, -97.729468078186 30.377538325812, -97.729455836795 30.377522923274, -97.729422796146 30.377481326536, -97.729409880879 30.377465057595, -97.729410363656 30.377464792179, -97.729420235147 30.377458694166, -97.729430496976 30.377452246746, -97.72944066608 30.377445687357, -97.729450773974 30.377439043708, -97.729455846389 30.377435654582, -97.729460822404 30.377432289667, -97.729470744379 30.377425478015, -97.729480638144 30.3774185548, -97.729490407199 30.377411547842, -97.729500115069 30.377404455723, -97.729509698231 30.377397279861, -97.729519220182 30.377390019739, -97.729528680922 30.377382675358, -97.729538018019 30.377375246352, -97.729547261351 30.377367705356, -97.729556443757 30.37736010808, -97.72956550148 30.377352426158, -97.729574497992 30.377344659977, -97.729583402064 30.377336809806, -97.729592179682 30.377328902024, -97.72960089786 30.377320882948, -97.729609490624 30.377312806283, -97.729617989932 30.377304644704, -97.729626396801 30.377296399134, -97.729634709435 30.37728809751, -97.729642929679 30.377279710092, -97.729651024484 30.377271265987, -97.729659027604 30.377262709933, -97.729666935784 30.377254123979, -97.72967471928 30.377245453381, -97.729682410337 30.377236698791, -97.729690008248 30.377227886365, -97.729693874056 30.37722331683, -97.729697510884 30.377219017864, -97.729699741335 30.377216312776, -97.729704890942 30.377210063859, -97.729712144544 30.377201052243, -97.729719303937 30.377191983671, -97.72972637089 30.377182831109, -97.72973331347 30.377173620978, -97.729740129619 30.377164352336, -97.729746852574 30.377155027661, -97.729753450114 30.377145645396, -97.729759955216 30.377136179142, -97.729766333132 30.377126682333, -97.72977261892 30.37711712861, -97.729778746008 30.377107516623, -97.729784781721 30.377097819765, -97.72979072247 30.377088093909, -97.729796504805 30.377078337766, -97.729802194726 30.377068496732, -97.729807759208 30.377058599011, -97.729813229815 30.377048670508, -97.729818541983 30.377038712622, -97.729823761762 30.377028668942, -97.729828855347 30.377018596533, -97.729833823543 30.377008465633, -97.729839844411 30.37699577177, -97.729842203628 30.376990648291, -97.729844562064 30.376985553671, -97.729844844849 30.376985641524, -97.729866527255 30.376993232704, -97.730009195536 30.377043104487, -97.730290449758 30.377039020769, -97.730564088881 30.377035057139, -97.730707380486 30.377111206354, -97.730768673325 30.377143803841, -97.730809266474 30.377165365201, -97.730822576664 30.377172869374, -97.730822245325 30.377173385112, -97.729611456966 30.37905979582, -97.72959767796 30.379053189772, -97.729597545118 30.379053407249, -97.729557512135 30.379115688727, -97.729455857731 30.379273750789, -97.729231254634 30.379623081091, -97.729224031632 30.379632107293, -97.729214880851 30.37963971918, -97.729204190207 30.379645580379, -97.729192348049 30.379649492588, -97.729179864338 30.379651301932, -97.729167186201 30.3796509074, -97.729144588224 30.379644287401, -97.728569595505 30.379361235277)))",580,704,NBG,Regulating Plan,NBGWMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,263408.701171875,2605.55879835218
"MULTIPOLYGON (((-97.721529959448 30.333774898073, -97.721747055789 30.333879213765, -97.721843710614 30.333925655584, -97.72173412273 30.334110998386, -97.721733957252 30.334111270232, -97.721455441585 30.333978942438, -97.721452980438 30.333977324923, -97.721445565832 30.33397247084, -97.721437930884 30.33396403626, -97.72143501356 30.333958173826, -97.721433028879 30.333954172987, -97.721432973662 30.333953868673, -97.721432455774 30.333950750434, -97.721431224597 30.333943547168, -97.721432623438 30.333932876511, -97.72143528595 30.333927017656, -97.721437142616 30.333922874894, -97.721529959448 30.333774898073)))",903,82,LJ,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,8631.2734375,373.898081867211
"MULTIPOLYGON (((-97.731930895277 30.262726385791, -97.732102886699 30.262369582052, -97.732176635534 30.262395832384, -97.732251967715 30.262422114817, -97.732327299937 30.262448397205, -97.732157684173 30.262805249464, -97.732081560063 30.262778950902, -97.73200622765 30.262752668369, -97.731930895277 30.262726385791)))",246,75,PS,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,10786.98046875,434.623519254976
"MULTIPOLYGON (((-97.730485397634 30.382659414948, -97.730765594834 30.382209721257, -97.730964218427 30.381890940808, -97.730979959537 30.381898905738, -97.731288995303 30.382049651393, -97.731439944751 30.382123287626, -97.731938599634 30.3823665486, -97.731598530521 30.382886209579, -97.731442648989 30.38312348521, -97.731440961005 30.383126063274, -97.731422582673 30.383117082109, -97.730923166408 30.382872510664, -97.73048934337 30.382661337603, -97.730485397634 30.382659414948)))",1004,791,NBG,Regulating Plan,NBGWMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,110886.46484375,1333.73748157622
"MULTIPOLYGON (((-97.69343839532 30.21996122346, -97.693642249159 30.219769021333, -97.693791272883 30.219887745853, -97.693598135997 30.220059787792, -97.69343839532 30.21996122346)))",1123,996,ERC,Regulating Plan,ERCCOMU,2:1,,60',160',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:01:06 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,5706.984375,308.187666420236
"MULTIPOLYGON (((-97.704610729477 30.226131497406, -97.704846493884 30.2257544499, -97.705264189733 30.225950787973, -97.70502902502 30.226326804523, -97.704887012075 30.226555937397, -97.704469676518 30.226359082157, -97.704610729477 30.226131497406)))",656,942,ERC,Regulating Plan,ERCCOMU,2:1,,60',120',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 09:18:54 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,37521.42578125,800.295824420875
"MULTIPOLYGON (((-97.726083818988 30.263378266259, -97.726225500817 30.263047724058, -97.726440877738 30.263120809983, -97.72639040261 30.263230044938, -97.72628945352 30.263448458876, -97.726289421313 30.26344845822, -97.726083818988 30.263378266259)))",1276,542,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,9159.9921875,399.426745081827
"MULTIPOLYGON (((-97.743226202523 30.388034304856, -97.74341229544 30.38839588292, -97.743416606701 30.388404248986, -97.743416575492 30.388404248356, -97.743416254527 30.388404379033, -97.743387686743 30.388415573423, -97.743373227633 30.388421222572, -97.743329848236 30.388438169067, -97.743082139738 30.388535041125, -97.742881883746 30.388613316123, -97.742838536425 30.388630263103, -97.742835489813 30.388631466675, -97.742644317795 30.388261809327, -97.742648485153 30.388260188046, -97.742691832341 30.388243241131, -97.743139476259 30.388068198383, -97.743182823274 30.388051251301, -97.74319728338 30.388045602194, -97.743226202523 30.388034304856)))",733,592,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,29632.83984375,696.922251460114
"MULTIPOLYGON (((-97.7259955911 30.242444598752, -97.72600173925 30.242434982198, -97.726026327611 30.242396518602, -97.726197990869 30.242479245449, -97.726192349453 30.242488070142, -97.726167256518 30.24252732478, -97.7259955911 30.242444598752)))",212,1264,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:34:56 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,1239.873046875,163.991786044044
"MULTIPOLYGON (((-97.744482550262 30.397121296136, -97.744865868486 30.39667398289, -97.745613167083 30.396725252221, -97.745723851223 30.396732847201, -97.745723810113 30.39673317663, -97.7456478308 30.3974185186, -97.74558130814 30.397401555494, -97.745581276928 30.397401554865, -97.745581119542 30.397401523718, -97.745254717801 30.397318260473, -97.745212366125 30.397307449672, -97.744727112954 30.397183685735, -97.744698123011 30.397176279096, -97.744483085492 30.397121444093, -97.744482550262 30.397121296136)))",681,575,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,70398.4609375,1107.46497263522
"MULTIPOLYGON (((-97.719167826702 30.383893499097, -97.719341552952 30.383435664266, -97.720015014413 30.383760809251, -97.719752737857 30.384164144518, -97.719752424328 30.38416400007, -97.719167826702 30.383893499097)))",1167,619,NBG,Regulating Plan,NBGWMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,38514.62890625,795.788226362075
"MULTIPOLYGON (((-97.707524682498 30.399918867611, -97.708421100637 30.398547854951, -97.708619940862 30.398642300717, -97.708619973114 30.398642301377, -97.709160681826 30.398905983502, -97.709160284879 30.398906607933, -97.70915213917 30.398919121204, -97.708620102598 30.399736542323, -97.70860297923 30.39976298111, -97.708602913532 30.39976306188, -97.708437115513 30.400018838693, -97.708431048245 30.400027267979, -97.708427849819 30.400031685439, -97.708424290118 30.400036563829, -97.708417563506 30.400045887393, -97.708410836893 30.400055210957, -97.708404110278 30.400064534521, -97.708397384702 30.400073858106, -97.70839365909 30.400078980346, -97.708390130902 30.40008388645, -97.708385800971 30.400089105511, -97.708383275339 30.400092134476, -97.708375861075 30.400101059568, -97.708368447875 30.400109983778, -97.708361033634 30.400118907967, -97.708353620407 30.400127833078, -97.708353323814 30.400128212315, -97.708346206162 30.400136757266, -97.708338464391 30.400146088031, -97.708330380754 30.40015398157, -97.708324936959 30.400159315901, -97.708322002044 30.400162198431, -97.708313560148 30.400170441972, -97.708305150224 30.400178658194, -97.708296739537 30.400186902372, -97.708288298374 30.400195118856, -97.708280605261 30.400202662148, -97.708271012779 30.400211184434, -97.708262167866 30.400219089465, -97.708253354596 30.400226941001, -97.708244477428 30.400234845371, -97.708235634009 30.400242695387, -97.70823010571 30.400247615609, -97.708226788786 30.400250573338, -97.708217196598 30.400259122697, -97.708208199165 30.400265594373, -97.708202116443 30.400269925745, -97.708198426223 30.400272600618, -97.708188622829 30.400279578265, -97.708178849123 30.400286612465, -97.708169076201 30.400293617805, -97.708159303253 30.400300624047, -97.708150047462 30.400307255563, -97.708139265357 30.400314048954, -97.708129031187 30.400320522391, -97.708118764739 30.400326996069, -97.708108500092 30.400333441811, -97.708098233641 30.400339915487, -97.708087967189 30.400346389163, -97.708078217462 30.400352542247, -97.708066886639 30.400358498751, -97.708056039782 30.400364190841, -97.708045191908 30.400369882006, -97.708034312059 30.40037560049, -97.708023464182 30.400381291654, -97.708012616304 30.400386982817, -97.708002573167 30.400392250999, -97.707990468266 30.400397504064, -97.707979134685 30.400402414676, -97.707967768825 30.400407325529, -97.707956434176 30.400412237019, -97.707945068313 30.40041714787, -97.707933734727 30.400422058478, -97.707922368863 30.400426969327, -97.707905190532 30.400434428597, -97.707893385701 30.400440321246, -97.707881330203 30.400443759776, -97.707868762665 30.400445014959, -97.707868446384 30.400445008487, -97.707861415745 30.400444507291, -97.707861384533 30.400444506652, -97.707844058382 30.400441071478, -97.707843963706 30.400441069541, -97.707832744135 30.400435944689, -97.7078229369 30.4004290332, -97.707810329062 30.400413152755, -97.70780330098 30.400399752459, -97.707792620494 30.400376017659, -97.70776724513 30.400322141312, -97.707740586293 30.400268761158, -97.707712614574 30.400215848621, -97.707683358901 30.400163488212, -97.707652851275 30.400111651709, -97.707621090478 30.400060422102, -97.707588075928 30.400009744336, -97.707553870913 30.399959702721, -97.707524682498 30.399918867611)))",1149,862,NBG,Regulating Plan,NBGNR,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,168290.111328125,1771.03325504969
"MULTIPOLYGON (((-97.72356785373 30.262966114831, -97.723718254339 30.262647386771, -97.723867146292 30.262699733325, -97.72401331594 30.262749658315, -97.724192179926 30.262813808461, -97.724044947253 30.263132601569, -97.723863708842 30.263068402868, -97.723713956796 30.263017358932, -97.72356785373 30.262966114831)))",1051,38,PS,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,20258.033203125,573.921195074399
"MULTIPOLYGON (((-97.727306633959 30.234197233293, -97.727349797269 30.234130728176, -97.727841159146 30.23436556436, -97.727856301291 30.234372528048, -97.727873142259 30.234375263627, -97.727890134222 30.23437351944, -97.727911319656 30.234370182193, -97.727839481117 30.234481302513, -97.72783015604 30.234495726256, -97.727716414567 30.234671658469, -97.726917450638 30.235905793221, -97.726276627898 30.236894411583, -97.726164809564 30.236716278139, -97.72588633527 30.236450347976, -97.725886361005 30.236449741223, -97.726005647215 30.236255321575, -97.727306633959 30.234197233293)))",310,1045,ERC,Regulating Plan,ERCNMU,1:1,,50,65',,,,80%,"1,600 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:26:25 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,191928.54296875,2419.82915813795
"MULTIPOLYGON (((-97.708506018747 30.281938478482, -97.708618286092 30.281921361209, -97.708665128039 30.28191423375, -97.708644725146 30.283006041405, -97.708637211033 30.283407110599, -97.708631684352 30.283730384799, -97.708629180519 30.283877258472, -97.708639359626 30.284493548363, -97.708662439494 30.284664543345, -97.708683517643 30.284821746432, -97.708826667447 30.285355498413, -97.708867988719 30.285443063977, -97.709026624795 30.285779161113, -97.708861203202 30.285804515182, -97.708848414571 30.285779500048, -97.708835625946 30.285754484912, -97.708822837328 30.285729469776, -97.708810840557 30.285704470854, -97.708798950749 30.285676723762, -97.708786921776 30.285651724179, -97.708786174787 30.285650058485, -97.708775716864 30.285626741471, -97.708774085115 30.285622664628, -97.7087645867 30.285599009933, -97.708753381824 30.285574026321, -97.70874403032 30.285553152063, -97.708742176929 30.28554904361, -97.708735648097 30.285532765975, -97.708731046784 30.285521312069, -97.708723847606 30.285504029926, -97.708720633739 30.285496345573, -97.708720101349 30.28549493242, -97.708710295445 30.285468630248, -97.708705589293 30.285456405393, -97.70870067425 30.285443679967, -97.708690335966 30.28541596464, -97.708680714781 30.285391014358, -97.708673693906 30.285370655244, -97.708671168347 30.285363315247, -97.708667764538 30.285354471996, -97.708661547172 30.285338364964, -97.708654835247 30.285317159456, -97.708652792585 30.285310682068, -97.708651115385 30.285305944676, -97.708643963257 30.285285748001, -97.70863520868 30.285258065105, -97.708626454109 30.285230382208, -97.708618416631 30.285205464357, -97.708610453904 30.285177797676, -97.708602491182 30.285150130995, -97.708595245577 30.285125228458, -97.708587282864 30.285097561777, -97.70858011199 30.285069911312, -97.708573732956 30.285042277065, -97.708567732022 30.285021691591, -97.708566487342 30.285017375429, -97.708560108314 30.284989741181, -97.70855372929 30.284962106933, -97.70854735027 30.284934472685, -97.708536101159 30.284881985453, -97.708530513982 30.284854367422, -97.708524926809 30.284826749391, -97.708520131471 30.284799147579, -97.708510540804 30.284743943952, -97.708507656634 30.284724136972, -97.708506537307 30.284716358357, -97.708498498131 30.284661185605, -97.708494526854 30.284633600669, -97.708491315197 30.284606031292, -97.708488325178 30.28458545244, -97.708487311711 30.284578445697, -97.70848607557 30.284564448407, -97.708484891889 30.284550892538, -97.708481680237 30.284523323161, -97.708474420784 30.284440663685, -97.708472000968 30.284413110526, -97.708468745001 30.284358036645, -97.708467908847 30.284330515923, -97.708467110443 30.284316747772, -97.708466280865 30.284302978983, -97.708465444713 30.284275458261, -97.708464608561 30.28424793754, -97.708464574787 30.284228188942, -97.708464564237 30.284220433037, -97.708464347549 30.28421322244, -97.70846372811 30.284192911413, -97.708479638589 30.283403883234, -97.708496598652 30.282460855578, -97.708506018747 30.281938478482)))",928,444,MLK,Regulating Plan,TROW,,,,,,,,,,,,,,ftp://ftp.ci.austin.tx.us/npzd/Austingo/mlk_regplan_revised.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,72208.978515625,2951.90057272745
