Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2020†","Malaria, Cum 2020†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2020†","Measles§, Imported, Cum 2020†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Indigenous, Current week","Measles§, Indigenous, Current week, flag","Measles§, Indigenous, Previous 52 weeks Max†","Measles§, Indigenous, Previous 52 weeks Max†, flag","Measles§, Indigenous, Cum 2020†","Measles§, Indigenous, Cum 2020†, flag","Measles§, Indigenous, Cum 2019†","Measles§, Indigenous, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NORTH DAKOTA,2020,3,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,3,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,3,3,,21,,10,,14,,,-,1,,,-,,-,,-,8,,,-,2,,,SOUTH ATLANTIC,20200328,
DELAWARE,2020,3,,-,3,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,3,,-,3,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
FLORIDA,2020,3,,-,5,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,,-,2,,GEORGIA,,20200332,POINT (-83.426574 32.638481)
MARYLAND,2020,3,2,,13,,7,,6,,,-,0,,,-,,-,,-,4,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,3,,-,7,,1,,3,,,-,,-,,-,,-,,-,,-,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
VIRGINIA,2020,3,1,,6,,2,,3,,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,3,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,3,,-,3,,1,,2,,,-,1,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200338,
ALABAMA,2020,3,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KENTUCKY,2020,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,3,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
TENNESSEE,2020,3,,-,2,,1,,1,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,3,,-,9,,,-,1,,,-,1,,,-,,-,,-,5,,,-,,-,,WEST SOUTH CENTRAL,20200343,
ARKANSAS,2020,3,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
LOUISIANA,2020,3,,-,2,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
OKLAHOMA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
TEXAS,2020,3,,-,9,,,-,,-,,-,1,,,-,,-,,-,5,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
MOUNTAIN,2020,3,1,,6,,2,,6,,,-,2,,,-,1,,,-,1,,,-,,-,,MOUNTAIN,20200348,
ARIZONA,2020,3,1,,5,,2,,2,,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
COLORADO,2020,3,,-,4,,,-,2,,,-,1,,,-,1,,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
