Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW HAMPSHIRE,2020,1,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,14,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,25,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,8,,43,,8,,22,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,6,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,-,20,,,-,8,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,1,,17,,1,,7,,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2020,1,16,,81,,16,,34,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200109,
TENNESSEE,2020,1,4,,14,,4,,2,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
TEXAS,2020,1,,-,86,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,12,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,1,,16,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,5,,28,,5,,8,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,-,12,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,5,,134,,5,,36,,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200148,
NEW YORK,2020,1,,-,32,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,,-,42,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,95,,,-,10,,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,-,17,,,-,6,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,11,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,1,,25,,1,,19,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,-,23,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,-,17,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,21,,,-,6,,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
