Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
GEORGIA,2020,11,,-,2,,1,,6,,1,,48,,211,,443,,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,,-,0,,,-,,-,1,,53,,278,,406,,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,2,,3,,6,,,-,14,,58,,79,,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,0,,,-,1,,,-,24,,103,,96,,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,0,,,-,1,,,-,3,,,-,5,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,0,,,-,,-,,-,2,,1,,4,,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,1,,1,,2,,1,,22,,116,,196,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
CALIFORNIA,2020,11,,-,14,,63,,102,,5,,183,,1146,,1757,,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,1,,,-,1,,,-,4,,2,,15,,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,,-,7,,15,,23,,6,,86,,518,,609,,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,1,,,-,,-,1,,5,,10,,12,,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,,-,6,,4,,5,,1,,43,,229,,362,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,0,,,-,,-,,-,23,,38,,128,,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,,-,6,,14,,33,,4,,94,,388,,786,,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,0,,,-,,-,,-,13,,71,,64,,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,1,,,-,5,,,-,14,,2,,89,,,US TERRITORIES,20201163,
TOTAL,2020,12,,-,41,,154,,324,,57,,776,,4987,,8471,,,TOTAL,20201270,
NEW HAMPSHIRE,2020,12,,-,1,,,-,,-,1,,3,,8,,11,,NEW HAMPSHIRE,,20201206,POINT (-71.57139 43.680429)
NEW YORK,2020,12,,-,2,,2,,9,,2,,100,,115,,145,,NEW YORK,,20201211,POINT (-75.59655 42.921241)
PACIFIC,2020,12,,-,16,,69,,115,,14,,215,,1525,,2248,,,PACIFIC,20201257,
WEST SOUTH CENTRAL,2020,12,,-,12,,31,,82,,,-,94,,396,,812,,,WEST SOUTH CENTRAL,20201243,
NEBRASKA,2020,12,,-,0,,,-,,-,,-,8,,11,,25,,NEBRASKA,,20201225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,12,,-,3,,,-,8,,,-,63,,209,,470,,,EAST SOUTH CENTRAL,20201238,
NORTH DAKOTA,2020,12,,-,0,,,-,,-,,-,3,,6,,5,,NORTH DAKOTA,,20201226,POINT (-100.46931 47.446305)
NEVADA,2020,12,,-,3,,4,,4,,,-,43,,77,,305,,NEVADA,,20201253,POINT (-114.916992 39.283294)
ILLINOIS,2020,12,,-,3,,3,,3,,,-,38,,57,,318,,ILLINOIS,,20201215,POINT (-89.148632 40.124144)
IOWA,2020,12,,-,1,,,-,,-,,-,6,,20,,11,,IOWA,,20201221,POINT (-93.500061 42.074659)
TEXAS,2020,12,,-,11,,26,,65,,,-,56,,286,,428,,TEXAS,,20201247,POINT (-99.317341 31.447238)
ALASKA,2020,12,,-,0,,,-,,-,,-,7,,3,,14,,ALASKA,,20201258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,12,,-,1,,,-,1,,2,,11,,39,,75,,DISTRICT OF COLUMBIA,,20201230,POINT (-77.016275 38.904785)
WASHINGTON,2020,12,,-,3,,,-,2,,4,,26,,94,,204,,WASHINGTON,,20201262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,12,,-,1,,,-,,-,1,,32,,89,,218,,,NEW ENGLAND,20201202,
RHODE ISLAND,2020,12,,-,0,,,-,,-,,-,13,,5,,16,,RHODE ISLAND,,20201207,POINT (-71.534637 41.572574)
OREGON,2020,12,,-,2,,1,,2,,6,,19,,139,,99,,OREGON,,20201261,POINT (-120.605279 43.940449)
DELAWARE,2020,12,,-,1,,,-,1,,,-,6,,8,,27,,DELAWARE,,20201229,POINT (-75.452394 38.994926)
ALABAMA,2020,12,,-,2,,,-,2,,,-,28,,43,,129,,ALABAMA,,20201239,POINT (-86.844516 32.756889)
KANSAS,2020,12,,-,2,,1,,,-,,-,11,,,-,41,,KANSAS,,20201222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,12,,-,3,,,-,4,,,-,38,,187,,259,,NORTH CAROLINA,,20201234,POINT (-79.130883 35.52603)
GUAM,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201266,POINT (144.653198 13.3532)
NEW JERSEY,2020,12,,-,3,,4,,,-,,-,19,,64,,146,,NEW JERSEY,,20201210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,12,,-,3,,1,,2,,,-,20,,78,,108,,NEW MEXICO,,20201254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,12,,-,3,,4,,12,,4,,85,,371,,747,,,EAST NORTH CENTRAL,20201214,
TENNESSEE,2020,12,,-,3,,,-,,-,,-,20,,51,,151,,TENNESSEE,,20201242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,12,,-,1,,,-,,-,,-,8,,31,,30,,CONNECTICUT,,20201203,POINT (-72.738288 41.575155)
MARYLAND,2020,12,,-,2,,,-,5,,1,,24,,100,,227,,MARYLAND,,20201233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,12,,-,0,,,-,,-,,-,27,,,-,110,,SOUTH CAROLINA,,20201235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,12,,-,4,,1,,2,,,-,16,,1,,141,,OKLAHOMA,,20201246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201265,POINT (145.725693 15.1834)
OHIO,2020,12,,-,3,,1,,3,,,-,28,,93,,156,,OHIO,,20201218,POINT (-82.70936 40.415534)
MINNESOTA,2020,12,,-,4,,2,,2,,,-,15,,97,,94,,MINNESOTA,,20201223,POINT (-94.198308 46.349153)
LOUISIANA,2020,12,,-,2,,,-,9,,,-,20,,38,,157,,LOUISIANA,,20201245,POINT (-91.840238 30.921314)
HAWAII,2020,12,,-,0,,,-,,-,,-,5,,,-,16,,HAWAII,,20201260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,12,,-,10,,23,,47,,20,,200,,1335,,2068,,,SOUTH ATLANTIC,20201228,
PENNSYLVANIA,2020,12,,-,1,,1,,4,,5,,28,,166,,227,,PENNSYLVANIA,,20201213,POINT (-77.838886 40.896694)
UTAH,2020,12,,-,1,,,-,1,,,-,5,,8,,23,,UTAH,,20201255,POINT (-111.678222 39.323779)
COLORADO,2020,12,,-,1,,2,,1,,,-,19,,98,,124,,COLORADO,,20201250,POINT (-105.547832 38.998552)
VERMONT,2020,12,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20201208,POINT (-72.662695 44.075252)
KENTUCKY,2020,12,,-,2,,,-,5,,,-,15,,,-,87,,KENTUCKY,,20201240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,12,,-,1,,1,,5,,,-,14,,2,,92,,PUERTO RICO,,20201267,POINT (-66.414655 18.215692)
MAINE,2020,12,,-,0,,,-,,-,,-,3,,6,,23,,MAINE,,20201204,POINT (-69.06137 45.117911)
VIRGINIA,2020,12,,-,3,,2,,3,,8,,30,,168,,190,,VIRGINIA,,20201236,POINT (-78.666382 37.510861)
ARIZONA,2020,12,,-,6,,7,,29,,1,,36,,144,,282,,ARIZONA,,20201249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201264,
WISCONSIN,2020,12,,-,0,,,-,,-,,-,10,,46,,35,,WISCONSIN,,20201219,POINT (-89.732969 44.639954)
IDAHO,2020,12,,-,1,,1,,,-,,-,5,,12,,9,,IDAHO,,20201251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201268,POINT (-64.840836 18.060868)
MICHIGAN,2020,12,,-,2,,,-,6,,,-,24,,83,,167,,MICHIGAN,,20201217,POINT (-85.730977 44.874798)
GEORGIA,2020,12,,-,2,,2,,6,,3,,48,,236,,481,,GEORGIA,,20201232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,12,,-,0,,,-,,-,7,,12,,26,,35,,,NEW YORK CITY,20201212,
ARKANSAS,2020,12,,-,2,,4,,6,,,-,14,,71,,86,,ARKANSAS,,20201244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,12,,-,0,,,-,1,,,-,24,,115,,103,,MISSISSIPPI,,20201241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,12,,-,0,,,-,1,,,-,3,,,-,8,,SOUTH DAKOTA,,20201227,POINT (-100.230491 44.43614)
WYOMING,2020,12,,-,0,,,-,,-,,-,2,,1,,4,,WYOMING,,20201256,POINT (-107.55145 42.999627)
MISSOURI,2020,12,,-,1,,1,,2,,3,,22,,127,,212,,MISSOURI,,20201224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,12,,-,4,,7,,13,,14,,115,,371,,553,,,MIDDLE ATLANTIC,20201209,
CALIFORNIA,2020,12,,-,14,,68,,111,,4,,183,,1289,,1915,,CALIFORNIA,,20201259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,12,,-,1,,,-,1,,,-,4,,5,,18,,WEST VIRGINIA,,20201237,POINT (-80.613729 38.642579)
FLORIDA,2020,12,,-,7,,19,,26,,6,,86,,592,,681,,FLORIDA,,20201231,POINT (-82.420978 28.260731)
MONTANA,2020,12,,-,1,,,-,,-,,-,5,,10,,12,,MONTANA,,20201252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,12,,-,6,,4,,5,,3,,43,,261,,396,,,WEST NORTH CENTRAL,20201220,
MASSACHUSETTS,2020,12,,-,0,,,-,,-,,-,23,,38,,138,,MASSACHUSETTS,,20201205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,12,,-,7,,15,,37,,1,,97,,428,,867,,,MOUNTAIN,20201248,
INDIANA,2020,12,,-,0,,,-,,-,4,,16,,92,,71,,INDIANA,,20201216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201269,
US TERRITORIES,2020,12,,-,1,,1,,5,,,-,14,,2,,92,,,US TERRITORIES,20201263,
TOTAL,2020,13,,-,42,,178,,345,,55,,794,,5672,,9423,,,TOTAL,20201370,
US RESIDENTS,2020,13,,-,42,,177,,340,,55,,789,,5666,,9327,,,US RESIDENTS,20201301,
NEW HAMPSHIRE,2020,13,,-,1,,,-,,-,1,,3,,10,,11,,NEW HAMPSHIRE,,20201306,POINT (-71.57139 43.680429)
NEW YORK,2020,13,,-,2,,2,,10,,4,,110,,120,,155,,NEW YORK,,20201311,POINT (-75.59655 42.921241)
PACIFIC,2020,13,,-,16,,82,,125,,4,,215,,1604,,2436,,,PACIFIC,20201357,
WEST SOUTH CENTRAL,2020,13,,-,12,,31,,87,,3,,94,,531,,896,,,WEST SOUTH CENTRAL,20201343,
NEBRASKA,2020,13,,-,0,,,-,,-,,-,8,,23,,27,,NEBRASKA,,20201325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,13,,-,3,,,-,8,,,-,63,,258,,506,,,EAST SOUTH CENTRAL,20201338,
NORTH DAKOTA,2020,13,,-,0,,,-,,-,,-,3,,6,,5,,NORTH DAKOTA,,20201326,POINT (-100.46931 47.446305)
NEVADA,2020,13,,-,3,,4,,4,,,-,25,,80,,183,,NEVADA,,20201353,POINT (-114.916992 39.283294)
ILLINOIS,2020,13,,-,3,,3,,4,,,-,40,,61,,341,,ILLINOIS,,20201315,POINT (-89.148632 40.124144)
IOWA,2020,13,,-,1,,,-,,-,,-,6,,26,,12,,IOWA,,20201321,POINT (-93.500061 42.074659)
TEXAS,2020,13,,-,11,,26,,69,,3,,57,,419,,486,,TEXAS,,20201347,POINT (-99.317341 31.447238)
ALASKA,2020,13,,-,0,,,-,,-,,-,7,,3,,16,,ALASKA,,20201358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,13,,-,1,,,-,1,,,-,11,,40,,82,,DISTRICT OF COLUMBIA,,20201330,POINT (-77.016275 38.904785)
WASHINGTON,2020,13,,-,3,,,-,3,,,-,26,,94,,220,,WASHINGTON,,20201362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,13,,-,1,,,-,,-,1,,36,,221,,243,,,NEW ENGLAND,20201302,
RHODE ISLAND,2020,13,,-,0,,,-,,-,,-,13,,5,,18,,RHODE ISLAND,,20201307,POINT (-71.534637 41.572574)
OREGON,2020,13,,-,2,,1,,2,,3,,19,,143,,106,,OREGON,,20201361,POINT (-120.605279 43.940449)
DELAWARE,2020,13,,-,1,,,-,1,,,-,6,,8,,30,,DELAWARE,,20201329,POINT (-75.452394 38.994926)
ALABAMA,2020,13,,-,2,,,-,2,,,-,28,,43,,138,,ALABAMA,,20201339,POINT (-86.844516 32.756889)
KANSAS,2020,13,,-,2,,1,,,-,,-,11,,,-,46,,KANSAS,,20201322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,13,,-,3,,,-,4,,,-,39,,222,,278,,NORTH CAROLINA,,20201334,POINT (-79.130883 35.52603)
GUAM,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201366,POINT (144.653198 13.3532)
NEW JERSEY,2020,13,,-,3,,4,,,-,,-,19,,64,,157,,NEW JERSEY,,20201310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,13,,-,3,,1,,2,,,-,20,,85,,113,,NEW MEXICO,,20201354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,13,,-,3,,6,,14,,2,,86,,435,,798,,,EAST NORTH CENTRAL,20201314,
TENNESSEE,2020,13,,-,3,,,-,,-,,-,20,,51,,161,,TENNESSEE,,20201342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,13,,-,1,,,-,,-,,-,8,,31,,32,,CONNECTICUT,,20201303,POINT (-72.738288 41.575155)
MARYLAND,2020,13,,-,2,,1,,5,,1,,27,,138,,245,,MARYLAND,,20201333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,13,,-,0,,,-,,-,,-,27,,,-,127,,SOUTH CAROLINA,,20201335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,13,,-,4,,1,,2,,,-,16,,3,,146,,OKLAHOMA,,20201346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201365,POINT (145.725693 15.1834)
OHIO,2020,13,,-,3,,3,,4,,,-,28,,142,,169,,OHIO,,20201318,POINT (-82.70936 40.415534)
MINNESOTA,2020,13,,-,4,,2,,2,,,-,15,,103,,102,,MINNESOTA,,20201323,POINT (-94.198308 46.349153)
LOUISIANA,2020,13,,-,2,,,-,10,,,-,20,,38,,173,,LOUISIANA,,20201345,POINT (-91.840238 30.921314)
HAWAII,2020,13,,-,0,,,-,,-,,-,5,,,-,18,,HAWAII,,20201360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,13,,-,11,,29,,49,,25,,200,,1454,,2232,,,SOUTH ATLANTIC,20201328,
PENNSYLVANIA,2020,13,,-,1,,1,,4,,10,,28,,197,,243,,PENNSYLVANIA,,20201313,POINT (-77.838886 40.896694)
UTAH,2020,13,,-,1,,,-,1,,,-,5,,8,,26,,UTAH,,20201355,POINT (-111.678222 39.323779)
COLORADO,2020,13,,-,1,,2,,1,,4,,19,,111,,132,,COLORADO,,20201350,POINT (-105.547832 38.998552)
VERMONT,2020,13,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20201308,POINT (-72.662695 44.075252)
KENTUCKY,2020,13,,-,2,,,-,5,,,-,18,,49,,93,,KENTUCKY,,20201340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,13,,-,1,,1,,5,,,-,15,,6,,96,,PUERTO RICO,,20201367,POINT (-66.414655 18.215692)
MAINE,2020,13,,-,0,,,-,,-,,-,3,,6,,23,,MAINE,,20201304,POINT (-69.06137 45.117911)
VIRGINIA,2020,13,,-,3,,4,,2,,23,,30,,191,,199,,VIRGINIA,,20201336,POINT (-78.666382 37.510861)
ARIZONA,2020,13,,-,6,,10,,30,,,-,37,,153,,300,,ARIZONA,,20201349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201364,
WISCONSIN,2020,13,,-,0,,,-,,-,,-,10,,46,,37,,WISCONSIN,,20201319,POINT (-89.732969 44.639954)
IDAHO,2020,13,,-,1,,1,,,-,,-,5,,12,,9,,IDAHO,,20201351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201368,POINT (-64.840836 18.060868)
MICHIGAN,2020,13,,-,2,,,-,6,,,-,24,,83,,177,,MICHIGAN,,20201317,POINT (-85.730977 44.874798)
GEORGIA,2020,13,,-,2,,3,,6,,1,,48,,258,,510,,GEORGIA,,20201332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,13,,-,0,,,-,,-,,-,45,,27,,456,,,NEW YORK CITY,20201312,
ARKANSAS,2020,13,,-,2,,4,,6,,,-,14,,71,,91,,ARKANSAS,,20201344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,13,,-,0,,,-,1,,,-,24,,115,,114,,MISSISSIPPI,,20201341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,13,,-,0,,,-,1,,,-,3,,,-,10,,SOUTH DAKOTA,,20201327,POINT (-100.230491 44.43614)
WYOMING,2020,13,,-,0,,,-,,-,,-,2,,1,,4,,WYOMING,,20201356,POINT (-107.55145 42.999627)
MISSOURI,2020,13,,-,1,,1,,2,,1,,22,,136,,223,,MISSOURI,,20201324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,13,,-,4,,7,,14,,14,,125,,408,,1011,,,MIDDLE ATLANTIC,20201309,
CALIFORNIA,2020,13,,-,14,,81,,120,,1,,183,,1364,,2076,,CALIFORNIA,,20201359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,13,,-,1,,,-,1,,,-,4,,5,,22,,WEST VIRGINIA,,20201337,POINT (-80.613729 38.642579)
FLORIDA,2020,13,,-,7,,21,,29,,,-,86,,592,,739,,FLORIDA,,20201331,POINT (-82.420978 28.260731)
MONTANA,2020,13,,-,1,,,-,,-,1,,5,,11,,13,,MONTANA,,20201352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,13,,-,6,,4,,5,,1,,43,,294,,425,,,WEST NORTH CENTRAL,20201320,
MASSACHUSETTS,2020,13,,-,0,,,-,,-,,-,23,,168,,159,,MASSACHUSETTS,,20201305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,13,,-,7,,18,,38,,5,,85,,461,,780,,,MOUNTAIN,20201348,
INDIANA,2020,13,,-,0,,,-,,-,2,,16,,103,,74,,INDIANA,,20201316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201369,
US TERRITORIES,2020,13,,-,1,,1,,5,,,-,15,,6,,96,,,US TERRITORIES,20201363,
MASSACHUSETTS,2020,14,,-,2,,,-,2,,,-,23,,168,,170,,MASSACHUSETTS,,20201405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,14,,-,6,,18,,38,,4,,88,,510,,825,,,MOUNTAIN,20201448,
INDIANA,2020,14,,-,2,,,-,2,,2,,15,,106,,77,,INDIANA,,20201416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201469,
US TERRITORIES,2020,14,,-,1,,1,,6,,,-,15,,6,,102,,,US TERRITORIES,20201463,
US RESIDENTS,2020,17,,-,44,,262,,498,,59,,795,,7920,,12329,,,US RESIDENTS,20201701,
NEW HAMPSHIRE,2020,17,,-,1,,,-,1,,,-,3,,10,,13,,NEW HAMPSHIRE,,20201706,POINT (-71.57139 43.680429)
NEW YORK,2020,17,,-,2,,2,,12,,,-,26,,133,,271,,NEW YORK,,20201711,POINT (-75.59655 42.921241)
PACIFIC,2020,17,,-,16,,124,,157,,22,,216,,2254,,3193,,,PACIFIC,20201757,
WEST SOUTH CENTRAL,2020,17,,-,16,,53,,166,,,-,94,,650,,1182,,,WEST SOUTH CENTRAL,20201743,
NEBRASKA,2020,17,,-,0,,,-,,-,,-,7,,28,,52,,NEBRASKA,,20201725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,17,,-,3,,1,,11,,1,,65,,364,,690,,,EAST SOUTH CENTRAL,20201738,
NORTH DAKOTA,2020,17,,-,0,,,-,,-,,-,3,,8,,9,,NORTH DAKOTA,,20201726,POINT (-100.46931 47.446305)
NEVADA,2020,17,,-,1,,4,,,-,,-,25,,104,,233,,NEVADA,,20201753,POINT (-114.916992 39.283294)
ILLINOIS,2020,17,,-,3,,3,,6,,,-,40,,224,,434,,ILLINOIS,,20201715,POINT (-89.148632 40.124144)
IOWA,2020,17,,-,1,,,-,,-,,-,7,,32,,24,,IOWA,,20201721,POINT (-93.500061 42.074659)
TEXAS,2020,17,,-,15,,47,,135,,,-,59,,501,,653,,TEXAS,,20201747,POINT (-99.317341 31.447238)
ALASKA,2020,17,,-,0,,,-,,-,,-,7,,15,,23,,ALASKA,,20201758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,17,,-,1,,,-,1,,,-,11,,44,,112,,DISTRICT OF COLUMBIA,,20201730,POINT (-77.016275 38.904785)
WASHINGTON,2020,17,,-,3,,,-,4,,3,,26,,114,,281,,WASHINGTON,,20201762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,17,,-,2,,2,,2,,,-,36,,264,,327,,,NEW ENGLAND,20201702,
RHODE ISLAND,2020,17,,-,0,,,-,,-,,-,13,,5,,26,,RHODE ISLAND,,20201707,POINT (-71.534637 41.572574)
OREGON,2020,17,,-,2,,3,,5,,5,,19,,171,,145,,OREGON,,20201761,POINT (-120.605279 43.940449)
DELAWARE,2020,17,,-,1,,,-,1,,,-,6,,8,,33,,DELAWARE,,20201729,POINT (-75.452394 38.994926)
ALABAMA,2020,17,,-,2,,,-,4,,,-,28,,43,,177,,ALABAMA,,20201739,POINT (-86.844516 32.756889)
KANSAS,2020,17,,-,2,,4,,,-,,-,7,,,-,65,,KANSAS,,20201722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,17,,-,3,,,-,6,,1,,40,,306,,352,,NORTH CAROLINA,,20201734,POINT (-79.130883 35.52603)
GUAM,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201766,POINT (144.653198 13.3532)
NEW JERSEY,2020,17,,-,3,,4,,2,,,-,19,,137,,199,,NEW JERSEY,,20201710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,17,,-,3,,1,,3,,,-,20,,116,,145,,NEW MEXICO,,20201754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,17,,-,6,,7,,20,,3,,89,,781,,1019,,,EAST NORTH CENTRAL,20201714,
TENNESSEE,2020,17,,-,3,,1,,1,,1,,21,,108,,212,,TENNESSEE,,20201742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,17,,-,1,,,-,,-,,-,8,,47,,61,,CONNECTICUT,,20201703,POINT (-72.738288 41.575155)
MARYLAND,2020,17,,-,3,,3,,7,,,-,27,,191,,318,,MARYLAND,,20201733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,17,,-,0,,,-,,-,,-,27,,,-,197,,SOUTH CAROLINA,,20201735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,17,,-,4,,1,,3,,,-,16,,9,,186,,OKLAHOMA,,20201746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201765,POINT (145.725693 15.1834)
OHIO,2020,17,,-,3,,4,,4,,,-,28,,204,,209,,OHIO,,20201718,POINT (-82.70936 40.415534)
MINNESOTA,2020,17,,-,4,,2,,3,,,-,15,,124,,125,,MINNESOTA,,20201723,POINT (-94.198308 46.349153)
LOUISIANA,2020,17,,-,4,,1,,21,,,-,20,,69,,226,,LOUISIANA,,20201745,POINT (-91.840238 30.921314)
HAWAII,2020,17,,-,1,,,-,,-,,-,5,,,-,25,,HAWAII,,20201760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,17,,-,11,,38,,63,,25,,200,,2061,,2942,,,SOUTH ATLANTIC,20201728,
PENNSYLVANIA,2020,17,,-,1,,1,,4,,7,,27,,265,,314,,PENNSYLVANIA,,20201713,POINT (-77.838886 40.896694)
UTAH,2020,17,,-,1,,,-,2,,,-,5,,9,,38,,UTAH,,20201755,POINT (-111.678222 39.323779)
COLORADO,2020,17,,-,1,,2,,3,,1,,19,,158,,174,,COLORADO,,20201750,POINT (-105.547832 38.998552)
VERMONT,2020,17,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20201708,POINT (-72.662695 44.075252)
KENTUCKY,2020,17,,-,2,,,-,5,,,-,18,,66,,117,,KENTUCKY,,20201740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,17,,-,1,,1,,7,,,-,15,,6,,117,,PUERTO RICO,,20201767,POINT (-66.414655 18.215692)
MAINE,2020,17,,-,0,,,-,,-,,-,3,,6,,28,,MAINE,,20201704,POINT (-69.06137 45.117911)
VIRGINIA,2020,17,,-,3,,4,,2,,14,,30,,244,,256,,VIRGINIA,,20201736,POINT (-78.666382 37.510861)
ARIZONA,2020,17,,-,5,,14,,45,,,-,38,,238,,394,,ARIZONA,,20201749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201764,
WISCONSIN,2020,17,,-,0,,,-,,-,1,,10,,69,,51,,WISCONSIN,,20201719,POINT (-89.732969 44.639954)
IDAHO,2020,17,,-,1,,1,,,-,,-,5,,12,,12,,IDAHO,,20201751,POINT (-114.659366 44.389073)
