Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
OHIO,2020,2,,-,1,,,-,,-,,-,24,,1,,22,,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,10,,1,,3,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,6,,,-,1,,3,,41,,11,,66,,,WEST NORTH CENTRAL,20200220,
IOWA,2020,2,,-,1,,,-,,-,,-,6,,1,,1,,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,2,,,-,,-,,-,11,,,-,9,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,4,,,-,,-,,-,15,,,-,15,,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,1,,,-,,-,3,,24,,9,,37,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,7,,1,,4,,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,3,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,1,,,-,1,,,-,3,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,,-,8,,,-,9,,16,,195,,54,,309,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,1,,,-,,-,,-,6,,,-,5,,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,1,,,-,1,,,-,11,,,-,12,,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,,-,6,,,-,5,,4,,86,,15,,78,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,3,,,-,2,,2,,62,,4,,95,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
ALASKA,2020,4,,-,0,,,-,,-,,-,7,,,-,3,,ALASKA,,20200458,POINT (-151.631889 63.631126)
MARYLAND,2020,2,,-,2,,,-,,-,1,,29,,1,,41,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,2,,,-,1,,,-,34,,,-,45,,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,-,27,,,-,17,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,1,,,-,,-,9,,25,,34,,15,,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,4,,,-,1,,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,2,,,-,2,,3,,59,,4,,79,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,1,,,-,,-,3,,27,,3,,30,,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,1,,,-,1,,,-,15,,,-,13,,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,1,,,-,1,,,-,22,,1,,13,,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,2,,,-,,-,,-,20,,,-,23,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,12,,,-,15,,,-,85,,3,,120,,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,2,,,-,2,,,-,14,,3,,17,,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,3,,,-,3,,,-,21,,,-,29,,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,4,,,-,1,,,-,19,,,-,22,,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,11,,,-,9,,,-,55,,,-,52,,TEXAS,,20200247,POINT (-99.317341 31.447238)
MOUNTAIN,2020,2,,-,6,,,-,6,,,-,74,,3,,121,,,MOUNTAIN,20200248,
ARIZONA,2020,2,,-,5,,,-,5,,,-,33,,,-,46,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,1,,,-,,-,,-,19,,2,,12,,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,1,,,-,,-,,-,4,,,-,4,,IDAHO,,20200251,POINT (-114.659366 44.389073)
