Business Name,Zip Code,License Number,License Type,City
HAND PICKED SELECTIONS INC.,201864349,103669,22S,WARRENTON
"HANDCRAFTED WINES, LLC",662191720,259555,LS,LENEXA
HARBINGER LLC,641080000,242924,MICB,KANSAS CITY
HAROZA SELECT WINES LLC,554101510,265755,22S,MINNEAPOLIS
HARPOON DISTRIBUTING COMPANY INC.,022102324,259278,22S,BOSTON
"HARRIS, RENNICK & MARILYN",945620323,167887,22S,OAKVILLE
HARRISTHAL WINERY LLC,657210000,251331,22MS,OZARK
HAWAII SEA SPIRITS LLC,967900000,240344,LS,KULA
"HEART OF AMERICA BEVERAGE COMPANY, LLC",658024579,256835,LS,SPRINGFIELD
HEARTLAND BEVERAGE LTD.,641451526,43371,LS,KANSAS CITY
HEAVEN HILLS SALES COMPANY,400042229,252228,LS,BARDSTOWN
HEAVY RIFF BREWING COMPANY LLC,631393305,269922,22MS,ST. LOUIS
HEINEKEN USA INC,106011841,269608,22S,WHITE PLAINS
HEINRICHSHAUS INC.,655598495,120088,DOMW,ST JAMES
HEITZ WINE CELLARS,945749537,263477,22S,ST. HELENA
HEMINGWAY RUM COMPANY LLC,334834574,239776,LS,DELRAY BEACH
HEMISPHERES LLC,934465980,258991,22S,PASO ROBLES
HEMMAN WINERY LLC,637378702,246057,22MS,BRAZEAU
HENDRY PREMIUM IMPORTS INC.,600143552,178620,22S,CRYSTAL LAKE
"HENDRY, GEORGE O.",945589706,212179,22S,NAPA
HENRIOT INC,100114635,186141,22S,NEW YORK
HENRY STEELE IMPORTS LLC,631418157,269865,LS,ST. LOUIS
HERITAGE DISTILLING COMPANY INC.,983357586,255372,LS,GIG HARBOR
HERITAGE ROAD VINTNERS LLC,945587516,233932,22S,NAPA
HERITAGE WINE CELLARS LTD.,607143306,202141,LS,NILES
HERMANNHOF INC.,650411116,184834,22MS,HERMANN
HERMANNHOF INC.,650411138,213640,22MS,HERMANN
HESS COLLECTION WINERY,945589708,67069,22S,NAPA
HIDALGO IMPORTS LLC,331663317,248032,22S,MIAMI
HIGH LIFE SALES COMPANY,641451526,232114,LS,KANSAS CITY
HIGH PLAINS INC.,660026106,258804,LS,ATCHISON
HILL FOOD SERVICE LLC,631352716,189829,MICB,FERGUSON
HIRSCH WINERY LLC,954219659,180216,22S,CAZADERO
HOFBRAUHAUS OF AMERICA LLC,890525972,253618,22S,HENDERSON
HOLY GRAIL WINERY LLC,63357,254102,DOMW,MARTHASVILLE
HOME BREW MART INC.,240833028,235712,22S,DALEVILLE
HONEYWOOD INC.,973022521,184678,LS,SALEM
"HOOD RIVER DISTILLERS, INC.",970311177,138807,LS,HOOD RIVER
"HOOPES, SPENCER W.",945620000,238889,22S,OAKVILLE
"HOOVER VINTNERS, LLC.",650412300,191282,22MS,HERMANN
HOPE WINE LLC,945586221,212487,22S,NAPA
