the_geom,OBJECTID,Zoning Classification,Zoning Description,Last Update Date,Last Editor,SHAPE_Length,SHAPE_Area,Zoning Number,Zoning Year,Rec Number,Ordinance Number,Zoning Number 1,Zoning Number 2,Ordinance Number 2,Zoning Number 3,Zoning Number 4,Zoning Year 4,Rec Number 4,Ordinance Number 4,HYPERLINK,ZONENUM1,ZONEYEAR1,ORDNUM1,ZONENUM2,ZONEYEAR2,ZONENUM3,ZONEYEAR3,ORDNUM3
"MULTIPOLYGON (((-90.114287980611 30.005695691877, -90.114476663651 30.005713066701, -90.114472141532 30.005789289516, -90.114467954485 30.005838010537, -90.114461995959 30.005914219253, -90.114084635268 30.005878843449, -90.114089869751 30.005803253929, -90.114093345333 30.00575390122, -90.114098578918 30.005678310827, -90.114287980611 30.005695691877)))",651,CU,,12/20/2013 12:00:00 AM +0000,BRN,136.31296290876094,1094.1340726420883,47,1980,,8008,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.123567757159 29.940668822072, -90.123639944877 29.940575718081, -90.123951323412 29.940764241798, -90.123879127609 29.940857971468, -90.12387816192 29.9408587966, -90.12387767683 29.940859209167, -90.123567757159 29.940668822072)))",7,CU,,12/20/2013 12:00:00 AM +0000,BRN,113.68769199554821,615.63801373111983,31,1992,,15312,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.044719814741 29.967208805597, -90.044807130089 29.967230289158, -90.044694281926 29.967629264948, -90.044601232632 29.967607098977, -90.044632730261 29.967503012309, -90.044665755026 29.967392063194, -90.04469425318 29.967297948414, -90.044700270994 29.967276752809, -90.044719814741 29.967208805597)))",618,CU,,12/20/2013 12:00:00 AM +0000,BRN,126.48717432246492,547.60451379375513,70,2011,,24600,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.073612927502 29.938865821973, -90.073618764755 29.938869159156, -90.073564000761 29.938943024772, -90.073380854037 29.938838750069, -90.073383965801 29.938834606417, -90.073436335786 29.93876489216, -90.073612927502 29.938865821973)))",180,CU,,12/20/2013 12:00:00 AM +0000,BRN,71.321418273583902,275.26406309781936,04,1986,,11182,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.06827185025 29.99489456175, -90.067907737913 29.994553579181, -90.06822475697 29.994296106138, -90.06827185025 29.99489456175)))",322,CU,,12/20/2013 12:00:00 AM +0000,BRN,185.17751023718529,1444.0445115491157,56,2001,,20412,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.0766517727 30.009565748091, -90.077982293519 30.009485298793, -90.078657260674 30.009444224664, -90.07872909715 30.010356958251, -90.076725033905 30.010477871479, -90.0766517727 30.009565748091)))",642,CU,,12/20/2013 12:00:00 AM +0000,BRN,682.57534257842826,26300.358368379311,133,2009,,23967,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.04783576234 29.962138884572, -90.048236901437 29.962176247294, -90.048135287605 29.962573146751, -90.048057290482 29.962831811832, -90.048020257435 29.962975854288, -90.047612844504 29.962891233145, -90.047657113481 29.962742886034, -90.047736715893 29.962471107855, -90.04783576234 29.962138884572)))",613,CU,,12/20/2013 12:00:00 AM +0000,BRN,296.90706822210223,4702.6488801005935,14,2012,452108&565418,23773,CU,CU,22638,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,77,2009,23773,71,2006,0,0,0
"MULTIPOLYGON (((-90.018668180123 29.924518039517, -90.018695634435 29.924013834405, -90.019472879277 29.924447938408, -90.019482695168 29.924465540767, -90.019487455341 29.924485591679, -90.019486424973 29.92450933683, -90.01947256846 29.924526076539, -90.019450819348 29.92454273839, -90.019424154656 29.924551223857, -90.019392549229 29.924553408481, -90.019360276354 29.924551835022, -90.018668180123 29.924518039517)))",313,CU,,12/20/2013 12:00:00 AM +0000,BRN,269.29165994718664,3516.0624951112231,89,1989,,13765,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.104868883447 29.934223686491, -90.104962986465 29.934217063971, -90.104996271741 29.934544939338, -90.104902160638 29.934552186953, -90.104805889986 29.934560039445, -90.104800535129 29.9345061315, -90.104773322464 29.934232171134, -90.104868883447 29.934223686491)))",80,CU,,12/20/2013 12:00:00 AM +0000,BRN,127.03784760338809,898.91281788260449,28,1996,128529,17545,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
"MULTIPOLYGON (((-90.072983345032 29.954628101463, -90.073047339216 29.954563075978, -90.073349980737 29.954757261909, -90.073288834213 29.954824190255, -90.073227704756 29.954889867799, -90.073167275985 29.954956803059, -90.072863907727 29.954763234724, -90.072856792172 29.954758164759, -90.0729200695 29.954693133132, -90.072983345032 29.954628101463)))",404,CU,,12/20/2013 12:00:00 AM +0000,BRN,150.45017448971228,1390.5576897327517,21,1983,,9649,,,0,,,0,0,0,http://library1.municode.com/minutes/home.htm?infobase=30001&doc_action=whatsnew,0,0,0,0,0,0,0,0
