ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Installation,Fuel Type,Width (in.),Depth (in.),Shortening Capacity (lbs),Cooking Energy Efficiency (%),Energy Use (Idle Energy Rate) (Btu/hr),Energy Use (Idle Energy Rate) (Watts),Date Available on Market,Date Qualified,Markets,CB Model Identifier
2281938,Pitco Frialator,Anetsberger LLC,AEH18,AEH18,,Large Vat,Floor,Electric,18,19,90,80,,1059,05/17/2014,10/20/2016,"United States, Canada",ES_1017239_AEH18_10202016181839_7519327
2281939,Pitco Frialator,Pitco,SOE18,SOE18,,Large Vat,Floor,Electric,18,19,90,80,,1059,05/17/2014,10/20/2016,"United States, Canada",ES_1017239_SOE18_04292015162952_4992573
2281940,Pitco Frialator,Pitco,SEF14R,SEF14R,,Standard Vat,Floor,Electric,14,14,50,87,,637,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SEF14R_08132012151553_0953837
2281941,Pitco Frialator,Pitco,SFSE14R,SFSE14R,,Standard Vat,Floor,Electric,14,14,50,87,,637,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SFSE14R_08132012151602_0962990
2281942,Pitco Frialator,Pitco,SE14R,SE14R,,Standard Vat,Floor,Electric,14,14,50,87,,637,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SE14R_08132012151545_0945709
2281955,Pitco Frialator,Pitco,SE184,SE184,,Large Vat,Floor,Electric,18,14,60,90,,925,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SE184_08132012151550_0950480
2281956,Pitco Frialator,Pitco,SEF184,SEF184,,Large Vat,Floor,Electric,18,14,60,90,,925,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SEF184_08132012151558_0958496
2281957,Pitco Frialator,Pitco,SFSE184,SFSE184,,Large Vat,Floor,Electric,18,14,60,90,,925,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SFSE184_08132012151607_0967540
2281958,Pitco Frialator,Pitco,SGH50,SGH50,,Standard Vat,Floor,Gas,14,14,50,54,6955,,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | SGH50_08132012151617_0977019
2281959,Pitco Frialator,Pitco,MGII,MGII,,Standard Vat,Floor,Gas,14,14,50,54,6955,,08/01/2011,10/20/2016,"United States, Canada",ES_1105798_PITCO FRIALATOR INC (181040) | MGII_08132012151542_0942681
2281961,Pitco Frialator,Pitco,VF65,VF65,,Large Vat,Floor,Gas,18,18,70,53,9631,,11/13/2015,10/20/2016,"United States, Canada",ES_1017239_VF65_02032016215040_6240540
