MAKE,MODEL,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
RHINO,RHD88,2,6472.591366,No-DATA,0,0
SAFEWAY RE,95CM,1,311.3656,No-DATA,0,0
CHEVROLET,CC31403,4,26741.444613,2711.1,6998.380229041353406,27993.520916165413622
SEAARK,2072MV,1,2667.891854,No-DATA,10.582780039323261,10.582780039323261
CARGO,TXAM8520TA3,1,1417.877272,No-DATA,0,0
SOUTHWEST,BU1883206E,1,304.37115,No-DATA,0,0
FREIGHTLIN,114SD,6,79127.751894,15621,9004.925796566675728,54029.55477940005437
JOHN DEERE,TC125,1,,No-DATA,0,0
MASSEY FER,1552,1,4358.574973,13.6,59.225727937612102,59.225727937612102
JOHN DEERE,W6X4,1,2135.39395,No-DATA,134.019106987170769,134.019106987170769
CARGO,VHW610SA,2,199.592725,No-DATA,0,0
POLARIS,R05RF50AA,2,1342.091389,No-DATA,370.862445050602299,741.724890101204597
FORD,P2D TAURUS,1,354.132888,82.2,5037.137267923705337,5037.137267923705337
DODGE,RAM 4500,57,1145916.731846,115639.3,19051.109952915968013,1085913.267316210176753
CARGO MATE,CM828TA3,1,95.325,No-DATA,0,0
FRUEHAUF,DDAX,3,50201.220266,No-DATA,0,0
PJ TRAILER,CC202,3,6509.258189,No-DATA,0,0
CLARK,OSX15,1,326.48,No-DATA,11.842614003185068,11.842614003185068
WELLS CARG,CVG4025W,1,1118.808934,21,0,0
CARLSON,CP-100,1,36966.334063,278.1,2997.661464036717064,2997.661464036717064
INDECO,HP100,4,550.230657,No-DATA,0.169672425951458,0.678689703805833
JOHN DEERE,304L,1,1128.633423,151.7,79.187731603563154,79.187731603563154
DYNAWELD,70XHD,1,351.158725,No-DATA,0,0
JOHN DEERE,17G,1,,101.7,3961.875832967348216,3961.875832967348216
FORD,F150,589,971883.290966,409138.9,8164.018687471715838,4808607.006920840628365
PACE AMERI,JT610SA,1,846.044975,No-DATA,0,0
DITCH WITC,3700,2,3851.545717,74.5,388.060840525810599,776.121681051621197
FORD,F350SD,3,7951.249887,1208.4,6135.340490344933297,18406.02147103479989
JOHN DEERE,6X4,2,629.679756,No-DATA,138.54507510787402,277.09015021574804
WELLS CARG,EW1624W,1,336.97511,No-DATA,0,0
WELLS CARG,RF581,1,569.5427,No-DATA,0,0
INTERSTATE,40APC,1,549.119912,No-DATA,0,0
ROGERS,T20L212,1,,No-DATA,0,0
SHOPMADE,6X16,1,155.387067,No-DATA,0,0
DODGE,3500,29,213174.056256,23593.5,8223.578812495238271,238483.785562361909845
UD,UD23DHK,1,2164.910164,1384.2,15424.89907148147468,15424.89907148147468
GRADALL,XL3100,3,18286.066908,2312.9,1468.856618784880968,4406.569856354642905
BIG TEX,12'TANDEM DU,2,2204.604355,No-DATA,0,0
GMC,C1500,2,6201.185483,165,3224.423814748439563,6448.847629496879126
GENIE,GR26J,1,2755.731955,No-DATA,1.702401601230635,1.702401601230635
E-Z-GO,TXT,4,11122.37073,No-DATA,1.79549849561468,7.181993982458719
MAGNUM,5X10 CANOE,1,,No-DATA,0,0
FORD,FUSION,31,32008.026821,6361.3,8453.504798970458623,262058.648768084217308
IHC,2574,2,8340.04399,638.7,2569.473589153214076,5138.947178306428152
DORSEY,FB53,1,457.723155,No-DATA,0,0
YAMAHA,F40LA,1,1469.783728,No-DATA,0,0
JOHN DEERE,333G,7,15489.822059,1585.5,4442.373014949040081,31096.611104643280564
TECHNOLOGY,SILENT MESSA,7,18402.798251,No-DATA,0,0
SPORTSMAN,S4-15HD,1,,No-DATA,0,0
MAGNUM,20X84 TU,9,24815.580497,No-DATA,0,0
CHEVROLET,3500HD,2,3574.184647,1406.7,7205.140588007854533,14410.281176015709067
