School_Year,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2018-2019,06010,WHIN Music Charter School,Charter,School,401 West 164th Street,Manhattan,NY,10032,-73.9372410000,40.8366570000,Yes,Yes,Yes,No,No,No,No
2018-2019,06011,P2G @ GW EDUCATIONAL CAMPUS,Public,School,549 Audubon Avenue,Manhattan,NY,10040,-73.9269620000,40.8559180000,No,No,Yes,No,No,No,No
2018-2019,06012,P138M@ P189M,Public,School,2580 AMSTERDAM AVENUE,Manhattan,NY,10040,-73.9278620000,40.8524350000,Yes,No,No,No,No,No,No
2018-2019,06018,PS 18,Public,School,4124 9 AVENUE,Manhattan,NY,10034,-73.9116070000,40.8713110000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06028,PS 28,Public,School,475 WEST 155TH STREET,Manhattan,NY,10032,-73.9420870000,40.8312900000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06048,PS 48,Public,School,4360 BROADWAY,Manhattan,NY,10033,-73.9339580000,40.8534310000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06052,IS 52,Public,School,650 ACADEMY STREET,Manhattan,NY,10034,-73.9249240000,40.8660180000,Yes,Yes,Yes,No,No,No,No
2018-2019,06068,KIPP NYC WASH HEIGHTS ACAD SCH,Charter,School,21 JUMEL PLACE,Manhattan,NY,10032,-73.9360780000,40.8392620000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06098,PS 98 SHORACK POCK ELEM SCH,Public,School,512 WEST 212TH STREET,Manhattan,NY,10034,-73.9170970000,40.8677540000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06100,Neighborhood Charter School,Charter,School,421 West 145th Street,Manhattan,NY,10031,-73.9453750000,40.8243910000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06101,Neighborhood Chtr Sch Harlem,Charter,School,500 West 138 Street,Manhattan,NY,10031,-73.9511950000,40.8208840000,Yes,Yes,Yes,No,No,No,No
2018-2019,06103,DOS PUENTES ELEMENTARY SCHOOL,Public,School,185 WADSWORTH AVENUE,Manhattan,NY,10033,-73.9342910000,40.8505860000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06115,PS 115 ALEXANDER HUMBOLT,Public,School,586 WEST 177TH STREET,Manhattan,NY,10033,-73.9352440000,40.8464700000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06128,PS 128,Public,School,560 WEST 169TH STREET,Manhattan,NY,10032,-73.9385450000,40.8412500000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06132,PS 132,Public,School,185 WADSWORTH AVENUE,Manhattan,NY,10033,-73.9342910000,40.8505860000,Yes,Yes,Yes,No,No,No,No
2018-2019,06143,JHS 143,Public,School,515 WEST 182ND STREET ROOM 104,Manhattan,NY,10033,-73.9309920000,40.8490160000,Yes,Yes,Yes,No,No,No,No
2018-2019,06152,PS 152,Public,School,93 NAGLE AVENUE,Manhattan,NY,10040,-73.9279450000,40.8603230000,Yes,Yes,Yes,No,Yes,No,No
2018-2019,06153,PS 153,Public,School,1750 AMSTERDAM AVENUE,Manhattan,NY,10031,-73.9469370000,40.8263260000,Yes,Yes,Yes,No,No,No,No
