the_geom,OBJECTID,School Name,Site Address,Open or Closed,CMO,Enrollment,PublicVsPrivate
POINT (-90.081693551162 29.932000289452),163,The Louise S. McGehee School,2343 Prytania St,OPEN,,,PRIVATE
POINT (-90.072818212116 29.947082738125),41,International High School,727 Carondelet St,OPEN,,558,PUBLIC
POINT (-90.119482506105 29.918176458192),9,Benjamin Franklin Elementary Mathematics and Science School (Upper),401 Nashville Ave,OPEN,OPSB Direct Run,272,PUBLIC
POINT (-90.091306563932 29.98867375976),113,Christian Brothers School,8 Friederichs Ave,OPEN,,,PRIVATE
POINT (-90.052980565882 30.007718813603),5,Audubon Charter School: Gentilly,4720 Painters St,OPEN,Non-Network,,PUBLIC
POINT (-90.104093938227 29.935023164586),119,Holy Rosary Academy and High School,2437 Jena St,OPEN,,,PRIVATE
POINT (-90.123283621511 29.953729474815),149,Stuart Hall,2032 S Carrollton Ave,OPEN,,,PRIVATE
POINT (-90.073022787679 29.936419287499),44,International School of Louisiana,1400 Camp St,OPEN,,,PUBLIC
POINT (-90.090408107719 29.968537818328),101,Warren Easton High School,3019 Canal St,OPEN,Non-Network,989,PUBLIC
POINT (-90.073712887647 29.988003701667),159,St. Leo the Great,1501 Abundance St,OPEN,,,PRIVATE
POINT (-90.084716105654 29.945790130933),53,KIPP Central City,2625 Thalia St,OPEN,KIPP,509,PUBLIC
POINT (-89.930773740715 30.042044950075),25,Einstein Charter Middle School at Sarah Towles Reed,5316 Michoud Blvd,OPEN,Einstein Charter Schools,356,PUBLIC
POINT (-90.114042679255 29.956538433876),132,St. Marys Dominican High School,7701 Walmsley Ave,OPEN,,,PRIVATE
POINT (-90.083402438004 29.936453749969),45,James M. Singleton Charter School,2220 Oretha Castle Haley Blvd,OPEN,Non-Network,432,PUBLIC
POINT (-90.004177266771 29.921169843226),22,Edna Karr High School,3332 Huntlee Dr,OPEN,Inspire NOLA,1109,PUBLIC
POINT (-90.105943731826 29.978992637193),94,Success Preparatory Academy,4621 Canal St,OPEN,Non-Network,436,PUBLIC
POINT (-90.127597226257 29.941509946392),154,University Montessori School,7508 Burthe St,OPEN,,,PRIVATE
POINT (-90.015433802599 30.033874827319),76,Mildred Osborne Charter School,6701 Curran Blvd,OPEN,ARISE Schools,490,PUBLIC
POINT (-90.007671035248 30.015488542284),131,St. Mary's Academy,6905 Chef Menteur Hwy,OPEN,,,PRIVATE
POINT (-90.105977238721 30.005565317896),178,St. Dominic School,6326 Memphis St,OPEN,,,Private
POINT (-90.050235813206 29.96634498262),134,St. Paul Lutheran Ok,2624 Burgundy St,OPEN,,,PRIVATE
POINT (-90.074771186412 29.989516155504),75,Medard H. Nelson Charter School,3121 St Bernard Ave,OPEN,New Beginnings,411,PUBLIC
,19,Dr. Martin Luther King Jr. Charter School For Science and Technology,5300 N Rocheblave St,OPEN,Friends of King,430,PUBLIC
POINT (-89.998168480584 29.905641084108),20,Dwight D. Eisenhower Academy of Global Studies,3700 Tall Pines Dr,OPEN,Inspire NOLA,686,PUBLIC
POINT (-90.132775980599 29.939904344824),51,KIPP Believe,421 Burdette St,OPEN,KIPP,435,PUBLIC
POINT (-90.119682437112 29.935890613535),118,Holy Name Of Jesus Elementary School,6325 Cromwell Pl,OPEN,,,PRIVATE
