Supplier,Item Code,Item Description,Type,Tag,Order Number,Order Status,PO Status,Ordered Qty,Fulfilled Qty,Ordered Date,Received Date,Fulfillment Date,Days to Fill
INTERBALT PRODUCTS CORP,348138,DOGARINA PROCECCO MILLESIMATO EXTRA DRY DOC 750 ML,WINE,LS,178#####,BOOKED,,1,,04/29/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",392979,MAN VINTNERS CAB - 750ML,WINE,S,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
ELITE WINES IMPORTS,393975,THOMAS HENRY CHARD - 750ML,WINE,S,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/29/2020,6
"THE COUNTRY VINTNER, LLC DBA WINEBOW",305271,PAUL HOBBS CROSSBARN CHARD - 750ML,WINE,S,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/29/2020,6
KYSELA PERE ET FILS LTD,100641,CORTENOVA VENETO P/GRIG - 750ML,WINE,SC,177#####,CLOSED,OPEN,3,3,04/16/2020,04/21/2020,04/22/2020,6
PWSWN INC,351468,CHOROY SAUVIGNON BLANC - 3L,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/15/2020,6
SOUTHERN GLAZERS WINE AND SPIRITS,304200,ONE HOPE S/BLC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/16/2020,04/23/2020,10
INTERBALT PRODUCTS CORP,94145,BALTIKA #4 DARK NR 20/CS - 16.9OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/20/2020,04/21/2020,04/23/2020,3
BANVILLE & JONES WINE MERCHANTS,238616,ANDELUNA RAICES LIMIT ED MALBEC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/19/2020,04/20/2020,04/23/2020,4
INTERBALT PRODUCTS CORP,6947,OBOLON OKSAMYTOVE (VELVET 5/4NR - 16.9OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/14/2020,04/21/2020,8
LEGENDS LTD,60156,TWO ROADS PASSIONFRUIT GOSE 6/4 16OZ CANS,BEER,SB,177#####,BOOKED,CLOSED,1,1,04/08/2020,04/14/2020,04/21/2020,13
LEGENDS LTD,11057,AUSTIN TEXAS HONEY CIDER - 12.OZ 4/6 CAN,BEER,SB,177#####,CLOSED,OPEN,1,1,04/22/2020,04/28/2020,04/30/2020,8
ARTISANS & VINES LLC,341867,MATAKANA EST NEW ZEALAND P/GRIS - 750ML,WINE,S,178#####,BOOKED,OPEN,1,,04/28/2020,04/30/2020,,
LEGENDS LTD,63300,FIRESTONE MIND HAZE 4/6 CAN,BEER,SB,178#####,BOOKED,,8,,04/26/2020,,,
LEGENDS LTD,63612,NARRAGANSETT DEL'S WATERMELN SHNDY 4/6 16Z CAN,BEER,SB,177#####,CLOSED,CLOSED,3,3,04/09/2020,04/14/2020,04/15/2020,6
FREE RUN WINE MERCHANTS LLC,352402,THE WHOLE SHEBANG RED - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
SOUTHERN GLAZERS WINE AND SPIRITS,85570,PARDUCCI CHARD - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/16/2020,04/23/2020,10
SOUTHERN GLAZERS WINE AND SPIRITS,307217,GATO NEGRO S/BLC               24714 - 750ML,WINE,LS,178#####,BOOKED,,1,1,04/28/2020,,05/01/2020,3
"THE COUNTRY VINTNER, LLC DBA WINEBOW",45387,BARNARD GRIFFIN WH/RIES - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/02/2020,04/06/2020,04/09/2020,7
BACKUP BEVERAGE,239748,SUPREME CORE POUNDA GOLD 6/4 CAN,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/14/2020,04/16/2020,04/22/2020,8
LEGENDS LTD,26392,SAISON DUPONT 6/4NR - 11.2OZ,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
PWSWN INC,355748,PEPE YLLERA VERDEJO - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/15/2020,6
DIONYSOS IMPORTS INC,429791,SOL'ACANTALYS TAVEL RSE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/16/2020,04/20/2020,04/16/2020,0
DIONYSOS IMPORTS INC,339610,REYNIER BORD RSV HERITGAE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/17/2020,04/20/2020,04/22/2020,5
REPUBLIC NATIONAL DISTRIBUTING CO,14621,LOS VASCOS CAB RES - 750ML,WINE,SC,178#####,BOOKED,,1,,04/29/2020,,,
BUCK DISTRIBUTING COMPANY INC,69608,RECKLESS ASPIRING REDNECK LAGER 4/6 CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/21/2020,04/29/2020,05/01/2020,10
REPUBLIC NATIONAL DISTRIBUTING CO,163953,ANTINORI CERVARO DELLA SALA - 750ML,WINE,SW,178#####,BOOKED,OPEN,1,1,04/27/2020,04/28/2020,05/01/2020,4
REPUBLIC NATIONAL DISTRIBUTING CO,335022,K JACKSON GR RES P/NOIR - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/17/2020,04/21/2020,04/28/2020,11
LEGENDS LTD,69522,LAGUNITAS HAZY WONDER 4/6 CANS,BEER,SB,178#####,BOOKED,OPEN,2,,04/23/2020,04/28/2020,,
CONSTANTINE WINES INC,350526,LONG LITTLE DOG RED - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/20/2020,04/27/2020,04/29/2020,9
LEGENDS LTD,69550,DECADENT CHOCOLATE MILK STOUT 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/08/2020,6
BACKUP BEVERAGE,25332,SCHLAFLY RASPBERRY HEFE 4/6 NR,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/14/2020,04/16/2020,04/22/2020,8
BANVILLE & JONES WINE MERCHANTS,237318,LA CAPRANERA FIANO WHITE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/03/2020,04/06/2020,04/09/2020,6
LEGENDS LTD,69638,TIMBER RIOT OF THE CROWS 6/4 16OZ CANS,BEER,SB,178#####,CLOSED,OPEN,1,1,04/23/2020,04/28/2020,04/29/2020,6
BANVILLE & JONES WINE MERCHANTS,238616,ANDELUNA RAICES LIMIT ED MALBEC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/21/2020,04/27/2020,04/29/2020,8
FLYING DOG BREWERY LLLP,50796,FLYING DOG SNAKE DOG IPA 4/6 16OZ CANS,BEER,SB,177#####,CLOSED,OPEN,1,1,04/15/2020,04/22/2020,04/23/2020,8
TROEGS BREWING COMPANY,63327,TROEGS LOLLIHOP 6/4 16OZ CANS,BEER,SB,177#####,BOOKED,,1,,04/23/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",300605,TIAMO CHN - 750ML,WINE,LS,178#####,BOOKED,,1,,04/27/2020,,,
LEGENDS LTD,11057,AUSTIN TEXAS HONEY CIDER - 12.OZ 4/6 CAN,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/01/2020,04/07/2020,04/09/2020,8
DELMAR BREWING COMPANY LLC,63026,EVOLUTION STALKER HEFE 4/6 NR,BEER,SB,177#####,BOOKED,CLOSED,2,2,04/06/2020,04/07/2020,04/10/2020,4
CONSTANTINE WINES INC,355802,STEPHEN VINCENT NAPA CAB - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/20/2020,04/22/2020,9
KYSELA PERE ET FILS LTD,340909,PRIME BRUME SOAVE - 750ML,WINE,S,178#####,BOOKED,OPEN,1,1,04/26/2020,04/28/2020,04/29/2020,3
ELITE WINES IMPORTS,239320,THIBAUT-JANISSON BLANC DE CHARD VA BRUT SPARK - 750ML,WINE,LS,177#####,CLOSED,OPEN,2,2,04/15/2020,04/20/2020,04/22/2020,7
DELMAR BREWING COMPANY LLC,11874,EVOLUTION MULTIPACK IPA SAMPLER - 12.OZ 2/12,BEER,SB,177#####,BOOKED,OPEN,3,,04/20/2020,04/28/2020,,
MONSIEUR TOUTON SELECTION,43228,AGUA DE PIEDRA SEL MAL - 750ML,WINE,SC,178#####,BOOKED,,1,,04/27/2020,,,
BARON FRANCOIS LTD,111279,LUC PIRLET SYR MOURVEDRE - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,,04/21/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",347181,DV CATENA TINTO HISTORICO RED - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,1,04/02/2020,04/06/2020,04/08/2020,6
SUTTER HOME WINERY INC,83137,SUTTER  HOME RED BLEND - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/10/2020,,,
LEGENDS LTD,64165,LAGUNITAS LITTLE SUMPIN HAZY 4/6 NR,BEER,SB,177#####,CLOSED,CLOSED,2,2,04/09/2020,04/14/2020,04/24/2020,15
LEGENDS LTD,346854,GRAFT COMES AND GOSE - 12OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/09/2020,7
LEGENDS LTD,68556,FLORA ROSE 6/4 CANS,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/02/2020,04/07/2020,04/09/2020,7
LEGENDS LTD,26613,MAINE LUNCH NR 12/CS - 16.9OZ,BEER,SB,178#####,BOOKED,OPEN,4,,04/23/2020,04/28/2020,,
MONSIEUR TOUTON SELECTION,308068,CANTINA GABRIELE P/NOIR - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/13/2020,04/21/2020,04/24/2020,11
"THE COUNTRY VINTNER, LLC DBA WINEBOW",336778,CATENA CAB/FR SAN CARLOS - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/02/2020,04/06/2020,04/07/2020,5
PWSWN INC,328407,ST ANAC MOELLEUX BLC - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/16/2020,7
SOUTHERN GLAZERS WINE AND SPIRITS,233230,JAM CELLARS TOAST SPARK - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/01/2020,04/02/2020,04/06/2020,5
PWSWN INC,352398,LA GRANDE COTE GSM - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/15/2020,6
SOUTHERN GLAZERS WINE AND SPIRITS,307217,GATO NEGRO S/BLC               24714 - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/28/2020,04/30/2020,05/01/2020,3
BACKUP BEVERAGE,62472,REKORDERLIG APPLE 6/4 11.2OZ CANS,BEER,SB,178#####,BOOKED,OPEN,3,,04/28/2020,04/30/2020,,
TRI-VIN IMPORTS,319928,DREAMFISH CHARD - 1.5L,WINE,S,178#####,BOOKED,,1,,04/29/2020,,,
DOPS INC,163996,PEDRONCELLI EAST SIDE S/BLC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/21/2020,04/27/2020,04/29/2020,8
LUNEAU USA INC,69564,CHATEAU BENAGE FONTAINE BORDEAUX SUPERIOR 750ML,WINE,LS,177#####,BOOKED,OPEN,5,,04/09/2020,04/30/2020,,
DIONYSOS IMPORTS INC,412392,SAN VITO CHN - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/13/2020,04/15/2020,7
SOUTHERN GLAZERS WINE AND SPIRITS,306388,CK MONDAVI MOSCATO - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/16/2020,7
KYSELA PERE ET FILS LTD,156426,REVERDY SANCERRE BLC - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/06/2020,04/14/2020,04/16/2020,10
DMV DISTRIBUTING LLC,238002,CASA SANTOS LIMA RED BLEND - 750ML,WINE,LS,177#####,BOOKED,CLOSED,1,1,04/12/2020,04/16/2020,04/22/2020,10
LANTERNA DISTRIBUTORS INC,332760,BARKERS MARQUE 3 BROOMS S/BLC - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,1,04/26/2020,04/28/2020,04/29/2020,3
INTERBALT PRODUCTS CORP,313495,SANTERO STRAWBERRY MOSCATO - 750ML,WINE,S,177#####,BOOKED,CLOSED,1,1,04/15/2020,04/21/2020,04/24/2020,9
LEGENDS LTD,10934,FOUNDERS CENTENNIAL - 4/6,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/16/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,349039,STELLA ROSA GREEN APPLE MOSCATO - 750ML,WINE,LS,177#####,BOOKED,OPEN,16,16,04/06/2020,04/07/2020,04/09/2020,3
LANTERNA DISTRIBUTORS INC,350084,FLORENSAC PICPOUL DE PINET - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/21/2020,04/23/2020,3
DOPS INC,340289,CASA NATAL RES MALB - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/15/2020,04/20/2020,04/22/2020,7
DC BRAU BREWING LLC,69444,DC BRAU FULL TRANSPARENCY ORANGE CRUSH 2/12 CANS,BEER,SB,178#####,BOOKED,OPEN,2,,04/26/2020,04/28/2020,,
ARTISANS & VINES LLC,351096,WEHRHEIM NIERST SPIEG RIES 750 ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/16/2020,04/17/2020,04/23/2020,7
MONSIEUR TOUTON SELECTION,237546,JERUSALEM GOLD WINERY STREETS OF JERUSALEM MER KOS - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/17/2020,8
LEGENDS LTD,12406,AUSTIN CIDER VARIETY PACK - 2/12 12.OZ CAN,BEER,SB,177#####,CLOSED,OPEN,5,5,04/15/2020,04/21/2020,04/24/2020,9
PWSWN INC,346672,CHOROY S/BLC - 1.5L,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
LUNEAU USA INC,342101,TAVERNELLO MONTEPULCIANO - 1.5L,WINE,SC,177#####,BOOKED,OPEN,1,,04/15/2020,04/30/2020,,
DOPS INC,305974,BROWNSTONE CAB - 1.5L,WINE,LS,178#####,BOOKED,,1,,04/29/2020,,,
LEGENDS LTD,69489,TWO ROADS CLOUD SOURCED 4/6 CANS,BEER,SB,178#####,CLOSED,OPEN,1,1,04/23/2020,04/28/2020,04/29/2020,6
OPICI FAMILY DISTRIBUTING OF MD,355552,BREAD & BUTTER SAUVIGNON BLANC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/01/2020,04/07/2020,04/08/2020,7
REPUBLIC NATIONAL DISTRIBUTING CO,368938,A TO Z CHARD - 750ML,WINE,SC,178#####,CLOSED,OPEN,1,1,04/24/2020,04/28/2020,04/29/2020,5
"THE COUNTRY VINTNER, LLC DBA WINEBOW",430048,PAUL HOBBS LA FLOR CAB - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/02/2020,04/06/2020,04/07/2020,5
TRADEWINDS SPECIALTY IMPORTS LLC,431281,TERRAPLEN GARN - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/01/2020,04/06/2020,04/13/2020,12
CONSTANTINE WINES INC,303058,PACIFIC REDWOOD ORGANIC RED - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/13/2020,04/22/2020,13
BUCK DISTRIBUTING COMPANY INC,63476,BELLS OBERON 2/12 CANS,BEER,SB,178#####,BOOKED,OPEN,4,4,04/27/2020,04/29/2020,05/01/2020,4
BACKUP BEVERAGE,50072,JACKS PEACH CIDER 4/6 12OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/09/2020,04/14/2020,11
BASQUE BAR LLC,63184,ANXO ROSE - 12OZ CAN,BEER,SB,177#####,CLOSED,OPEN,1,1,04/06/2020,04/15/2020,04/22/2020,16
ELITE WINES IMPORTS,393975,THOMAS HENRY CHARD - 750ML,WINE,S,177#####,CLOSED,CLOSED,1,1,04/10/2020,04/13/2020,04/15/2020,5
GRAPES OF SPAIN INC,406872,LUNA BEBERIDE MENCIA BIERZO - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/16/2020,04/17/2020,04/23/2020,7
LANTERNA DISTRIBUTORS INC,310355,DOM DES HERBAUGES GROLLEAU GRIS - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/20/2020,04/21/2020,04/23/2020,3
ALLAGASH BREWING COMPANY,69536,ALLAGASH WHITE 2/12 CANS,BEER,SB,177#####,CLOSED,OPEN,3,3,04/08/2020,04/15/2020,04/21/2020,13
INTERBALT PRODUCTS CORP,351884,LA CELIA RESERVA PINOT GRIGIO - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/24/2020,04/29/2020,,
WI INC,63904,LUNA NUDA ROSE 750ML,WINE,LS,178#####,BOOKED,,2,,04/28/2020,,,
"THE COUNTRY VINTNER, LLC DBA WINEBOW",352544,CASTELLUCCIO LE MORE SANGIOVESE - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/22/2020,04/27/2020,04/30/2020,8
LEGENDS LTD,69469,BITBURGER TRIPLE HOP'D LAGER 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/21/2020,12
DUVEL MOORTGAT USA LTD,63833,BOULEVARD BLVR&D BOURBON BARREL 4/6 NR,BEER,SB,178#####,BOOKED,,1,,04/27/2020,,,
LEGENDS LTD,347425,STILLWATER CELLAR DOOR - 12OZ CAN,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/17/2020,8
SUTTER HOME WINERY INC,83137,SUTTER  HOME RED BLEND - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/23/2020,,,
LEGENDS LTD,69228,DOWN EAST CIDER GRAPEFRUIT 6/4 CANS,BEER,SB,177#####,BOOKED,OPEN,1,1,04/12/2020,04/21/2020,04/28/2020,16
BACKUP BEVERAGE,68684,D9 BREWERS DAY OFF 6/4 16OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/07/2020,04/09/2020,04/16/2020,9
"THE COUNTRY VINTNER, LLC DBA WINEBOW",352278,G D VAJRA ROSABELLA - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/13/2020,04/20/2020,04/23/2020,10
LEGENDS LTD,12611,ACE CIDER PERRY - 4/6 12.OZ,BEER,SB,178#####,BOOKED,,1,,04/26/2020,,,
LEGENDS LTD,63744,LAGUNITAS HOP REFRESHER NA 6/4 NR,NON-ALCOHOL,SB,177#####,BOOKED,CLOSED,1,1,04/09/2020,04/14/2020,04/16/2020,7
MOET HENNESSY USA,81721,VEUVE CLICQUOT NV ROSE - 750ML - JACKET,WINE,HO,178#####,BOOKED,,1,1,04/28/2020,,04/30/2020,2
"THE COUNTRY VINTNER, LLC DBA WINEBOW",397164,OXFORD LANDING P/GRIG - 750ML,WINE,S,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
"THE COUNTRY VINTNER, LLC DBA WINEBOW",399590,PAUL HOBBS FELINO CAB - 750ML,WINE,LS,178#####,BOOKED,,1,,04/27/2020,,,
PRESTIGE BEVERAGE GROUP OF MD LLC,415243,BOUCHARD A&F VDP P/NOIR - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/15/2020,04/17/2020,04/23/2020,8
DC BRAU BREWING LLC,69360,DC BRAU IN SESSION IPA 2/12 CANS,BEER,SB,177#####,BOOKED,OPEN,2,,04/23/2020,04/28/2020,,
ELITE WINES IMPORTS,325566,CONCA D'ORO PROSECCO MILLESINATO CUV - 750ML,WINE,SC,178#####,BOOKED,,1,,04/30/2020,,,
SOUTHERN GLAZERS WINE AND SPIRITS,239574,CALLAWAY CELL SEL CHARD - 750ML,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
YOUNG WON TRADING INC,425958,KOO SOON DANG RICE WINE - 750ML,WINE,LS,178#####,BOOKED,,1,,04/29/2020,,,
BACKUP BEVERAGE,50192,REKORDERLIG MANGO RAZ 6/4 11.2OZ CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/09/2020,04/10/2020,7
LEGENDS LTD,26831,DUVEL TRIPLE HOP 6/4NR - 11.2OZ,BEER,SB,178#####,BOOKED,,1,,04/30/2020,,,
INTERBALT PRODUCTS CORP,355068,KOZEL DARK  LAGER CAN - 16.9OZ,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/20/2020,04/21/2020,04/23/2020,3
"THE COUNTRY VINTNER, LLC DBA WINEBOW",436950,BODEGAS TARIMA MONESTRALL - 750ML,WINE,LS,178#####,BOOKED,,1,,04/27/2020,,,
TRI-VIN IMPORTS,355854,LAB PORTUGUESE ROSE - 3LTR,WINE,LS,178#####,BOOKED,,1,,04/30/2020,,,
LEGENDS LTD,68379,FLYING EMBERS ANCIENT BERRY 6/4 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/14/2020,04/21/2020,13
PUNTO VINO LLC,236276,CHEVALIER FAMAEY MALB/ROSE - 750ML,WINE,S,177#####,CLOSED,OPEN,2,2,04/08/2020,04/14/2020,04/16/2020,8
ALLAGASH BREWING COMPANY,60877,ALLAGASH CURIEUX 6/4 NR,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/01/2020,04/08/2020,04/10/2020,9
BACKUP BEVERAGE,50753,EPIC SON OF A BAPTIST 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/03/2020,04/09/2020,04/13/2020,10
ALLAGASH BREWING COMPANY,10271,ALLAGASH SAISON 6/4 NR 12.0Z,BEER,SB,178#####,BOOKED,,2,,04/30/2020,,,
RELIABLE CHURCHILL LLLP,166709,DAILYS CHERRY LIMEADE - 10 OZ,WINE,SC,178#####,BOOKED,,1,,04/29/2020,,,
OSLO ENTERPRISE,311444,CH DE RUTH CDR BLANC - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/13/2020,04/15/2020,7
CONSTANTINE WINES INC,336085,CASAL GARCIA VINHO VERDE - 1L,WINE,SC,178#####,BOOKED,,2,,04/29/2020,,,
BARON FRANCOIS LTD,335007,CH DE LA DEIDIERE ROSE - 750ML,WINE,S,178#####,BOOKED,,1,,04/28/2020,,,
THE TRITON COLLECTION INC,315399,STELLAR ORGANICS SHZ - 750ML,WINE,S,177#####,BOOKED,OPEN,2,,04/22/2020,,,
IMPERO WINE DISTRIBUTORS,68828,LUZZOLINI CIRO ROSSO CLASSICO 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/20/2020,04/21/2020,04/22/2020,2
"THE COUNTRY VINTNER, LLC DBA WINEBOW",302562,MAN VINTNERS S/BLC - 750ML,WINE,SC,178#####,BOOKED,,2,,04/30/2020,,,
REPUBLIC NATIONAL DISTRIBUTING CO,348282,14 HANDS RUN WILD REND BLEND - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/08/2020,04/10/2020,04/14/2020,6
LEGENDS LTD,63318,BETTER WINE CO. WHITE SPRITZER 6/4 250ML CAN,WINE,LS,177#####,BOOKED,CLOSED,1,1,04/15/2020,04/21/2020,04/22/2020,7
MONSIEUR TOUTON SELECTION,235232,BEAU DE FRANCE ROSE - 750ML,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/17/2020,04/21/2020,04/22/2020,5
REPUBLIC NATIONAL DISTRIBUTING CO,355836,STELLA ROSA GOLD - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/21/2020,04/23/2020,04/24/2020,3
SOUTHERN GLAZERS WINE AND SPIRITS,238228,PRANZA P/GRIG - 750ML,WINE,LS,177#####,CLOSED,OPEN,1,1,04/17/2020,04/21/2020,04/23/2020,6
JOS VICTORI WINES,310304,GROUPIE CAB - 750ML,WINE,S,177#####,BOOKED,CLOSED,1,1,04/02/2020,04/15/2020,04/22/2020,20
MILLER BREWING COMPANY,77737,BLUE MOON LIGHT SKY  2/12 SLIM CAN,BEER,SB,177#####,CLOSED,OPEN,3,3,04/23/2020,04/28/2020,05/01/2020,8
KYSELA PERE ET FILS LTD,331721,RIEBEEK CH/BLC - 750ML,WINE,S,177#####,CLOSED,OPEN,1,1,04/09/2020,04/14/2020,04/15/2020,6
DMV DISTRIBUTING LLC,231927,LEGENDARY EST SERIES CHARD - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/25/2020,04/30/2020,,
DIONYSOS IMPORTS INC,338272,TETRAMYTHOS CAVA MEZZE KALAVRYTA 14 - 750ML,WINE,LS,178#####,BOOKED,,2,,04/28/2020,,,
DIONYSOS IMPORTS INC,305654,MOULINES LES CI GALES RSE - 750ML,WINE,S,177#####,CLOSED,OPEN,2,2,04/15/2020,04/20/2020,04/22/2020,7
LEGENDS LTD,60144,FOUNDERS SOLID GOLD 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/09/2020,04/14/2020,04/16/2020,7
NEXTERRA WINE COMPANY,63987,COOPER'S HAWK SPARKLING ALMOND 750ML,WINE,LS,178#####,BOOKED,OPEN,6,,04/28/2020,04/30/2020,,
DIONYSOS IMPORTS INC,326211,SANTA IRENE MAL ORGANIC - 750ML,WINE,LS,178#####,CLOSED,OPEN,1,1,04/23/2020,04/27/2020,04/30/2020,7
MONSIEUR TOUTON SELECTION,356930,VILLA CORTI CHIANTI - 750ML,WINE,S,177#####,BOOKED,CLOSED,1,1,04/07/2020,04/14/2020,04/16/2020,9
CONSTANTINE WINES INC,351928,LAPIS LUNA ZINFANDEL - 750ML,WINE,LS,178#####,BOOKED,,1,,04/29/2020,,,
QUINTESSENTIAL LLC,355658,FRATELLI P/GRIGIO - 750ML,WINE,LS,177#####,BOOKED,OPEN,1,,04/13/2020,,,
THE BROOKLYN BREWERY CORPORATION,93122,BROOKLYN BROWN ALE 4/6 NR - 12OZ,BEER,SB,177#####,BOOKED,OPEN,1,1,04/13/2020,04/22/2020,04/29/2020,16
SAN ANTONIO WINERY INC,239806,STELLA ROSA TROPICAL MANGO - 750ML,WINE,SC,177#####,BOOKED,OPEN,1,,04/15/2020,,,
LANTERNA DISTRIBUTORS INC,301042,99 VINES ZIN - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/27/2020,04/28/2020,,
MHW LTD,330984,POGGIO D'ALBE MONT D'ABRU - 750ML,WINE,S,177#####,BOOKED,CLOSED,2,2,04/15/2020,04/27/2020,04/29/2020,14
BUCK DISTRIBUTING COMPANY INC,63692,BELLS OFFICIAL 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,1,1,04/08/2020,04/15/2020,04/16/2020,8
PWSWN INC,232516,F2F RED BLEND AN ELEGANT COMP - 750ML,WINE,LS,177#####,CLOSED,CLOSED,2,2,04/09/2020,04/13/2020,04/15/2020,6
LEGENDS LTD,68556,FLORA ROSE 6/4 CANS,WINE,LS,177#####,CLOSED,CLOSED,1,1,04/16/2020,04/21/2020,04/23/2020,7
BUCK DISTRIBUTING COMPANY INC,69593,STONE SOARING DRAGON IPA 4/6 CANS,BEER,SB,177#####,CLOSED,CLOSED,3,3,04/15/2020,04/22/2020,04/23/2020,8
OPICI FAMILY DISTRIBUTING OF MD,352202,BREAD & BUTTER ROSE - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,,,
DIONYSOS IMPORTS INC,305654,MOULINES LES CI GALES RSE - 750ML,WINE,S,178#####,CLOSED,OPEN,2,2,04/24/2020,04/27/2020,04/29/2020,5
OPICI FAMILY DISTRIBUTING OF MD,349575,REATA SONOMA CHARDONNAY - 750ML,WINE,LS,178#####,BOOKED,OPEN,1,,04/29/2020,,,
