School Code,Borough Name,DOB#,Inspection Category,Inspection Date,Date Requested,Request Status Description
PS014X,BRONX,201199559,MASONRY,04/30/2020 10:00:00 AM,04/21/2020 03:41:39 PM,COMPLETED
PS015K,BROOKLYN,302584193,PLUMBING,04/02/2020 10:30:00 AM,04/02/2020 09:19:39 AM,COMPLETED
PS016K,BROOKLYN,302582854,FINALCONSTRUCTION,04/16/2020 10:00:00 AM,04/09/2020 11:27:11 AM,COMPLETED
PS016K,BROOKLYN,302582854,FINALCONSTRUCTION,04/21/2020 11:00:00 AM,04/17/2020 03:47:20 PM,COMPLETED
PS016K,BROOKLYN,302582854,PLUMBING,04/30/2020 02:59:00 PM,04/30/2020 01:59:51 PM,SCHEDULED
PS016R,STATEN ISLAND,,ARCHITECTURAL,04/14/2020 12:00:00 PM,04/13/2020 01:25:32 PM,COMPLETED
PS017K,BROOKLYN,302580099,FINALCONSTRUCTION,04/03/2020 10:00:00 AM,03/12/2020 09:17:51 AM,SCHEDULED
PS019Q,QUEENS,402900349,PLUMBING,04/03/2020 08:00:00 AM,04/03/2020 07:45:10 AM,COMPLETED
PS019Q,QUEENS,421098298,PLUMBING,04/03/2020 11:00:00 AM,04/03/2020 09:06:28 AM,COMPLETED
PS019X,BRONX,201197310,FINALCONSTRUCTION,04/30/2020 07:00:00 PM,04/30/2020 06:50:05 PM,COMPLETED
PS019X,BRONX,201197310,HVAC,04/01/2020 01:00:00 PM,03/20/2020 02:29:08 PM,CANCELLED
PS019X,BRONX,201197310,HVAC,04/16/2020 01:30:00 PM,04/13/2020 09:59:07 AM,COMPLETED
PS019X,BRONX,201197310,HVAC,04/24/2020 09:00:00 AM,04/23/2020 07:42:52 AM,COMPLETED
PS020Q,QUEENS,421104824,PLUMBING,04/09/2020 11:35:00 AM,04/09/2020 11:34:09 AM,COMPLETED
PS020Q,QUEENS,421106680,POWERANDLIGHTING,04/06/2020 10:00:00 AM,04/03/2020 03:55:44 PM,COMPLETED
PS020X,BRONX,201201902,PLUMBING,04/03/2020 03:00:00 PM,04/03/2020 12:04:54 PM,COMPLETED
PS021X,BRONX,,ARCHITECTURAL,04/03/2020 08:00:00 AM,03/19/2020 01:51:47 PM,CANCELLED
PS022R,STATEN ISLAND,,ARCHITECTURAL,04/06/2020 01:00:00 PM,03/16/2020 09:51:38 AM,CANCELLED
PS023K,BROOKLYN,302586182,FINALCONSTRUCTION,04/09/2020 11:30:00 AM,04/08/2020 12:03:06 PM,COMPLETED
PS023K,BROOKLYN,302586182,FINALCONSTRUCTION,04/14/2020 12:00:00 PM,04/13/2020 02:44:39 PM,COMPLETED
PS024Q,QUEENS,402898959,HVACSYSTEMSTESTING,04/09/2020 07:00:00 AM,03/05/2020 02:23:58 PM,CANCELLED
PS024Q,QUEENS,402899253,LOWVOLTAGE,04/09/2020 07:00:00 AM,02/24/2020 10:07:20 AM,CANCELLED
PS024Q,QUEENS,402899253,LOWVOLTAGE,04/10/2020 07:00:00 AM,03/02/2020 01:51:39 PM,CANCELLED
PS024Q,QUEENS,402899253,LOWVOLTAGE,04/13/2020 07:00:00 AM,02/24/2020 10:19:35 AM,CANCELLED
PS024Q,QUEENS,402899253,LOWVOLTAGE,04/13/2020 09:00:00 AM,02/24/2020 10:20:11 AM,CANCELLED
PS024Q,QUEENS,402899253,LOWVOLTAGE,04/16/2020 07:00:00 AM,02/24/2020 10:23:59 AM,CANCELLED
PS024X,BRONX,201196026,PLUMBING,04/23/2020 01:00:00 PM,04/23/2020 12:02:08 PM,COMPLETED
