Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0199ZZ9,2004.03,134231,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2005.03,143444,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2006.03,151152,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2007.03,158883,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2008.03,172721,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2009.03,175557,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2010.03,180051,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2011.03,187489,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2012.03,195404,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2013.03,199057,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2014.03,213428,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2015.03,221928,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2016.03,232903,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2017.03,246827,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZ9,2018.03,264322,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Total All Industries,,
RNAA.SG01NAC34B0199ZZA,2000.03,7884,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
