YEAR,Quarter,LocationAbbr,LocationDesc,TopicTypeDesc,TopicDesc,MeasureDesc,Private_Worksites,Restaurants,Bars,Type_Of_Restriction,SummaryAltValue,GeoLocation,TopicTypeId,TopicId,MeasureId
2008,2,VI,U.S. Virgin Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Smoking Area,Designated Smoking Area,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(18.335765, -64.896335)",LEG,600,600COMB
2009,3,PR,Puerto Rico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.220833, -66.590149)",LEG,600,600COMB
2010,2,GU,Guam,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Smoking Area,Banned,None,100 % smokefree in one location,1,"(13.444304, 144.793731)",LEG,600,600COMB
2012,4,VI,U.S. Virgin Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.335765, -64.896335)",LEG,600,600COMB
1996,4,VI,U.S. Virgin Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Smoking Area,Designated Smoking Area,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(18.335765, -64.896335)",LEG,600,600COMB
2015,3,VI,U.S. Virgin Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.335765, -64.896335)",LEG,600,600COMB
2010,4,VI,U.S. Virgin Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.335765, -64.896335)",LEG,600,600COMB
2010,3,PR,Puerto Rico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.220833, -66.590149)",LEG,600,600COMB
2009,3,VI,U.S. Virgin Islands,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Designated Smoking Area,Designated Smoking Area,No Provision,"No Law, designated areas, or separate ventilation Law",0,"(18.335765, -64.896335)",LEG,600,600COMB
2001,4,PR,Puerto Rico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",No Provision,Designated Smoking Area,None,"No Law, designated areas, or separate ventilation Law",0,"(18.220833, -66.590149)",LEG,600,600COMB
2015,2,PR,Puerto Rico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.220833, -66.590149)",LEG,600,600COMB
2007,3,PR,Puerto Rico,Legislation,Smokefree Indoor Air,"Private Worksites, Restaurants, Bars - OSH",Banned,Banned,Banned,100 % smokefree in three locations,3,"(18.220833, -66.590149)",LEG,600,600COMB
