Inventory ID,Prop ID,Feature,Type,Category,Sub-Category
34598,RZ181,Paved Surfaces,Belgian Blocks,Structural Features,
36516,Q163-ZN07B,Paved Surfaces,Hex Blocks,Structural Features,
56623,XZ386,Horticultural Areas,Flower Beds,Landscape Features,
32563,X272,Fences,Wrought-Iron,Structural Features,
49907,B380,Lawns,Lawn,Landscape Features,
25072,QZ626,Paved Surfaces,Belgian Blocks,Structural Features,
32208,X214,Fences,Wrought-Iron,Structural Features,
60828,M098-ZN01,Sidewalks,Stone Curb,Structural Features,
12361,M077-02,Trees,6-10,Landscape Features,
31003,X148C3,Fences,Wrought-Iron,Structural Features,
48352,Q135A,Paved Surfaces,Belgian Blocks,Structural Features,
49191,BT08,Fences,Ornamental,Structural Features,
25792,R029,Benches,Wood Benches,Structural Features,
20327,Q178,Trees,>10,Landscape Features,
11648,M071-08,Paved Surfaces,Stone/Slate/Granite,Structural Features,
23692,QZ108,Fences,Ornamental,Structural Features,
15576,MZ142,Benches,Wood Benches,Structural Features,
59443,QZ127,Horticultural Areas,Wild Flowers,Landscape Features,
48190,B073-ZN16,Water Bodies,Pond,Landscape Features,
304,B019,Play Equipment,BBCT,Structural Features,
32077,X201-01,Paved Surfaces,Concrete,Structural Features,
38315,BZ220,Paved Surfaces,Belgian Blocks,Structural Features,
8776,BZ82,Horticultural Areas,Bushes,Landscape Features,
33440,XZ315,Sidewalks,Concrete Curbs,Structural Features,
35321,X159,Sidewalks,Concrete Flags,Structural Features,
23552,Q462,Paved Surfaces,Plaque,Structural Features,
30696,X122,Fences,Wrought-Iron,Structural Features,
31513,X165,Play Equipment,HBCT,Structural Features,
36324,B169-ZN06A,Sidewalks,Concrete Curbs,Structural Features,
18334,Q051-01,Safety Surface,Mitchell New Sectional,Structural Features,
30012,X092-ZN04,Horticultural Areas,Bushes,Landscape Features,
28838,X032,Sidewalks,Concrete Curbs,Structural Features,
58709,Q015-ZN13,Sidewalks,Asphalt,Structural Features,
30372,X104-02,Paved Surfaces,Asphalt,Structural Features,
50094,Q437,Paved Surfaces,Cribbing,Structural Features,
7716,BZ133,Horticultural Areas,Bushes,Landscape Features,
48257,X204,Play Equipment,Exercise Equipment,Structural Features,
13735,M154,Safety Surface,Mitchell New Sectional,Structural Features,
17741,Q021-ZN05,Trees,>10,Landscape Features,
28365,X010-12,Paved Surfaces,Brick,Structural Features,
791,B049,Lawns,Lawn,Landscape Features,
4074,B210B,Paved Surfaces,Belgian Blocks,Structural Features,
18325,Q051-01,Paved Surfaces,Belgian Blocks,Structural Features,
55522,Q134,Play Equipment,Exercise Equipment,Structural Features,
23123,Q425,Horticultural Areas,Bushes,Landscape Features,
2316,B082-ZN04,Paved Surfaces,Belgian Blocks,Structural Features,
17738,Q021-ZN05,Sidewalks,Concrete Curbs,Structural Features,
